i,alcista,d,vuelve,base,r3,velas
15,True,1.1080650719522895,1.0,0.7728585178055822,0.46088794926004084,2.0
16,True,0.4511525434875544,1.0,0.8990893610720367,0.5842368640533865,1.0
18,False,0.11512832095931397,1.0,0.982749685348338,0.2764865680651962,1.0
27,True,0.7024069997377737,0.0,0.8492633449322573,1.4980079681274918,
28,True,1.2700331942707488,0.0,0.7442067076330792,2.214760638297874,
29,True,0.6641462736629358,0.0,0.8564448063966832,0.39507655358750754,
31,True,0.7178196040913907,0.0,0.8461538461538461,2.2095588235294756,
32,True,0.1632841817245153,0.0,0.9573554453246464,0.7210205213532921,
34,True,0.4360441508375188,1.0,0.9030132523876508,0.5215827338129573,1.0
37,True,0.056300013007441335,1.0,0.9820093284963353,0.48115746971736406,1.0
42,False,0.06354180521823795,1.0,0.9893388613311617,1.1055505004549022,1.0
45,True,0.18692403704144717,1.0,0.9526171614718294,0.731327800829904,2.0
48,False,0.20709408506427085,1.0,0.9714962611978973,0.7443331576172747,1.0
57,False,0.009358730144641331,1.0,0.995261716147183,0.4275210084033555,1.0
59,True,0.3475962095361335,0.0,0.9200414599837121,0.5088967971529924,
62,True,0.3755075766861233,0.0,0.9149329977048938,0.7966951903216211,
64,True,0.5615308949267072,0.0,0.876656548456356,0.4319717895974195,
65,True,0.11934246107433674,0.0,0.9672762271414822,0.621768707482973,
67,True,0.5667669986293613,1.0,0.875546013178352,0.9118982742961107,3.0
68,True,0.1071299597607546,1.0,0.9700155474938921,0.7011952191235049,2.0
77,True,0.8045779862664071,1.0,0.8289775671873844,0.69578444154717,2.0
78,True,0.2878425534355626,1.0,0.931665062560154,0.6445971267957257,1.0
83,False,0.1552227316296909,1.0,0.978603686977123,1.0,1.0
95,True,0.20058932956621825,1.0,0.9492115199526172,0.6385093167701922,1.0
99,True,1.4161870754642174,0.0,0.7223661804990005,1.3264802631578823,
100,True,0.636704287065337,0.0,0.8622936255275042,0.49783013019221156,
101,True,0.6568212613628557,1.0,0.8583697342118901,1.122042341220366,1.0
113,True,0.5789202650370253,1.0,0.8733989783075442,0.5313876651982221,1.0
116,True,0.37246777811375437,1.0,0.9156733545568965,0.3952417498081149,1.0
127,True,0.8753078984541843,1.0,0.8149107869993337,0.8891495601172841,2.0
130,False,0.9444549548641531,1.0,0.8697712297327311,1.2319508448540266,2.0
131,False,0.22086880303874537,1.0,0.969719404753091,0.500623441396494,1.0
133,True,0.2809805852891232,1.0,0.9331457762641593,0.4393638170974291,1.0
137,True,0.14566669990546116,1.0,0.96113126526986,0.586653386454218,2.0
141,False,0.40333295175239503,1.0,0.9451395572666025,0.3530099357101157,1.0
143,True,0.34303089946137105,1.0,0.9210779595765158,0.682170542635662,1.0
149,False,0.31588936981116716,1.0,0.9569852668986452,0.3735224586288228,2.0
157,True,0.41635436930835606,1.0,0.9066410009624639,1.016189290161907,21.0
159,True,0.7197973146704238,1.0,0.8457096320426445,2.8834080717489403,17.0
170,True,0.4970132439412124,1.0,0.8901310431628044,0.8749999999999839,3.0
174,False,1.1531483771046884,0.0,0.8424520618938328,1.0218750000000227,
175,False,0.7183279589876235,0.0,0.8990893610720367,0.5535168195718643,
179,False,1.1484208311121604,1.0,0.843044347375435,1.2174904942966283,1.0
183,False,1.4792663059070124,1.0,0.798326793514474,0.7783123612139198,21.0
184,False,0.4465886626580259,1.0,0.9392167024505812,0.6238706609605349,2.0
205,True,0.4799352674844753,1.0,0.8942770415340194,0.40918163672652963,3.0
206,True,0.7859543926764274,1.0,0.8318649589101947,1.6520325203252773,1.0
213,True,0.1640094494666346,1.0,0.9572814096394462,1.0963855421686854,1.0
216,True,0.6420812170684917,1.0,0.8609609831938995,1.0008319467553501,3.0
217,True,0.5800820636215694,1.0,0.8730287998815429,0.5918536990856227,2.0
224,False,0.6760355844527036,1.0,0.905012215888058,1.0706214689265543,5.0
230,True,0.4461544313340328,1.0,0.89997778929444,0.27483974358973007,4.0
238,False,0.16990050348804586,1.0,0.9765306877915155,0.7003907946157311,1.0
244,True,1.2670564865608278,1.0,0.744724957429481,0.9988801791712573,34.0
245,True,0.40375134281581987,1.0,0.9092322499444733,0.3391255605381413,33.0
247,True,0.5684619600271937,1.0,0.8753979418079514,0.6669442131556844,22.0
249,True,0.27510750544823814,1.0,0.9341822758569631,1.3631067961166858,1.0
262,True,0.7893300648259175,1.0,0.8315688161693937,1.4022346368715317,1.0
269,False,1.2232684148622623,1.0,0.8331976012437995,0.9987523393636658,1.0
277,False,0.1699414977794758,1.0,0.9765306877915155,0.5807248764415585,1.0
278,False,0.5457671274267495,1.0,0.9245576367809284,3.551773049645293,6.0
285,True,0.6492406196657887,1.0,0.859702376545495,1.0604738154613627,4.0
297,True,1.0180108918302881,0.0,0.7878137262160361,2.5618776671408194,
298,True,0.15190659649010757,1.0,0.9599466943066558,0.6129927817879172,1.0
300,True,0.1543630758728922,1.0,0.9593544088250536,0.3337765957447107,13.0
303,True,0.18176472016398934,1.0,0.9535796253794329,0.6747967479674605,1.0
305,False,0.09803427811884557,1.0,0.9851928629599467,0.2568069306930491,1.0
311,True,0.002438655278324682,1.0,0.9918560746279707,0.8091397849462243,1.0
314,False,0.30271914910677594,1.0,0.9584659806026505,0.4049672300793332,3.0
318,True,0.6237093120388062,1.0,0.8651810172503147,0.6013462976813784,32.0
