i,alcista,d,vuelve,base,r3,velas
21,False,0.7000371191862719,1.0,0.850635593220339,0.9489414694894119,5.0
22,False,0.11996026619509036,1.0,0.9713983050847458,0.6036745406824388,3.0
27,True,0.14118454476045295,1.0,0.9809322033898306,0.48418156808802126,2.0
32,False,0.812909710474228,1.0,0.8273305084745762,0.8992805755395477,2.0
40,False,0.7530013197463798,1.0,0.8411016949152542,0.6099585062240691,2.0
44,False,0.7497443394761618,1.0,0.8411016949152542,0.7365853658536842,4.0
45,False,1.08943291204599,1.0,0.7701271186440678,1.1642384105960106,3.0
57,False,0.4333150094943681,1.0,0.9120762711864406,0.4152626362735326,9.0
58,False,0.6159803801850925,1.0,0.8760593220338984,1.5751789976134352,8.0
59,False,0.17761176958761576,1.0,0.9502118644067796,0.5030303030302892,6.0
62,False,0.4839814493575873,1.0,0.9036016949152542,0.8927999999999743,1.0
66,True,1.1872517812273766,0.0,0.8241525423728814,1.012269938650278,
67,True,0.1707058109091918,0.0,0.978813559322034,0.6533333333333444,
72,True,0.4953070725491489,1.0,0.9300847457627118,0.4647887323943634,2.0
73,True,0.20903631326527744,1.0,0.975635593220339,1.024793388429731,1.0
76,True,0.1579000762404315,1.0,0.978813559322034,0.5426136363636311,1.0
83,True,0.355254493523698,1.0,0.9523305084745762,0.6015132408574962,1.0
85,False,0.2630436708407374,1.0,0.934322033898305,0.5727272727272755,4.0
89,True,1.692540684826399,1.0,0.7584745762711864,1.5069885641677148,4.0
90,True,0.1965907299006849,1.0,0.978813559322034,0.4308600337268091,1.0
93,False,0.43228021082774737,1.0,0.9120762711864406,0.6312138728323432,1.0
95,True,0.4499881186983165,1.0,0.9396186440677966,0.5565669700910083,12.0
96,True,1.0472882108360169,1.0,0.847457627118644,1.880841121495372,8.0
114,False,0.13243362749243243,1.0,0.9682203389830508,0.3615537848605582,1.0
117,False,1.3611774230905391,0.0,0.7171610169491525,0.7732793522267195,
118,False,0.9154864688225987,1.0,0.8029661016949152,0.6780104712041918,2.0
131,False,0.6888748596460281,1.0,0.8516949152542372,0.6217440543601271,1.0
148,True,0.2518081262929035,1.0,0.9671610169491526,1.0634328358208964,3.0
154,False,0.5721092406894795,1.0,0.888771186440678,0.43670886075948673,4.0
155,False,0.41530039333228436,1.0,0.9141949152542372,0.9623188405797202,1.0
159,True,0.1950055481535603,1.0,0.978813559322034,0.4495289367429474,1.0
161,False,0.7409211173492425,1.0,0.8421610169491526,0.5922798552472729,3.0
165,True,0.4880344354838368,1.0,0.9300847457627118,0.6860254083484628,1.0
169,True,0.2713725182959686,1.0,0.9639830508474576,0.4005934718101127,10.0
173,True,0.23779521196885026,1.0,0.972457627118644,1.0406698564593302,1.0
176,False,0.6740271593553845,0.0,0.8601694915254238,0.9979716024341088,
183,False,1.3677542573588983,0.0,0.7161016949152542,0.932857142857146,
184,False,0.20112861447966057,1.0,0.9459745762711864,0.5558958652373758,1.0
192,False,0.6955425215802955,1.0,0.8516949152542372,0.4691848906560713,2.0
197,False,0.248456209141358,1.0,0.9364406779661016,0.3586005830903724,1.0
202,True,0.1283790765405953,1.0,0.9819915254237288,0.5798561151079096,2.0
222,False,0.6480863372687172,0.0,0.8675847457627118,0.374685666387257,
223,False,0.3413153635450258,1.0,0.926906779661017,0.6532438478747317,1.0
225,False,1.0934232509360917,1.0,0.7690677966101696,0.7128252788104229,33.0
226,False,0.22708626029896925,1.0,0.9417372881355932,0.8943937418513728,1.0
229,False,0.7250847916488998,1.0,0.8463983050847458,0.5012573344509722,4.0
234,True,0.5086912397981274,1.0,0.9279661016949152,0.34035656401944697,1.0
236,True,0.22571818828698048,1.0,0.9735169491525424,0.38607167004734,1.0
267,True,0.3003519409596226,1.0,0.9597457627118644,0.4698672114402404,1.0
269,False,0.35621668809991414,1.0,0.9226694915254238,0.5065243179122215,13.0
271,False,0.20425057254925394,1.0,0.9449152542372882,0.3595505617977582,1.0
277,False,1.4979403717412882,1.0,0.6885593220338984,1.4873837981407467,2.0
278,False,0.41194489359747194,1.0,0.9141949152542372,0.4660714285714339,1.0
280,True,0.7386918016409181,1.0,0.8930084745762712,0.5558766859345033,17.0
281,True,0.4697354212807806,1.0,0.9375,1.1005199306759132,16.0
283,True,0.4677431819097228,1.0,0.9375,0.39196525515742353,2.0
289,False,0.8390682676130803,1.0,0.8199152542372882,1.0079185520362008,2.0
298,False,0.02432036459161691,0.0,0.9936440677966102,0.5405405405405337,
304,False,0.6869885482578812,1.0,0.8516949152542372,0.6998341625207384,1.0
307,True,0.349462684312515,1.0,0.9533898305084746,0.7311178247734188,1.0
312,True,0.7134839752152663,1.0,0.896186440677966,1.1300097751710712,1.0
321,True,0.7433231873440586,1.0,0.8908898305084746,0.4952380952380905,1.0
323,False,0.3312105032963991,0.0,0.926906779661017,0.3854838709677435,
