i,alcista,d,vuelve,base,r3,velas
18,False,1.3996026987131303,1.0,0.750942893907796,0.813725490196082,16.0
27,True,0.1484355827992675,1.0,0.9765718596086436,0.8181818181819813,14.0
29,True,0.38908386768438186,1.0,0.9407640768514,0.5750000000000035,1.0
39,False,0.9803694001097,1.0,0.8229578027244088,0.8297872340425104,1.0
43,True,0.42302778709553246,1.0,0.9356169854017837,0.5338983050847809,1.0
57,True,1.5342773704713064,1.0,0.7677596840750766,1.3003952569169284,7.0
58,True,0.1333234301906455,1.0,0.9783467187292009,0.5562310030395106,1.0
64,False,0.5952205543181195,1.0,0.8908461640857257,1.0035460992907246,6.0
68,True,0.6367002766133402,1.0,0.903847007143808,1.1164021164021773,14.0
71,True,0.10006215219942345,1.0,0.9835381816568309,0.28700906344409804,5.0
83,False,1.5608252957342763,0.0,0.7270266672582864,1.3086419753086622,
84,False,1.365948491521285,1.0,0.7560899853574122,0.9182389937107138,3.0
99,False,0.7166401799746341,1.0,0.8699471979411635,1.5759493670885365,1.0
106,False,0.9309810832414699,1.0,0.8320983271952789,0.6983695652173987,1.0
110,True,0.19140319985041643,1.0,0.9704929671207347,0.3411214953271537,1.0
116,False,1.4967744484718157,0.0,0.7363890491192262,1.2352941176471537,
117,False,0.12392120770185146,1.0,0.9768824599547411,0.6302521008402849,1.0
122,False,0.3371242477244344,1.0,0.9384567599946754,0.42016806722683586,8.0
124,False,0.0045802190537740355,1.0,0.9956072236766207,0.6734693877550327,1.0
128,True,0.6707051568604447,1.0,0.8980343435239828,1.1525423728814197,1.0
132,False,0.015119192843683595,1.0,0.9939654789901051,0.3816568047337136,1.0
139,True,0.05923032833337518,1.0,0.9884634157163775,0.34693877551020225,1.0
143,False,0.46385384157873816,1.0,0.915649820295514,0.7398373983740513,2.0
148,False,0.3339679354012793,1.0,0.9387673603407729,0.36744186046513166,1.0
152,True,0.8439855356288064,1.0,0.8711452278475396,0.8300653594770303,4.0
153,True,0.558275174075048,1.0,0.9150729910813329,1.5669291338583626,1.0
164,True,0.9085250227415296,1.0,0.8614278741624883,1.3636363636362718,17.0
165,True,0.7677235690538345,1.0,0.8832586413453432,0.9619047619047236,13.0
166,True,0.4427221617586798,1.0,0.9329103252429338,0.5000000000001099,12.0
178,False,1.308993109729201,0.0,0.7662510538226028,1.1044776119402062,
179,False,0.2605653004018676,0.0,0.9521231752229666,0.4729729729729946,
181,False,1.1788859922556538,1.0,0.7895904512579314,0.9430051813472367,4.0
190,False,0.23181889888734025,1.0,0.9574921240626525,0.9700000000000222,1.0
197,False,0.5823632328382686,1.0,0.8928872520743666,0.44910179640718645,2.0
206,False,1.8370477000798104,1.0,0.6834538758486045,1.7071823204419252,4.0
207,False,0.7870465807113661,1.0,0.857745041487332,0.6796116504854257,2.0
210,True,1.3355646021405845,1.0,0.7972223454763279,0.9669117647058295,16.0
211,True,0.9183608306285916,1.0,0.8602742157341261,1.0988593155894137,2.0
223,False,0.5396843542951151,0.0,0.899897945600568,1.5466666666666746,
230,False,0.2493149888953,1.0,0.9541198917335937,0.6533333333332958,1.0
233,False,0.5936048947928184,1.0,0.8911123929538093,0.8500000000000324,40.0
237,False,0.5361005815485688,1.0,0.9006966322048188,0.5031055900621324,4.0
246,False,0.3493127314449171,1.0,0.9369925012202156,0.7109375000000027,1.0
258,True,0.22863865160323316,1.0,0.9649465323689932,0.8275862068966837,1.0
267,True,0.7373427779334931,1.0,0.8878732750587922,0.7077922077921862,6.0
