i,alcista,d,vuelve,base,r3,velas
26,False,0.4636654903353889,1.0,0.9126815364430167,1.7027027027031407,5.0
35,True,0.8428005084966058,1.0,0.8559358458127856,0.9864864864866973,41.0
36,True,1.3455467575410418,1.0,0.7706306836176084,1.6712328767120537,39.0
37,True,0.7407991713011107,1.0,0.8737501696602271,0.7049180327867719,2.0
42,True,1.7771430579322018,1.0,0.7007985341356378,1.732558139535154,27.0
43,True,0.1459384413433177,1.0,0.9727299461611546,0.37583892617442766,1.0
46,True,0.4942590852166029,1.0,0.9157919739401891,0.5877862595420417,1.0
69,False,0.9729450857560448,0.0,0.8185653531194861,0.6250000000000631,
75,False,1.0335708033405062,1.0,0.8075713704022078,1.1351351351348,39.0
76,False,0.4095541121044205,1.0,0.9217866352983758,0.5238095238095071,1.0
107,True,0.3683794131593398,0.0,0.936038094376329,1.0,
109,True,0.7639844188894578,1.0,0.8696104601185359,1.040816326530418,2.0
114,True,0.909366550642552,1.0,0.844760892186581,1.1346153846149658,18.0
115,True,0.7853371509667889,1.0,0.866013663303624,1.1186440677966611,6.0
124,True,0.33498069256667695,1.0,0.941772610052934,1.3636363636369142,2.0
137,True,0.09234888980678502,1.0,0.9811337827444239,0.8299319727891937,1.0
140,True,0.673128886357172,1.0,0.8856490069221372,0.9882352941175703,3.0
153,False,0.8777330242594682,1.0,0.8352938515133692,1.49999999999985,9.0
164,False,0.18692044540749939,1.0,0.9620300411708818,0.9212598425197002,1.0
167,True,0.5800686781947676,0.0,0.9012690584988463,0.9057971014492975,
170,True,1.0755030488330273,1.0,0.8162805953942904,1.6794871794873583,41.0
171,True,0.48506784638849093,1.0,0.9173754693932951,0.5038167938929848,9.0
179,False,0.6098922113896112,1.0,0.8855019680586346,0.9193548387095157,2.0
188,False,0.47120547229751947,1.0,0.9112450798534135,0.5964912280702301,1.0
204,True,0.21770963916540742,1.0,0.9609442157173235,0.4822006472491823,1.0
206,False,0.8584518813794825,1.0,0.8390150658281681,0.9151515151516285,11.0
215,False,0.32046042550646053,1.0,0.9384698909650274,0.9534883720932275,2.0
218,True,0.10116158023501826,1.0,0.979652083427589,0.3366336633663584,1.0
221,True,0.8285896913221864,1.0,0.8581301180835181,1.0273972602738435,2.0
222,True,0.08345740843849912,1.0,0.9824345111523323,0.8933333333332307,1.0
225,True,0.15192632310427115,1.0,0.9716214993439805,0.7611940298502368,31.0
227,True,0.9173420032402021,1.0,0.8432339501425146,1.2857142857143504,29.0
228,True,2.2593661754472807,1.0,0.6267135682938967,1.7222222222221732,28.0
231,True,0.4333009337781139,1.0,0.9259602768854907,0.46448087431694984,1.0
246,True,0.13496686549246187,1.0,0.9744265484323396,0.5624999999999133,1.0
251,False,0.05251768443749691,1.0,0.9859973759218206,1.0285714285714045,2.0
256,False,1.6052920504974257,1.0,0.7081504773107723,1.3567839195979956,3.0
257,False,0.6798632107581468,1.0,0.8728792471610188,0.351851851851864,1.0
263,False,1.6819170798527603,1.0,0.6949961543681853,1.7547169811321413,6.0
