i,alcista,d,vuelve,base,r3,velas
23,False,2.0001268466237456,1.0,0.7366136034732271,1.182438016528919,28.0
24,False,0.4378194194866083,1.0,0.9392185238784371,0.3191158483312985,1.0
41,True,0.6026461753495417,1.0,0.7829232995658466,0.8115761218857455,4.0
44,True,0.05841231991051355,1.0,0.9696092619392185,0.7097070091188529,1.0
46,False,0.4105443632644371,1.0,0.9421128798842258,0.385172769468796,1.0
48,True,1.9445104496364558,0.0,0.4312590448625181,1.7791666666666732,
49,True,1.7744660202276268,0.0,0.47322720694645437,1.0090601566011357,
50,True,0.25933732745948157,1.0,0.9015918958031838,0.42706770442610403,1.0
54,True,0.4534955650626212,1.0,0.8219971056439942,0.6123975262476621,1.0
60,False,0.09734328970567425,1.0,0.984081041968162,0.7479838709677421,2.0
66,True,0.32330660517610404,1.0,0.8784370477568741,0.4587385211252944,1.0
68,False,0.44510005384722157,1.0,0.9377713458755427,0.9919208240759402,1.0
71,True,0.8656631819971555,1.0,0.7062228654124457,1.3235527359238848,1.0
73,False,0.6653747691089927,1.0,0.9073806078147613,0.6160036330608554,11.0
85,True,1.697661829359107,1.0,0.4949348769898697,1.7682533476688458,2.0
86,True,0.6108031369567516,1.0,0.7829232995658466,0.40504947211320863,1.0
88,False,0.2165552274344457,1.0,0.9681620839363242,0.27199385324625064,1.0
92,False,0.38080374561838326,1.0,0.9536903039073806,0.7308827189022019,1.0
95,False,0.35887575033249886,0.0,0.9551374819102749,0.4109351203167839,
102,False,0.41741927929041656,1.0,0.9421128798842258,0.7917741749143092,2.0
105,True,0.5027706129236831,1.0,0.808972503617945,0.6978203434610271,1.0
120,False,0.3098103347743517,1.0,0.9638205499276411,0.591226708074535,15.0
125,False,0.3532833414598332,1.0,0.9551374819102749,0.6144965735371591,2.0
135,True,1.241233273783627,1.0,0.6121562952243126,1.7994248741912169,15.0
136,True,0.2558931572298956,1.0,0.9030390738060782,0.34558529764283263,1.0
140,True,0.3225545573960979,1.0,0.8784370477568741,0.3185877323035559,1.0
151,False,0.1560058463894951,1.0,0.9739507959479016,0.43093162000918384,1.0
159,False,0.5796369077902476,1.0,0.9175108538350217,1.1307237813884943,6.0
166,True,0.245061969875113,1.0,0.91027496382055,0.528551850159885,1.0
170,True,0.5483889925971382,1.0,0.7973950795947902,0.5950716090985656,2.0
171,True,0.056117630109400296,1.0,0.9739507959479016,0.6343172648120651,1.0
175,False,0.7628254832749286,1.0,0.8986975397973951,1.0131386861313916,2.0
