RA,nA,RB,nB,RC,nC,rgo,lado,anio
-1.0,-1.715000000000079,-1.0,-1.715000000000079,-1.0,-1.715000000000079,1.9999999999997797,1,2020
-1.0,-1.4468749999998631,0.0,-0.4468749999998632,0.0,-0.4468749999998632,3.20000000000098,1,2020
-1.0,-1.4766666666667192,-1.0,-1.4766666666667192,-1.0,-1.4766666666667192,2.9999999999996696,1,2020
-1.0,-2.299999999999356,-1.0,-2.299999999999356,-1.0,-2.299999999999356,1.100000000000545,-1,2020
-1.0,-2.299999999999356,-1.0,-2.299999999999356,-1.0,-2.299999999999356,1.100000000000545,-1,2020
-1.0,-2.299999999999356,-1.0,-2.299999999999356,-1.0,-2.299999999999356,1.100000000000545,-1,2020
2.0,1.2473684210531644,2.0,1.2473684210531644,2.0,1.2473684210531644,1.900000000001345,-1,2020
-1.0,-1.3404761904763,-1.0,-1.3404761904763,-1.0,-1.3404761904763,4.199999999998649,1,2020
-1.0,-1.366666666666561,-1.0,-1.366666666666561,-1.0,-1.366666666666561,3.900000000001125,-1,2020
2.0,1.158823529411782,2.0,1.158823529411782,1.6,0.758823529411782,1.7000000000000348,-1,2020
-1.0,-1.715000000000079,-1.0,-1.715000000000079,-1.0,-1.715000000000079,1.9999999999997797,1,2020
-1.0,-2.100000000000309,-1.0,-2.100000000000309,-1.0,-2.100000000000309,1.2999999999996348,-1,2020
-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,1.5999999999993797,1,2020
-1.0,-3.38333333333536,-1.0,-3.38333333333536,-1.0,-3.38333333333536,0.5999999999994898,-1,2020
-1.0,-2.7874999999982126,-1.0,-2.7874999999982126,-1.0,-2.7874999999982126,0.8000000000008001,1,2020
-1.0,-1.39722222222207,-1.0,-1.39722222222207,-1.0,-1.39722222222207,3.60000000000138,-1,2020
-1.0,-1.39722222222207,-1.0,-1.39722222222207,-1.0,-1.39722222222207,3.60000000000138,-1,2020
-1.0,-1.39722222222207,-1.0,-1.39722222222207,-1.0,-1.39722222222207,3.60000000000138,-1,2020
2.0,0.97857142857164,2.0,0.97857142857164,2.0,0.97857142857164,1.40000000000029,1,2020
-1.0,-1.715000000000079,-1.0,-1.715000000000079,-1.0,-1.715000000000079,1.9999999999997797,1,2020
-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,4.699999999999704,-1,2020
-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,4.699999999999704,-1,2020
-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,-1.0,-1.3042553191489552,4.699999999999704,-1,2020
2.0,1.5666666666665898,2.0,1.5666666666665898,2.0,1.5666666666665898,3.2999999999994145,1,2020
2.0,1.5666666666665898,2.0,1.5666666666665898,2.0,1.5666666666665898,3.2999999999994145,1,2020
2.0,1.5666666666665898,2.0,1.5666666666665898,2.0,1.5666666666665898,3.2999999999994145,1,2020
-1.0,-4.575000000016271,-1.0,-4.575000000016271,-1.0,-4.575000000016271,0.3999999999981796,1,2020
-1.0,-1.3487804878048597,0.0,-0.3487804878048598,0.0,-0.3487804878048598,4.100000000000215,-1,2020
-1.0,-1.5296296296296443,0.0,-0.5296296296296444,0.0,-0.5296296296296444,2.6999999999999247,1,2020
-1.0,-1.5296296296296443,0.0,-0.5296296296296444,0.0,-0.5296296296296444,2.6999999999999247,1,2020
-1.0,-1.68095238095224,-1.0,-1.68095238095224,-1.0,-1.68095238095224,2.100000000000435,1,2020
-1.0,-1.68095238095224,-1.0,-1.68095238095224,-1.0,-1.68095238095224,2.100000000000435,1,2020
-1.0,-1.715000000000079,0.0,-0.7150000000000788,0.0,-0.7150000000000788,1.9999999999997797,-1,2020
-1.0,-1.715000000000079,0.0,-0.7150000000000788,0.0,-0.7150000000000788,1.9999999999997797,-1,2020
-1.0,-1.649999999999678,-1.0,-1.649999999999678,-1.0,-1.649999999999678,2.20000000000109,-1,2020
-1.0,-1.79444444444512,-1.0,-1.79444444444512,-1.0,-1.79444444444512,1.7999999999984695,1,2020
2.0,1.3782608695650889,0.0,-0.6217391304349111,0.0,-0.6217391304349111,2.2999999999995246,-1,2020
2.0,-0.8599999999939647,2.0,-0.8599999999939647,1.6,-1.2599999999939646,0.5000000000010552,1,2020
-1.0,-2.100000000000309,0.0,-1.1000000000003092,0.0,-1.1000000000003092,1.2999999999996348,1,2020
2.0,1.046666666665856,0.0,-0.9533333333341439,0.0,-0.9533333333341439,1.4999999999987246,-1,2020
2.0,1.046666666665856,0.0,-0.9533333333341439,0.0,-0.9533333333341439,1.4999999999987246,-1,2020
2.0,0.5699999999998424,2.0,0.5699999999998424,2.0,0.5699999999998424,0.9999999999998899,1,2020
-1.0,-1.79444444444414,0.0,-0.79444444444414,0.0,-0.79444444444414,1.80000000000069,1,2020
-1.0,-1.649999999999678,-1.0,-1.649999999999678,-1.0,-1.649999999999678,2.20000000000109,1,2020
-1.0,-1.649999999999678,-1.0,-1.649999999999678,-1.0,-1.649999999999678,2.20000000000109,1,2020
-1.0,-2.787500000003174,-1.0,-2.787500000003174,-1.0,-2.787500000003174,0.7999999999985796,-1,2020
-1.0,-3.04285714285672,0.0,-2.04285714285672,0.0,-2.04285714285672,0.700000000000145,-1,2020
2.0,-1.5749999999964248,2.0,-1.5749999999964248,1.6,-1.9749999999964247,0.40000000000040004,-1,2020
-1.0,-1.8937499999991063,-1.0,-1.8937499999991063,-1.0,-1.8937499999991063,1.6000000000016001,-1,2020
-1.0,-1.68095238095224,0.0,-0.68095238095224,0.0,-0.68095238095224,2.100000000000435,-1,2020
-1.0,-1.68095238095224,0.0,-0.68095238095224,0.0,-0.68095238095224,2.100000000000435,-1,2020
-1.0,-3.8600000000066657,-1.0,-3.8600000000066657,-1.0,-3.8600000000066657,0.4999999999988347,1,2020
-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,1.5999999999993797,1,2020
-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,-1.0,-1.8937500000003467,1.5999999999993797,1,2020
-1.0,-1.8937500000003467,0.0,-0.8937500000003465,0.0,-0.8937500000003465,1.5999999999993797,-1,2020
-1.0,-1.8937500000003467,0.0,-0.8937500000003465,0.0,-0.8937500000003465,1.5999999999993797,-1,2020
