RA,nA,RB,nB,RC,nC,rgo,lado,anio
2.0,1.6923076923077374,0.0,-0.30769230769226275,0.0,-0.30769230769226275,5.20000000000076,-1,2020
-1.0,-1.2857142857142265,-1.0,-1.2857142857142265,-1.0,-1.2857142857142265,5.60000000000116,1,2020
-1.0,-1.2857142857142265,-1.0,-1.2857142857142265,-1.0,-1.2857142857142265,5.60000000000116,1,2020
-1.0,-1.340425531914915,-1.0,-1.340425531914915,-1.0,-1.340425531914915,4.699999999999704,-1,2020
-1.0,-2.0000000000003877,-1.0,-2.0000000000003877,-1.0,-2.0000000000003877,1.5999999999993797,1,2020
-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,6.399999999999739,-1,2020
-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,6.399999999999739,-1,2020
-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,6.399999999999739,-1,2020
-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,6.399999999999739,-1,2020
-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,-1.0,-1.2500000000000102,6.399999999999739,-1,2020
-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,3.300000000001635,1,2020
-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,3.300000000001635,1,2020
-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,-1.0,-1.4848484848482446,3.300000000001635,1,2020
-1.0,-1.941176470588216,0.0,-0.9411764705882161,0.0,-0.9411764705882161,1.7000000000000348,-1,2020
-1.0,-1.941176470588216,0.0,-0.9411764705882161,0.0,-0.9411764705882161,1.7000000000000348,-1,2020
-1.0,-2.142857142856906,0.0,-1.1428571428569063,0.0,-1.1428571428569063,1.40000000000029,-1,2020
2.0,1.6097560975609961,2.0,1.6097560975609961,2.0878048780487015,1.6975609756096977,4.100000000000215,-1,2020
2.0,1.816091954022973,2.0,1.816091954022973,2.0,1.816091954022973,8.699999999999264,-1,2020
-1.0,-2.142857142856906,-1.0,-2.142857142856906,-1.0,-2.142857142856906,1.40000000000029,1,2020
-1.0,-2.6000000000001764,0.0,-1.6000000000001764,0.0,-1.6000000000001764,0.9999999999998899,-1,2020
-1.0,-2.6000000000001764,0.0,-1.6000000000001764,0.0,-1.6000000000001764,0.9999999999998899,-1,2020
2.0,1.8095238095237987,2.0,1.8095238095237987,2.0,1.8095238095237987,8.399999999999519,-1,2020
2.0,1.8095238095237987,2.0,1.8095238095237987,2.0,1.8095238095237987,8.399999999999519,-1,2020
2.0,1.698113207547124,0.0,-0.3018867924528761,0.0,-0.3018867924528761,5.299999999999194,1,2020
-1.0,-1.1975308641974822,0.0,-0.19753086419748225,0.0,-0.19753086419748225,8.100000000001994,-1,2020
