RA,nA,RB,nB,RC,nC,rgo,lado,anio
2.0,0.5,0.0,-1.5,0.0,-1.5,1.0,-1,2023
-1.0,-2.470588235294144,0.0,-1.470588235294144,0.0,-1.470588235294144,1.0199999999999818,1,2023
2.0,1.6277915632754107,2.0,1.6277915632754107,2.0,1.6277915632754107,4.029999999999745,1,2023
-1.0,-1.3012048192771348,-1.0,-1.3012048192771348,-1.0,-1.3012048192771348,4.979999999999563,-1,2023
-1.0,-1.75,-1.0,-1.75,-1.0,-1.75,2.0,1,2023
-1.0,-1.753768844221188,-1.0,-1.753768844221188,-1.0,-1.753768844221188,1.9899999999997817,-1,2023
2.0,1.7857142857142858,2.0,1.7857142857142858,2.0,1.7857142857142858,7.0,1,2023
-1.0,-2.6853932584263465,-1.0,-2.6853932584263465,-1.0,-2.6853932584263465,0.8900000000003274,-1,2023
-1.0,-1.375,0.0,-0.375,0.0,-0.375,4.0,1,2023
2.0,1.623115577889406,2.0,1.623115577889406,2.0,1.623115577889406,3.9799999999995634,-1,2023
2.0,1.6268656716418315,2.0,1.6268656716418315,1.6,1.2268656716418316,4.020000000000437,-1,2023
-1.0,-2.315789473684882,-1.0,-2.315789473684882,-1.0,-2.315789473684882,1.139999999999418,-1,2023
-1.0,-2.315789473684882,-1.0,-2.315789473684882,-1.0,-2.315789473684882,1.139999999999418,-1,2023
-1.0,-2.315789473684882,-1.0,-2.315789473684882,-1.0,-2.315789473684882,1.139999999999418,-1,2023
2.0,1.253731343283663,2.0,1.253731343283663,1.6,0.8537313432836632,2.0100000000002183,-1,2023
2.0,1.29577464788736,0.0,-0.7042253521126399,0.0,-0.7042253521126399,2.130000000000109,-1,2023
2.0,1.29577464788736,0.0,-0.7042253521126399,0.0,-0.7042253521126399,2.130000000000109,-1,2023
2.0,0.5,0.0,-1.5,0.0,-1.5,1.0,-1,2023
2.0,0.5,0.0,-1.5,0.0,-1.5,1.0,-1,2023
-1.0,-1.4983388704318577,-1.0,-1.4983388704318577,-1.0,-1.4983388704318577,3.0100000000002183,1,2023
2.0,0.4536082474230865,2.0,0.4536082474230865,1.6,0.053608247423086564,0.9700000000002547,1,2023
-1.0,-1.6976744186047692,-1.0,-1.6976744186047692,-1.0,-1.6976744186047692,2.149999999999636,1,2023
2.0,1.261083743842272,2.0,1.261083743842272,2.0,1.261083743842272,2.0299999999997453,-1,2023
2.0,1.261083743842272,2.0,1.261083743842272,2.0,1.261083743842272,2.0299999999997453,-1,2023
-1.0,-1.493421052631585,0.0,-0.49342105263158487,0.0,-0.49342105263158487,3.0399999999999636,1,2023
-1.0,-1.376884422110594,-1.0,-1.376884422110594,-1.0,-1.376884422110594,3.9799999999995634,-1,2023
2.0,1.5033112582780679,0.0,-0.4966887417219321,0.0,-0.4966887417219321,3.019999999999527,-1,2023
2.0,0.5294117647052006,2.0,0.5294117647052006,2.1313725490198614,0.660784313725062,1.019999999999527,-1,2023
-1.0,-1.7317073170731057,-1.0,-1.7317073170731057,-1.0,-1.7317073170731057,2.050000000000182,1,2023
-1.0,-1.209497206703915,-1.0,-1.209497206703915,-1.0,-1.209497206703915,7.1599999999998545,-1,2023
-1.0,-1.738916256157728,-1.0,-1.738916256157728,-1.0,-1.738916256157728,2.0299999999997453,1,2023
-1.0,-1.3614457831325617,0.0,-0.3614457831325618,0.0,-0.3614457831325618,4.149999999999636,1,2023
2.0,1.246231155778812,2.0,1.246231155778812,1.6,0.8462311557788119,1.9899999999997817,1,2023
2.0,1.2610837438426028,2.0,1.2610837438426028,2.0,1.2610837438426028,2.030000000000655,1,2023
-1.0,-1.298804780876468,-1.0,-1.298804780876468,-1.0,-1.298804780876468,5.020000000000437,-1,2023
2.0,0.5294117647065117,2.0,0.5294117647065117,1.6,0.12941176470651183,1.0200000000004366,1,2023
2.0,0.5294117647065117,2.0,0.5294117647065117,1.6,0.12941176470651183,1.0200000000004366,1,2023
2.0,0.5294117647065117,2.0,0.5294117647065117,1.6,0.12941176470651183,1.0200000000004366,1,2023
2.0,0.5294117647065117,0.0,-1.4705882352934883,0.0,-1.4705882352934883,1.0200000000004366,1,2023
-1.0,-1.4950495049505368,-1.0,-1.4950495049505368,-1.0,-1.4950495049505368,3.0299999999997453,-1,2023
-1.0,-1.376884422110594,-1.0,-1.376884422110594,-1.0,-1.376884422110594,3.9799999999995634,-1,2023
-1.0,-1.6976744186047692,-1.0,-1.6976744186047692,-1.0,-1.6976744186047692,2.149999999999636,-1,2023
-1.0,-1.501672240802712,-1.0,-1.501672240802712,-1.0,-1.501672240802712,2.9899999999997817,-1,2023
-1.0,-1.501672240802712,-1.0,-1.501672240802712,-1.0,-1.501672240802712,2.9899999999997817,-1,2023
-1.0,-1.501672240802712,-1.0,-1.501672240802712,-1.0,-1.501672240802712,2.9899999999997817,-1,2023
-1.0,-1.1870324189526296,-1.0,-1.1870324189526296,-1.0,-1.1870324189526296,8.019999999999527,1,2023
-1.0,-1.1870324189526296,-1.0,-1.1870324189526296,-1.0,-1.1870324189526296,8.019999999999527,1,2023
2.0,0.6956521739126309,2.0,0.6956521739126309,1.6,0.295652173912631,1.1499999999996362,-1,2023
-1.0,-1.75,-1.0,-1.75,-1.0,-1.75,2.0,1,2023
2.0,1.696969696969686,2.0,1.696969696969686,2.0,1.696969696969686,4.949999999999818,1,2023
-1.0,-2.4423076923077427,-1.0,-2.4423076923077427,-1.0,-2.4423076923077427,1.0399999999999636,1,2023
-1.0,-2.4423076923077427,-1.0,-2.4423076923077427,-1.0,-2.4423076923077427,1.0399999999999636,1,2023
-1.0,-2.5624999999999405,-1.0,-2.5624999999999405,-1.0,-2.5624999999999405,0.9600000000000364,-1,2023
-1.0,-1.4983388704318577,-1.0,-1.4983388704318577,-1.0,-1.4983388704318577,3.0100000000002183,1,2023
-1.0,-1.5,-1.0,-1.5,-1.0,-1.5,3.0,-1,2023
-1.0,-1.5,-1.0,-1.5,-1.0,-1.5,3.0,-1,2023
2.0,1.0909090909088905,0.0,-0.9090909090911096,0.0,-0.9090909090911096,1.6499999999996362,-1,2023
-1.0,-1.5016722408025596,-1.0,-1.5016722408025596,-1.0,-1.5016722408025596,2.990000000000691,1,2023
-1.0,-1.5016722408025596,-1.0,-1.5016722408025596,-1.0,-1.5016722408025596,2.990000000000691,1,2023
-1.0,-1.3797468354430555,0.0,-0.3797468354430555,0.0,-0.3797468354430555,3.949999999999818,1,2023
-1.0,-1.4777070063695152,-1.0,-1.4777070063695152,-1.0,-1.4777070063695152,3.139999999999418,-1,2023
2.0,1.7857142857142858,2.0,1.7857142857142858,2.0,1.7857142857142858,7.0,1,2023
2.0,1.7857142857142858,2.0,1.7857142857142858,2.0,1.7857142857142858,7.0,1,2023
2.0,1.7857142857142858,2.0,1.7857142857142858,2.0,1.7857142857142858,7.0,1,2023
-1.0,-1.3099173553718915,0.0,-0.3099173553718915,0.0,-0.3099173553718915,4.8400000000001455,1,2023
-1.0,-2.3274336283195245,-1.0,-2.3274336283195245,-1.0,-2.3274336283195245,1.1299999999991996,-1,2023
-1.0,-1.5190311418684534,-1.0,-1.5190311418684534,-1.0,-1.5190311418684534,2.8900000000003274,-1,2023
-1.0,-1.761421319796856,-1.0,-1.761421319796856,-1.0,-1.761421319796856,1.9700000000002547,1,2023
-1.0,-1.761421319796856,-1.0,-1.761421319796856,-1.0,-1.761421319796856,1.9700000000002547,1,2023
-1.0,-1.761421319796856,-1.0,-1.761421319796856,-1.0,-1.761421319796856,1.9700000000002547,1,2023
-1.0,-1.4950495049505368,-1.0,-1.4950495049505368,-1.0,-1.4950495049505368,3.0299999999997453,1,2023
2.0,1.5222929936304848,0.0,-0.4777070063695153,0.0,-0.4777070063695153,3.139999999999418,-1,2023
2.0,1.5222929936304848,0.0,-0.4777070063695153,0.0,-0.4777070063695153,3.139999999999418,-1,2023
2.0,1.25,0.0,-0.75,0.0,-0.75,2.0,1,2023
2.0,1.2682926829268943,2.0,1.2682926829268943,2.0,1.2682926829268943,2.050000000000182,-1,2023
2.0,1.2682926829268943,2.0,1.2682926829268943,2.0,1.2682926829268943,2.050000000000182,-1,2023
2.0,1.2682926829268943,2.0,1.2682926829268943,2.0,1.2682926829268943,2.050000000000182,-1,2023
-1.0,-1.3722084367245893,-1.0,-1.3722084367245893,-1.0,-1.3722084367245893,4.029999999999745,1,2023
-1.0,-1.3722084367245893,-1.0,-1.3722084367245893,-1.0,-1.3722084367245893,4.029999999999745,1,2023
2.0,1.7508305647840336,0.0,-0.2491694352159664,0.0,-0.2491694352159664,6.019999999999527,-1,2023
2.0,1.2924528301886427,2.0,1.2924528301886427,2.0,1.2924528301886427,2.119999999999891,-1,2023
2.0,1.7011952191234778,2.0,1.7011952191234778,2.0,1.7011952191234778,5.019999999999527,-1,2023
2.0,1.7011952191234778,2.0,1.7011952191234778,2.0,1.7011952191234778,5.019999999999527,-1,2023
-1.0,-1.3018108651911313,0.0,-0.3018108651911314,0.0,-0.3018108651911314,4.970000000000255,-1,2023
2.0,1.25,2.0,1.25,1.6,0.8500000000000001,2.0,1,2023
-1.0,-1.735294117647072,0.0,-0.735294117647072,0.0,-0.735294117647072,2.0399999999999636,1,2023
-1.0,-1.735294117647072,0.0,-0.735294117647072,0.0,-0.735294117647072,2.0399999999999636,1,2023
-1.0,-1.2988047808765222,-1.0,-1.2988047808765222,-1.0,-1.2988047808765222,5.019999999999527,1,2023
-1.0,-2.485148514851164,-1.0,-2.485148514851164,-1.0,-2.485148514851164,1.0100000000002183,1,2023
-1.0,-1.7425742574259164,0.0,-0.7425742574259164,0.0,-0.7425742574259164,2.019999999999527,-1,2023
-1.0,-1.213675213675228,-1.0,-1.213675213675228,-1.0,-1.213675213675228,7.019999999999527,-1,2023
2.0,1.5192307692307523,2.0,1.5192307692307523,1.6,1.1192307692307524,3.119999999999891,-1,2023
2.0,1.6259351620947835,2.0,1.6259351620947835,2.0,1.6259351620947835,4.010000000000218,1,2023
2.0,1.6259351620947835,2.0,1.6259351620947835,2.0,1.6259351620947835,4.010000000000218,1,2023
-1.0,-2.5151515151504573,-1.0,-2.5151515151504573,-1.0,-2.5151515151504573,0.9900000000006912,1,2023
-1.0,-2.5151515151504573,-1.0,-2.5151515151504573,-1.0,-2.5151515151504573,0.9900000000006912,1,2023
-1.0,-1.1344086021505393,-1.0,-1.1344086021505393,-1.0,-1.1344086021505393,11.159999999999854,-1,2023
-1.0,-1.25,0.0,-0.25,0.0,-0.25,6.0,-1,2023
-1.0,-1.25,0.0,-0.25,0.0,-0.25,6.0,-1,2023
-1.0,-1.1875,-1.0,-1.1875,-1.0,-1.1875,8.0,1,2023
-1.0,-1.1875,-1.0,-1.1875,-1.0,-1.1875,8.0,1,2023
-1.0,-1.1875,-1.0,-1.1875,-1.0,-1.1875,8.0,1,2023
2.0,1.402390438247064,2.0,1.402390438247064,1.6,1.002390438247064,2.5100000000002183,1,2023
-1.0,-1.4983388704318577,0.0,-0.49833887043185754,0.0,-0.49833887043185754,3.0100000000002183,1,2023
-1.0,-1.1910828025477618,-1.0,-1.1910828025477618,-1.0,-1.1910828025477618,7.850000000000364,-1,2023
-1.0,-1.1910828025477618,-1.0,-1.1910828025477618,-1.0,-1.1910828025477618,7.850000000000364,-1,2023
2.0,1.751243781094517,2.0,1.751243781094517,1.6,1.351243781094517,6.029999999999745,-1,2023
