RA,nA,RB,nB,RC,nC,rgo,lado,anio
-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,10.389999999999418,-1,2020
-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,10.389999999999418,-1,2020
-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,10.389999999999418,-1,2020
-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,-1.0,-1.1443695861405279,10.389999999999418,-1,2020
2.0,1.7560975609755953,2.0,1.7560975609755953,2.0,1.7560975609755953,6.149999999999636,-1,2020
2.0,1.7560975609755953,2.0,1.7560975609755953,2.0,1.7560975609755953,6.149999999999636,-1,2020
2.0,1.7560975609755953,2.0,1.7560975609755953,2.0,1.7560975609755953,6.149999999999636,-1,2020
2.0,1.7560975609755953,2.0,1.7560975609755953,2.0,1.7560975609755953,6.149999999999636,-1,2020
-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,6.1200000000008,1,2020
-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,6.1200000000008,1,2020
-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,6.1200000000008,1,2020
-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,-1.0,-1.2450980392156543,6.1200000000008,1,2020
2.0,1.945945945945946,2.0,1.945945945945946,2.0,1.945945945945946,27.75,1,2020
2.0,1.945945945945946,2.0,1.945945945945946,2.0,1.945945945945946,27.75,1,2020
2.0,1.5726495726493779,2.0,1.5726495726493779,1.6,1.172649572649378,3.5099999999983993,1,2020
2.0,1.7453310696094824,2.0,1.7453310696094824,2.0,1.7453310696094824,5.889999999999418,1,2020
-1.0,-1.8928571428569883,-1.0,-1.8928571428569883,-1.0,-1.8928571428569883,1.680000000000291,1,2020
2.0,1.3212669683260825,2.0,1.3212669683260825,1.6,0.9212669683260825,2.210000000000946,1,2020
-1.0,-2.2711864406776527,-1.0,-2.2711864406776527,-1.0,-2.2711864406776527,1.180000000000291,1,2020
2.0,1.6794871794871995,2.0,1.6794871794871995,1.6,1.2794871794871996,4.680000000000291,-1,2020
-1.0,-1.163043478260889,-1.0,-1.163043478260889,-1.0,-1.163043478260889,9.199999999998909,1,2020
2.0,1.575070821529824,2.0,1.575070821529824,1.6,1.175070821529824,3.530000000000655,1,2020
-1.0,-1.4385964912280609,-1.0,-1.4385964912280609,-1.0,-1.4385964912280609,3.4200000000000728,-1,2020
-1.0,-1.3865979381442284,-1.0,-1.3865979381442284,-1.0,-1.3865979381442284,3.8800000000010186,1,2020
2.0,1.25,2.0,1.25,2.0,1.25,2.0,1,2020
-1.0,-1.9493670886076386,-1.0,-1.9493670886076386,-1.0,-1.9493670886076386,1.5799999999999272,-1,2020
-1.0,-2.2711864406776527,-1.0,-2.2711864406776527,-1.0,-2.2711864406776527,1.180000000000291,-1,2020
2.0,1.8692240627724424,2.0,1.8692240627724424,2.0,1.8692240627724424,11.469999999999345,1,2020
2.0,1.8692240627724424,2.0,1.8692240627724424,2.0,1.8692240627724424,11.469999999999345,1,2020
-1.0,-1.3957783641161938,-1.0,-1.3957783641161938,-1.0,-1.3957783641161938,3.789999999999054,1,2020
-1.0,-1.3957783641161938,-1.0,-1.3957783641161938,-1.0,-1.3957783641161938,3.789999999999054,1,2020
-1.0,-1.1734104046242848,0.0,-0.17341040462428475,0.0,-0.17341040462428475,8.649999999999636,1,2020
-1.0,-1.1734104046242848,0.0,-0.17341040462428475,0.0,-0.17341040462428475,8.649999999999636,1,2020
-1.0,-1.1734104046242848,0.0,-0.17341040462428475,0.0,-0.17341040462428475,8.649999999999636,1,2020
-1.0,-1.4237288135592174,-1.0,-1.4237288135592174,-1.0,-1.4237288135592174,3.540000000000873,1,2020
2.0,1.431818181818448,2.0,1.431818181818448,2.0,1.431818181818448,2.640000000001237,-1,2020
2.0,1.3181818181820437,2.0,1.3181818181820437,2.0,1.3181818181820437,2.2000000000007276,-1,2020
2.0,1.3181818181820437,2.0,1.3181818181820437,2.0,1.3181818181820437,2.2000000000007276,-1,2020
-1.0,-1.273224043715858,-1.0,-1.273224043715858,-1.0,-1.273224043715858,5.489999999999782,-1,2020
-1.0,-1.273224043715858,-1.0,-1.273224043715858,-1.0,-1.273224043715858,5.489999999999782,-1,2020
2.0,1.7047244094488145,2.0,1.7047244094488145,2.0,1.7047244094488145,5.079999999999927,1,2020
2.0,1.860982391102861,0.0,-0.13901760889713916,0.0,-0.13901760889713916,10.789999999999054,1,2020
2.0,1.860982391102861,0.0,-0.13901760889713916,0.0,-0.13901760889713916,10.789999999999054,1,2020
-1.0,-1.6787330316739175,-1.0,-1.6787330316739175,-1.0,-1.6787330316739175,2.210000000000946,1,2020
2.0,1.3617021276596732,2.0,1.3617021276596732,2.0,1.3617021276596732,2.350000000000364,1,2020
2.0,1.9189189189189189,2.0,1.9189189189189189,1.6,1.518918918918919,18.5,-1,2020
2.0,1.7588424437298782,2.0,1.7588424437298782,1.6,1.3588424437298783,6.219999999999345,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
-1.0,-1.2814258911819927,0.0,-0.28142589118199257,0.0,-0.28142589118199257,5.329999999999927,-1,2020
2.0,1.716981132075433,2.0,1.716981132075433,2.0,1.716981132075433,5.299999999999272,-1,2020
2.0,1.1803278688524266,0.0,-0.8196721311475735,0.0,-0.8196721311475735,1.8299999999999272,-1,2020
-1.0,-1.4398826979472328,-1.0,-1.4398826979472328,-1.0,-1.4398826979472328,3.4099999999998545,-1,2020
-1.0,-1.4297994269341243,0.0,-0.4297994269341243,0.0,-0.4297994269341243,3.4899999999997817,1,2020
-1.0,-1.4297994269341243,0.0,-0.4297994269341243,0.0,-0.4297994269341243,3.4899999999997817,1,2020
-1.0,-1.8571428571428572,-1.0,-1.8571428571428572,-1.0,-1.8571428571428572,1.75,-1,2020
-1.0,-1.247116968698529,-1.0,-1.247116968698529,-1.0,-1.247116968698529,6.069999999999709,-1,2020
-1.0,-1.247116968698529,-1.0,-1.247116968698529,-1.0,-1.247116968698529,6.069999999999709,-1,2020
-1.0,-1.351288056206053,-1.0,-1.351288056206053,-1.0,-1.351288056206053,4.270000000000437,-1,2020
-1.0,-1.351288056206053,-1.0,-1.351288056206053,-1.0,-1.351288056206053,4.270000000000437,-1,2020
-1.0,-1.190355329949258,0.0,-0.1903553299492579,0.0,-0.1903553299492579,7.8799999999992,-1,2020
-1.0,-1.190355329949258,0.0,-0.1903553299492579,0.0,-0.1903553299492579,7.8799999999992,-1,2020
-1.0,-1.1026694045174497,-1.0,-1.1026694045174497,-1.0,-1.1026694045174497,14.610000000000582,-1,2020
-1.0,-1.2742230347349506,-1.0,-1.2742230347349506,-1.0,-1.2742230347349506,5.469999999999345,1,2020
-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,15.149999999999636,1,2020
-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,15.149999999999636,1,2020
-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,-1.0,-1.0990099009901013,15.149999999999636,1,2020
-1.0,-1.156249999999994,0.0,-0.1562499999999941,0.0,-0.1562499999999941,9.600000000000364,-1,2020
2.0,1.7956403269754808,2.0,1.7956403269754808,1.6,1.395640326975481,7.3400000000001455,1,2020
-1.0,-1.0709555345316955,0.0,-0.07095553453169542,0.0,-0.07095553453169542,21.139999999999418,1,2020
-1.0,-1.2209131075110764,-1.0,-1.2209131075110764,-1.0,-1.2209131075110764,6.789999999999054,1,2020
-1.0,-1.3138075313807103,-1.0,-1.3138075313807103,-1.0,-1.3138075313807103,4.780000000000655,-1,2020
-1.0,-1.2384737678854996,0.0,-0.23847376788549948,0.0,-0.23847376788549948,6.290000000000873,-1,2020
-1.0,-1.115473441108547,0.0,-0.11547344110854697,0.0,-0.11547344110854697,12.989999999999782,1,2020
-1.0,-1.126050420168071,0.0,-0.12605042016807108,0.0,-0.12605042016807108,11.899999999999636,-1,2020
2.0,1.9057788944723622,2.0,1.9057788944723622,1.6,1.5057788944723622,15.920000000000073,1,2020
-1.0,-1.2976190476191034,-1.0,-1.2976190476191034,-1.0,-1.2976190476191034,5.039999999999054,-1,2020
-1.0,-1.199203187251027,-1.0,-1.199203187251027,-1.0,-1.199203187251027,7.529999999998836,-1,2020
-1.0,-1.199203187251027,-1.0,-1.199203187251027,-1.0,-1.199203187251027,7.529999999998836,-1,2020
-1.0,-1.199203187251027,-1.0,-1.199203187251027,-1.0,-1.199203187251027,7.529999999998836,-1,2020
