RA,nA,RB,nB,RC,nC,rgo,lado,anio
-1.0,-2.63398692810679,-1.0,-2.63398692810679,-1.0,-2.63398692810679,0.30599999999958527,-1,2020
2.0,0.24561403508682345,2.0,0.24561403508682345,1.6,-0.15438596491317647,0.2849999999998545,1,2020
-1.0,-1.0806061583104953,-1.0,-1.0806061583104953,-1.0,-1.0806061583104953,6.2029999999999745,-1,2020
-1.0,-1.25,0.0,-0.25,0.0,-0.25,2.0,-1,2020
2.0,1.5670995670996422,0.0,-0.4329004329003579,0.0,-0.4329004329003579,1.1550000000002,1,2020
2.0,1.5670995670996422,0.0,-0.4329004329003579,0.0,-0.4329004329003579,1.1550000000002,1,2020
-1.0,-1.1666666666666667,0.0,-0.16666666666666666,0.0,-0.16666666666666666,3.0,-1,2020
-1.0,-1.1666666666666667,0.0,-0.16666666666666666,0.0,-0.16666666666666666,3.0,-1,2020
-1.0,-1.1666666666666667,0.0,-0.16666666666666666,0.0,-0.16666666666666666,3.0,-1,2020
-1.0,-1.1666666666666667,0.0,-0.16666666666666666,0.0,-0.16666666666666666,3.0,-1,2020
2.0,1.7721057429352738,2.0,1.7721057429352738,2.0,1.7721057429352738,2.19399999999996,-1,2020
2.0,1.9390466902352796,2.0,1.9390466902352796,2.0,1.9390466902352796,8.202999999999975,1,2020
2.0,1.9390466902352796,2.0,1.9390466902352796,2.0,1.9390466902352796,8.202999999999975,1,2020
2.0,1.9390466902352796,2.0,1.9390466902352796,2.0,1.9390466902352796,8.202999999999975,1,2020
2.0,1.9390466902352796,2.0,1.9390466902352796,2.0,1.9390466902352796,8.202999999999975,1,2020
2.0,1.6659986639946212,0.0,-0.3340013360053789,0.0,-0.3340013360053789,1.4969999999998436,-1,2020
-1.0,-1.276395798783898,-1.0,-1.276395798783898,-1.0,-1.276395798783898,1.8089999999997417,1,2020
2.0,1.7249724972497569,2.0,1.7249724972497569,2.0,1.7249724972497569,1.818000000000211,1,2020
2.0,1.7249724972497569,2.0,1.7249724972497569,2.0,1.7249724972497569,1.818000000000211,1,2020
-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,0.8150000000000546,-1,2020
-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,0.8150000000000546,-1,2020
-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,-1.0,-1.6134969325152964,0.8150000000000546,-1,2020
2.0,1.6542185338865627,2.0,1.6542185338865627,2.0,1.6542185338865627,1.4459999999999127,1,2020
2.0,1.0118577075096042,2.0,1.0118577075096042,2.0,1.0118577075096042,0.5059999999998581,1,2020
