RA,nA,RB,nB,RC,nC,rgo,lado,anio
2.0,1.8974358974358998,0.0,-0.10256410256410017,0.0,-0.10256410256410017,195.00000000000455,1,2023
-1.0,-1.1142857142857143,0.0,-0.1142857142857143,0.0,-0.1142857142857143,175.0,1,2023
-1.0,-1.1142857142857143,0.0,-0.1142857142857143,0.0,-0.1142857142857143,175.0,1,2023
2.0,1.8876404494382149,2.0,1.8876404494382149,2.0,1.8876404494382149,178.00000000002,1,2023
2.0,1.8876404494382149,2.0,1.8876404494382149,2.0,1.8876404494382149,178.00000000002,1,2023
2.0,1.8558038932948753,0.0,-0.14419610670512484,0.0,-0.14419610670512484,138.69999999999436,-1,2023
-1.0,-1.4255319148935923,-1.0,-1.4255319148935923,-1.0,-1.4255319148935923,47.00000000000273,1,2023
-1.0,-1.4255319148935923,-1.0,-1.4255319148935923,-1.0,-1.4255319148935923,47.00000000000273,1,2023
-1.0,-1.0709219858156045,-1.0,-1.0709219858156045,-1.0,-1.0709219858156045,281.99999999999363,-1,2023
-1.0,-1.3389830508475047,-1.0,-1.3389830508475047,-1.0,-1.3389830508475047,58.999999999991815,1,2023
-1.0,-1.1382170006910957,-1.0,-1.1382170006910957,-1.0,-1.1382170006910957,144.6999999999889,-1,2023
-1.0,-1.227272727272699,-1.0,-1.227272727272699,-1.0,-1.227272727272699,88.00000000001091,-1,2023
2.0,1.9008428358948959,2.0,1.9008428358948959,2.0,1.9008428358948959,201.70000000000528,1,2023
2.0,1.722222222222145,2.0,1.722222222222145,2.4972222222224767,2.2194444444446217,71.99999999997999,-1,2023
2.0,1.722222222222145,2.0,1.722222222222145,2.4972222222224767,2.2194444444446217,71.99999999997999,-1,2023
-1.0,-1.1980198019801997,-1.0,-1.1980198019801997,-1.0,-1.1980198019801997,100.99999999999909,-1,2023
2.0,1.677419354838653,2.0,1.677419354838653,3.174193548387409,2.851612903226062,61.999999999989086,-1,2023
-1.0,-1.3389830508473741,-1.0,-1.3389830508473741,-1.0,-1.3389830508473741,59.00000000001455,-1,2023
-1.0,-1.1863932898415892,-1.0,-1.1863932898415892,-1.0,-1.1863932898415892,107.29999999998654,1,2023
2.0,1.6825396825396228,2.0,1.6825396825396228,1.6,1.282539682539623,62.99999999998818,1,2023
-1.0,-1.0527704485488132,0.0,-0.05277044854881317,0.0,-0.05277044854881317,378.99999999999636,1,2023
2.0,1.8449612403101006,2.0,1.8449612403101006,2.0,1.8449612403101006,129.0000000000191,1,2023
-1.0,-1.147058823529398,-1.0,-1.147058823529398,-1.0,-1.147058823529398,136.00000000001273,-1,2023
-1.0,-1.0865800865800885,0.0,-0.08658008658008863,0.0,-0.08658008658008863,230.99999999999454,1,2023
2.0,1.8532648569332415,0.0,-0.14673514306675842,0.0,-0.14673514306675842,136.30000000000564,1,2023
2.0,1.8260869565217184,2.0,1.8260869565217184,2.0,1.8260869565217184,114.99999999998636,-1,2023
2.0,1.8260869565217184,2.0,1.8260869565217184,2.0,1.8260869565217184,114.99999999998636,-1,2023
2.0,1.8260869565217184,2.0,1.8260869565217184,2.0,1.8260869565217184,114.99999999998636,-1,2023
-1.0,-1.5665722379606,-1.0,-1.5665722379606,-1.0,-1.5665722379606,35.29999999998381,1,2023
-1.0,-1.5665722379606,-1.0,-1.5665722379606,-1.0,-1.5665722379606,35.29999999998381,1,2023
-1.0,-1.2055498458376248,0.0,-0.20554984583762487,0.0,-0.20554984583762487,97.29999999999563,-1,2023
2.0,1.8905309250136835,2.0,1.8905309250136835,2.0,1.8905309250136835,182.69999999999982,1,2023
-1.0,-1.147058823529398,-1.0,-1.147058823529398,-1.0,-1.147058823529398,136.00000000001273,1,2023
