mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.1254385964912126,11.400000000001409,-1,2020,7
SL,-1.0,-1.118181818181803,12.100000000001554,1,2020,8
SL,-1.0,-1.1254385964912126,11.400000000001409,1,2020,10
TP,2.0,1.9341013824884794,21.700000000000053,-1,2020,13
TP,2.0,1.9341013824884794,21.700000000000053,-1,2020,13
TP,2.0,1.9341013824884794,21.700000000000053,-1,2020,13
TP,2.0,1.9341013824884794,21.700000000000053,-1,2020,13
SL,-1.0,-1.234426229508197,6.099999999999994,1,2020,0
TP,2.0,1.8510416666666434,9.599999999998499,-1,2020,0
TP,2.0,1.8510416666666434,9.599999999998499,-1,2020,0
TP,2.0,1.8510416666666434,9.599999999998499,-1,2020,0
TP,2.0,1.8093333333333406,7.500000000000284,-1,2020,1
SL,-1.0,-1.3042553191489552,4.699999999999704,1,2020,8
TP,2.0,1.8723214285714298,11.200000000000099,-1,2020,10
SL,-1.0,-1.1906666666666594,7.500000000000284,1,2020,11
SL,-1.0,-1.1021428571428522,14.000000000000679,-1,2020,12
SL,-1.0,-1.0733333333333288,19.500000000001183,-1,2020,9
SL,-1.0,-1.110000000000012,12.999999999998568,1,2020,10
SL,-1.0,-1.1444444444444701,9.899999999998244,-1,2020,8
SL,-1.0,-1.2803921568628613,5.099999999997884,1,2020,9
fuera,0.25517241379309924,0.1565517241379235,14.499999999999513,1,2020,15
SL,-1.0,-1.571999999999809,2.500000000000835,-1,2020,16
SL,-1.0,-1.3177777777778912,4.499999999998394,1,2020,17
SL,-1.0,-1.3325581395349375,4.299999999999304,-1,2020,22
TP,2.0,1.6512195121951403,4.100000000000215,1,2020,1
TP,2.0,1.6512195121951403,4.100000000000215,1,2020,1
SL,-1.0,-1.3487804878048597,4.100000000000215,1,2020,3
SL,-1.0,-1.420588235294109,3.4000000000000696,-1,2020,4
SL,-1.0,-1.0680952380952384,20.999999999999908,-1,2020,9
SL,-1.0,-1.0680952380952384,20.999999999999908,-1,2020,9
SL,-1.0,-1.0680952380952384,20.999999999999908,-1,2020,9
TP,2.0,1.6595238095237,4.199999999998649,1,2020,10
SL,-1.0,-1.3042553191489552,4.699999999999704,1,2020,16
SL,-1.0,-1.2599999999999763,5.5000000000005045,1,2020,10
SL,-1.0,-2.100000000000309,1.2999999999996348,1,2020,12
SL,-1.0,-1.1489583333333222,9.600000000000719,-1,2020,12
SL,-1.0,-1.1489583333333222,9.600000000000719,-1,2020,12
SL,-1.0,-1.1349056603773509,10.600000000000609,-1,2020,13
SL,-1.0,-1.1349056603773509,10.600000000000609,-1,2020,13
SL,-1.0,-1.1349056603773509,10.600000000000609,-1,2020,13
TP,2.0,1.916374269005853,17.100000000001003,1,2020,14
TP,2.0,1.916374269005853,17.100000000001003,1,2020,14
TP,2.0,1.916374269005853,17.100000000001003,1,2020,14
SL,-1.0,-1.571999999999809,2.500000000000835,1,2020,0
SL,-1.0,-1.170238095238105,8.399999999999519,-1,2020,7
TP,2.0,1.8767241379310398,11.600000000000499,1,2020,8
TP,2.0,1.8767241379310398,11.600000000000499,1,2020,8
TP,2.0,1.857000000000016,10.000000000001119,1,2020,11
TP,2.0,1.857000000000016,10.000000000001119,1,2020,11
SL,-1.0,-1.1243478260869582,11.499999999999844,-1,2020,12
SL,-1.0,-1.1243478260869582,11.499999999999844,-1,2020,12
TP,2.0,1.7534482758620795,5.800000000000249,1,2020,6
SL,-1.0,-1.1906666666666594,7.500000000000284,-1,2020,8
SL,-1.0,-1.17874999999997,8.00000000000134,1,2020,12
TP,2.0,1.9239361702127702,18.800000000001038,-1,2020,14
TP,2.0,1.9239361702127702,18.800000000001038,-1,2020,14
TP,2.0,1.3782608695650889,2.2999999999995246,1,2020,16
TP,2.0,1.857000000000016,10.000000000001119,-1,2020,9
TP,2.0,1.8827868852459015,12.199999999999989,-1,2020,10
TP,2.0,1.8827868852459015,12.199999999999989,-1,2020,10
TP,2.0,1.591428571428656,3.5000000000007248,-1,2020,11
TP,2.0,1.591428571428656,3.5000000000007248,-1,2020,11
fuera,1.0,0.8756521739130418,11.499999999999844,-1,2020,13
SL,-1.0,-1.250877192982474,5.699999999999594,-1,2020,0
SL,-1.0,-1.3763157894736378,3.8000000000004697,1,2020,1
SL,-1.0,-4.574999999996425,0.40000000000040004,1,2020,8
SL,-1.0,-1.1906666666666594,7.500000000000284,1,2020,9
SL,-1.0,-1.2199999999999867,6.500000000000394,-1,2020,10
SL,-1.0,-1.2199999999999867,6.500000000000394,-1,2020,10
SL,-1.0,-1.3177777777777344,4.500000000000615,-1,2020,0
TP,2.0,1.20555555555586,1.80000000000069,1,2020,1
SL,-1.0,-1.2803921568627394,5.1000000000001044,1,2020,2
TP,2.0,1.7140000000000954,5.00000000000167,1,2020,9
SL,-1.0,-1.1036231884058019,13.799999999999368,1,2020,10
TP,2.0,1.7616666666667287,6.00000000000156,-1,2020,15
SL,-1.0,-1.17874999999997,8.00000000000134,-1,2020,20
SL,-1.0,-1.2306451612902984,6.200000000000649,-1,2020,21
SL,-1.0,-1.34047619047612,4.20000000000087,-1,2020,0
SL,-1.0,-1.3404761904763,4.199999999998649,1,2020,1
SL,-1.0,-1.7526315789468356,1.900000000001345,-1,2020,2
SL,-1.0,-1.1349056603773509,10.600000000000609,1,2020,7
SL,-1.0,-1.1117187499999852,12.800000000001699,1,2020,9
SL,-1.0,-1.1117187499999852,12.800000000001699,1,2020,9
SL,-1.0,-1.1625000000000014,8.799999999999919,-1,2020,10
SL,-1.0,-1.0569721115537847,25.100000000000122,-1,2020,14
SL,-1.0,-1.0569721115537847,25.100000000000122,-1,2020,14
SL,-1.0,-1.4931034482760297,2.8999999999990145,1,2020,23
SL,-1.0,-1.1906666666666594,7.500000000000284,1,2020,0
SL,-1.0,-1.1906666666666594,7.500000000000284,1,2020,0
SL,-1.0,-1.1153225806451492,12.400000000001299,-1,2020,0
SL,-1.0,-1.1153225806451492,12.400000000001299,-1,2020,0
SL,-1.0,-1.1153225806451492,12.400000000001299,-1,2020,0
SL,-1.0,-1.3575000000000395,3.9999999999995595,1,2020,1
SL,-1.0,-1.2014084507042286,7.099999999999884,-1,2020,3
TP,2.0,1.9352941176470602,22.100000000000453,-1,2020,13
TP,2.0,1.9322274881516606,21.100000000000563,-1,2020,14
TP,2.0,1.9322274881516606,21.100000000000563,-1,2020,14
TP,2.0,1.9322274881516606,21.100000000000563,-1,2020,14
fuera,0.9030303030303365,0.8163636363636662,16.499999999999293,-1,2020,9
SL,-1.0,-1.2465517241379205,5.800000000000249,1,2020,10
SL,-1.0,-1.5296296296296443,2.6999999999999247,-1,2020,0
SL,-1.0,-1.2102941176470545,6.800000000000139,1,2020,7
SL,-1.0,-1.4766666666667192,2.9999999999996696,-1,2020,7
SL,-1.0,-1.250877192982474,5.699999999999594,1,2020,9
SL,-1.0,-1.2072463768115704,6.900000000000794,-1,2020,9
SL,-1.0,-1.1459183673469417,9.799999999999809,1,2020,10
fuera,1.4527027027028405,1.356081081081214,14.799999999999258,-1,2020,14
SL,-1.0,-3.04285714285672,0.700000000000145,-1,2020,0
SL,-1.0,-3.04285714285672,0.700000000000145,1,2020,1
TP,2.0,1.730188679245242,5.299999999999194,-1,2020,1
SL,-1.0,-1.4468749999998631,3.20000000000098,1,2020,11
TP,2.0,1.6674418604652341,4.300000000001525,-1,2020,12
TP,2.0,1.7139999999999684,4.999999999999449,-1,2020,0
TP,2.0,1.7139999999999684,4.999999999999449,-1,2020,0
TP,2.0,1.7693548387097016,6.200000000000649,-1,2020,1
SL,-1.0,-1.1505263157894727,9.500000000000064,-1,2020,7
SL,-1.0,-1.1881578947368738,7.599999999998719,1,2020,9
SL,-1.0,-1.250877192982474,5.699999999999594,-1,2020,12
