mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.086486486486491,18.499999999999073,-1,2020,5
SL,-1.0,-1.0353200883002214,45.29999999999923,1,2020,8
SL,-1.0,-1.0353200883002214,45.29999999999923,1,2020,8
TP,2.0,1.9338842975206636,24.200000000000887,-1,2020,9
SL,-1.0,-1.1481481481481524,10.799999999999699,1,2020,12
SL,-1.0,-1.0529801324503347,30.199999999998006,-1,2020,14
SL,-1.0,-1.195121951219502,8.20000000000043,-1,2020,0
TP,2.0,1.7241379310344946,5.800000000000249,1,2020,1
SL,-1.0,-1.1600000000000177,9.999999999998899,-1,2020,7
SL,-1.0,-1.0597014925373132,26.800000000000157,1,2020,8
SL,-1.0,-1.055749128919862,28.69999999999928,1,2020,10
TP,2.0,1.8740157480315065,12.700000000001044,1,2020,12
SL,-1.0,-1.0594795539033488,26.89999999999859,-1,2020,12
SL,-1.0,-1.5161290322580105,3.1000000000003247,1,2020,8
TP,2.0,1.9379844961240316,25.800000000000267,-1,2020,8
SL,-1.0,-1.0251968503937006,63.500000000000774,-1,2020,9
SL,-1.0,-1.0251968503937006,63.500000000000774,-1,2020,9
SL,-1.0,-1.0251968503937006,63.500000000000774,-1,2020,9
SL,-1.0,-1.0251968503937006,63.500000000000774,-1,2020,9
SL,-1.0,-1.0251968503937006,63.500000000000774,-1,2020,9
SL,-1.0,-1.0634920634920615,25.200000000000777,1,2020,16
SL,-1.0,-1.0634920634920615,25.200000000000777,1,2020,16
SL,-1.0,-1.0634920634920615,25.200000000000777,1,2020,16
SL,-1.0,-1.2622950819672134,6.099999999999994,-1,2020,1
SL,-1.0,-1.2622950819672134,6.099999999999994,-1,2020,1
TP,2.0,1.6981132075472503,5.300000000001415,1,2020,2
TP,2.0,1.6981132075472503,5.300000000001415,1,2020,2
SL,-1.0,-1.2857142857143398,5.599999999998939,-1,2020,4
SL,-1.0,-1.1632653061224152,9.80000000000203,1,2020,5
TP,2.0,1.7681159420290122,6.900000000000794,-1,2020,6
fuera,0.4007220216606385,0.3429602888086517,27.69999999999939,-1,2020,13
SL,-1.0,-1.1616161616161902,9.899999999998244,1,2020,23
TP,2.0,1.813953488372111,8.60000000000083,-1,2020,0
TP,2.0,1.813953488372111,8.60000000000083,-1,2020,0
SL,-1.0,-1.2133333333333254,7.500000000000284,1,2020,5
TP,2.0,1.7192982456140151,5.699999999999594,-1,2020,6
