mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.1363636363636362,11.0,-1,2023,7
TP,2.0,1.85,10.0,1,2023,12
TP,2.0,1.9008592200925292,15.129999999999654,1,2023,9
TP,2.0,1.9008592200925292,15.129999999999654,1,2023,9
SL,-1.0,-1.082599118942732,18.159999999999854,1,2023,8
SL,-1.0,-1.0514933058702367,29.13000000000011,-1,2023,14
SL,-1.0,-1.0935162094763093,16.039999999999964,1,2023,8
SL,-1.0,-1.124481327800828,12.050000000000182,-1,2023,11
TP,2.0,0.5294117647065117,1.0200000000004366,1,2023,9
SL,-1.0,-1.3605769230769358,4.1599999999998545,1,2023,8
SL,-1.0,-1.3605769230769358,4.1599999999998545,1,2023,8
SL,-1.0,-1.2435064935064992,6.1599999999998545,-1,2023,10
SL,-1.0,-1.2435064935064992,6.1599999999998545,-1,2023,10
TP,2.0,1.8638838475499033,11.019999999999527,1,2023,14
SL,-1.0,-1.059642147117297,25.149999999999636,-1,2023,15
SL,-1.0,-1.0956022944550694,15.6899999999996,1,2023,16
TP,2.0,1.701195219123532,5.020000000000437,1,2023,7
SL,-1.0,-1.2551020408163218,5.880000000000109,-1,2023,13
TP,2.0,1.8769483182936886,12.19000000000051,-1,2023,16
TP,2.0,0.7068965517239758,1.1599999999998545,1,2023,17
TP,2.0,1.6385542168674383,4.149999999999636,-1,2023,19
TP,2.0,1.6240601503759193,3.9899999999997817,1,2023,7
SL,-1.0,-1.1247920133111435,12.020000000000437,-1,2023,7
SL,-1.0,-1.1247920133111435,12.020000000000437,-1,2023,7
SL,-1.0,-1.1247920133111435,12.020000000000437,-1,2023,7
TP,2.0,1.9268649439297911,20.51000000000022,-1,2023,8
SL,-1.0,-1.0834260289210254,17.979999999999563,-1,2023,10
SL,-1.0,-1.210674157303374,7.119999999999891,1,2023,12
SL,-1.0,-1.1332149200710453,11.260000000000218,-1,2023,16
fuera,1.6473509933774633,1.3990066225165347,6.039999999999964,1,2023,19
SL,-1.0,-1.0666370501999105,22.51000000000022,-1,2023,8
SL,-1.0,-1.0666370501999105,22.51000000000022,-1,2023,8
SL,-1.0,-1.0666370501999105,22.51000000000022,-1,2023,8
SL,-1.0,-1.1344086021505393,11.159999999999854,1,2023,15
SL,-1.0,-1.1344086021505393,11.159999999999854,1,2023,15
SL,-1.0,-1.1344086021505393,11.159999999999854,1,2023,15
SL,-1.0,-1.1935483870967742,7.75,1,2023,16
SL,-1.0,-1.350467289719647,4.279999999999745,-1,2023,16
SL,-1.0,-1.209497206703915,7.1599999999998545,1,2023,18
TP,2.0,1.2063492063493437,1.8900000000003274,-1,2023,18
SL,-1.0,-1.2491694352159288,6.020000000000437,-1,2023,7
SL,-1.0,-1.2491694352159288,6.020000000000437,-1,2023,7
SL,-1.0,-1.2970297029702864,5.050000000000182,1,2023,9
