mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.3253796095444275,4.610000000000582,-1,2020,1
SL,-1.0,-1.5434782608695223,2.7600000000002183,1,2020,2
SL,-1.0,-1.060024009603842,24.98999999999978,1,2020,23
SL,-1.0,-1.060024009603842,24.98999999999978,1,2020,23
SL,-1.0,-1.0158797374550073,94.46000000000095,-1,2020,23
SL,-1.0,-1.0158797374550073,94.46000000000095,-1,2020,23
SL,-1.0,-1.0158797374550073,94.46000000000095,-1,2020,23
SL,-1.0,-1.0158797374550073,94.46000000000095,-1,2020,23
SL,-1.0,-1.032751091703056,45.80000000000109,-1,2020,0
SL,-1.0,-1.032751091703056,45.80000000000109,-1,2020,0
SL,-1.0,-1.032751091703056,45.80000000000109,-1,2020,0
SL,-1.0,-1.032751091703056,45.80000000000109,-1,2020,0
TP,2.0,1.9696724625960378,49.460000000000946,1,2020,1
TP,2.0,1.9696724625960378,49.460000000000946,1,2020,1
TP,2.0,1.9696724625960378,49.460000000000946,1,2020,1
TP,2.0,1.9696724625960378,49.460000000000946,1,2020,1
SL,-1.0,-1.0527240773286488,28.44999999999891,-1,2020,1
TP,2.0,1.9790092359361877,71.45999999999913,1,2020,2
TP,2.0,1.9790092359361877,71.45999999999913,1,2020,2
SL,-1.0,-1.229709035222029,6.530000000000655,-1,2020,10
SL,-1.0,-1.1206757843925956,12.430000000000291,1,2020,12
SL,-1.0,-1.2707581227436395,5.540000000000873,-1,2020,14
TP,2.0,1.976569821930647,64.02000000000044,1,2020,16
TP,2.0,1.976569821930647,64.02000000000044,1,2020,16
TP,2.0,1.976569821930647,64.02000000000044,1,2020,16
SL,-1.0,-1.0515463917525767,29.100000000000364,1,2020,7
SL,-1.0,-1.108069164265136,13.8799999999992,1,2020,0
TP,2.0,1.9386000818665583,24.43000000000029,-1,2020,16
fuera,-0.2504548211037643,-0.34141904184360783,16.48999999999978,1,2020,20
TP,2.0,1.7483221476509698,5.959999999999127,1,2020,1
SL,-1.0,-1.2890173410405352,5.18999999999869,-1,2020,8
SL,-1.0,-1.1090909090909091,13.75,1,2020,9
TP,2.0,1.9454743729552895,27.51000000000022,1,2020,16
SL,-1.0,-1.2857142857142856,5.25,1,2020,0
TP,2.0,1.7854077253218816,6.989999999999782,-1,2020,1
SL,-1.0,-1.0566679259539116,26.469999999999345,1,2020,8
SL,-1.0,-1.0321957501609786,46.590000000000146,-1,2020,14
TP,2.0,1.8496993987975887,9.979999999999563,1,2020,0
TP,2.0,1.8214285714285636,8.399999999999636,-1,2020,1
