mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.21682567215958,2.30600000000004,-1,2020,2
SL,-1.0,-1.1783803068141352,2.8029999999998836,1,2020,4
TP,2.0,1.9359713151491884,7.8090000000001965,-1,2020,13
TP,2.0,1.8533294221179277,3.4090000000001055,1,2020,14
SL,-1.0,-1.0704225352112684,7.099999999999909,-1,2020,14
SL,-1.0,-1.05769674590353,8.666000000000167,1,2020,15
SL,-1.0,-1.05769674590353,8.666000000000167,1,2020,15
SL,-1.0,-1.0165645188007288,30.184999999999945,-1,2020,23
SL,-1.0,-1.0165645188007288,30.184999999999945,-1,2020,23
SL,-1.0,-1.0165645188007288,30.184999999999945,-1,2020,23
SL,-1.0,-1.0165645188007288,30.184999999999945,-1,2020,23
SL,-1.0,-1.0392310710082389,12.74499999999989,-1,2020,0
TP,2.0,1.9709656814354568,17.221000000000004,1,2020,1
SL,-1.0,-1.0709723207948938,7.044999999999618,-1,2020,1
SL,-1.0,-1.0709723207948938,7.044999999999618,-1,2020,1
TP,2.0,1.977762953079831,22.485000000000127,1,2020,2
TP,2.0,1.977762953079831,22.485000000000127,1,2020,2
TP,2.0,1.977762953079831,22.485000000000127,1,2020,2
TP,2.0,1.977762953079831,22.485000000000127,1,2020,2
SL,-1.0,-1.0940203083866158,5.317999999999756,-1,2020,4
SL,-1.0,-1.1049758555532245,4.76299999999992,-1,2020,8
TP,2.0,1.9524488825487394,10.514999999999873,1,2020,10
fuera,0.9707239277781127,0.9422452583015503,17.55699999999979,1,2020,16
fuera,0.9707239277781127,0.9422452583015503,17.55699999999979,1,2020,16
SL,-1.0,-1.079176563737133,6.315000000000055,1,2020,19
SL,-1.0,-1.0365203418304,13.690999999999804,-1,2020,20
SL,-1.0,-1.0365203418304,13.690999999999804,-1,2020,20
SL,-1.0,-1.0365203418304,13.690999999999804,-1,2020,20
TP,2.0,1.8004788507582052,2.506000000000313,-1,2020,0
SL,-1.0,-1.381970970206207,1.3090000000001965,1,2020,1
TP,2.0,1.9334132374483954,7.5090000000000146,1,2020,7
SL,-1.0,-1.124719381391868,4.0090000000000146,1,2020,0
fuera,1.3302828618968476,1.2609539656128763,7.211999999999989,-1,2020,16
fuera,0.09417256922086886,0.01368319381842184,6.211999999999989,-1,2020,20
SL,-1.0,-1.125,4.0,-1,2020,23
TP,2.0,1.8188405797101592,2.7600000000002183,1,2020,0
SL,-1.0,-1.1787629603146212,2.7970000000000255,-1,2020,1
SL,-1.0,-1.1660026560425123,3.0119999999997162,1,2020,2
TP,2.0,1.9092394263931751,5.5090000000000146,1,2020,16
SL,-1.0,-1.0831669993346615,6.012000000000171,1,2020,20
SL,-1.0,-1.3340013360052776,1.4970000000002983,1,2020,0
TP,2.0,1.7745716862038179,2.218000000000302,-1,2020,1
TP,2.0,1.8946481247366225,4.746000000000095,-1,2020,7
TP,2.0,1.9337309476474493,7.545000000000073,1,2020,8
SL,-1.0,-1.0557848934508522,8.963000000000193,1,2020,9
TP,2.0,1.814608824619956,2.6970000000001164,1,2020,0
SL,-1.0,-1.6180469715696892,0.8090000000001965,-1,2020,11
SL,-1.0,-1.1988071570576642,2.5149999999998727,1,2020,12
TP,2.0,1.968535649109559,15.891000000000076,1,2020,14
SL,-1.0,-1.0832500832500853,6.005999999999858,1,2020,15
TP,2.0,1.8665955176093934,3.7480000000000473,-1,2020,16
SL,-1.0,-1.0735294117647038,6.800000000000182,-1,2020,17
SL,-1.0,-1.196463654223963,2.5450000000000728,-1,2020,0
TP,2.0,1.782891880156307,2.3029999999998836,1,2020,1
SL,-1.0,-2.4492753623177705,0.34500000000025466,-1,2020,5
TP,2.0,1.9087424712538754,5.4789999999998145,1,2020,8
SL,-1.0,-1.2488800398208046,2.0090000000000146,-1,2020,8
SL,-1.0,-1.2182453077259112,2.2909999999997126,1,2020,9
SL,-1.0,-1.104231811548884,4.7970000000000255,1,2020,23
TP,2.0,1.678869621066203,1.5570000000002437,-1,2020,0
TP,2.0,1.8705669169039703,3.8630000000002838,-1,2020,7
TP,2.0,1.8705669169039703,3.8630000000002838,-1,2020,7
SL,-1.0,-1.1990445859872836,2.5119999999997162,1,2020,16
