mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.0785340314136174,19.09999999999883,1,2020,15
SL,-1.0,-1.0785340314136174,19.09999999999883,1,2020,15
SL,-1.0,-1.0785340314136174,19.09999999999883,1,2020,15
TP,2.0,1.838709677419361,9.300000000000352,-1,2020,16
TP,2.0,1.838709677419361,9.300000000000352,-1,2020,16
TP,2.0,1.8739495798319326,11.899999999999977,-1,2020,21
SL,-1.0,-1.0892857142857184,16.799999999999216,1,2020,23
SL,-1.0,-1.0892857142857184,16.799999999999216,1,2020,23
SL,-1.0,-1.0892857142857184,16.799999999999216,1,2020,23
SL,-1.0,-1.031446540880503,47.70000000000039,-1,2020,23
TP,2.0,1.9305555555555582,21.60000000000082,1,2020,0
TP,2.0,1.9305555555555582,21.60000000000082,1,2020,0
TP,2.0,1.9305555555555582,21.60000000000082,1,2020,0
SL,-1.0,-1.074257425742575,20.199999999999818,-1,2020,0
SL,-1.0,-1.074257425742575,20.199999999999818,-1,2020,0
TP,2.0,1.9327354260089682,22.299999999999898,1,2020,1
TP,2.0,1.9327354260089682,22.299999999999898,1,2020,1
TP,2.0,1.961139896373058,38.60000000000099,1,2020,2
TP,2.0,1.9409448818897617,25.399999999999068,1,2020,10
TP,2.0,1.9409448818897617,25.399999999999068,1,2020,10
TP,2.0,1.9409448818897617,25.399999999999068,1,2020,10
SL,-1.0,-1.1249999999999953,12.000000000000455,-1,2020,15
fuera,1.1362530413625236,1.0997566909975602,41.100000000000136,1,2020,16
SL,-1.0,-1.254237288135604,5.89999999999975,-1,2020,0
TP,2.0,1.7727272727272814,6.60000000000025,1,2020,5
SL,-1.0,-1.157894736842107,9.499999999999886,-1,2020,0
SL,-1.0,-1.202702702702708,7.399999999999807,1,2020,9
SL,-1.0,-1.3658536585366137,4.099999999999682,-1,2020,23
TP,2.0,1.7222222222221597,5.3999999999987836,1,2020,0
SL,-1.0,-2.3636363636351376,1.100000000000989,-1,2020,0
SL,-1.0,-2.153846153846951,1.2999999999991019,1,2020,1
SL,-1.0,-2.5000000000013642,0.9999999999990905,-1,2020,8
TP,2.0,1.9101796407185638,16.70000000000016,1,2020,9
SL,-1.0,-1.0961538461538425,15.600000000000591,1,2020,0
fuera,0.035460992907872184,-0.07092198581553877,14.099999999999113,-1,2020,7
TP,2.0,1.8986486486486558,14.800000000001035,1,2020,14
SL,-1.0,-1.1704545454545299,8.800000000000807,1,2020,8
SL,-1.0,-1.1704545454545299,8.800000000000807,1,2020,8
SL,-1.0,-1.4054054054054939,3.699999999999193,-1,2020,9
TP,2.0,1.062500000000313,1.6000000000005343,-1,2020,10
SL,-1.0,-1.2678571428571552,5.5999999999997385,-1,2020,23
SL,-1.0,-1.1401869158878513,10.699999999999932,1,2020,0
SL,-1.0,-1.1401869158878513,10.699999999999932,1,2020,0
fuera,0.5555555555555556,0.37037037037037746,8.100000000000307,-1,2020,1
fuera,0.5555555555555556,0.37037037037037746,8.100000000000307,-1,2020,1
SL,-1.0,-1.38461538461537,3.900000000000148,-1,2020,0
SL,-1.0,-1.38461538461537,3.900000000000148,-1,2020,0
SL,-1.0,-1.2941176470588123,5.100000000000193,1,2020,0
TP,2.0,0.7500000000000475,1.2000000000000455,-1,2020,0
fuera,1.131578947368466,1.0751879699248552,26.599999999999113,-1,2020,1
fuera,1.131578947368466,1.0751879699248552,26.599999999999113,-1,2020,1
fuera,1.131578947368466,1.0751879699248552,26.599999999999113,-1,2020,1
fuera,1.131578947368466,1.0751879699248552,26.599999999999113,-1,2020,1
fuera,1.131578947368466,1.0751879699248552,26.599999999999113,-1,2020,1
SL,-1.0,-1.283018867924543,5.299999999999727,1,2020,11
SL,-1.0,-1.283018867924543,5.299999999999727,1,2020,11
SL,-1.0,-1.3191489361702329,4.699999999999704,1,2020,15
SL,-1.0,-1.483870967742065,3.09999999999917,1,2020,18
SL,-1.0,-1.0993377483443734,15.099999999999625,-1,2020,18
TP,2.0,1.5454545454545627,3.300000000000125,1,2020,0
SL,-1.0,-1.0961538461538425,15.600000000000591,1,2020,2
TP,2.0,1.6511627906976107,4.299999999999216,-1,2020,2
TP,2.0,1.5945945945945061,3.699999999999193,-1,2020,3
TP,2.0,1.7727272727272814,6.60000000000025,-1,2020,17
TP,2.0,1.8557692307692297,10.39999999999992,-1,2020,23
SL,-1.0,-1.8823529411759454,1.7000000000010118,1,2020,0
TP,2.0,1.8387096774193363,9.299999999998931,-1,2020,0
TP,2.0,1.6341463414633863,4.099999999999682,-1,2020,1
SL,-1.0,-1.2054794520547734,7.30000000000075,1,2020,17
SL,-1.0,-1.2238805970149484,6.6999999999993065,-1,2020,18
SL,-1.0,-1.483870967742065,3.09999999999917,-1,2020,3
SL,-1.0,-1.16483516483515,9.100000000000819,1,2020,4
TP,2.0,1.2499999999998508,1.999999999999602,-1,2020,1
SL,-1.0,-1.2499999999999905,6.000000000000227,1,2020,6
TP,2.0,1.7826086956521823,6.9000000000002615,1,2020,9
SL,-1.0,-1.1102941176470624,13.599999999999568,1,2020,15
SL,-1.0,-1.2499999999999905,6.000000000000227,-1,2020,15
SL,-1.0,-1.2272727272727186,6.60000000000025,-1,2020,17
SL,-1.0,-1.0967741935483863,15.500000000000114,1,2020,22
SL,-1.0,-1.2941176470588123,5.100000000000193,-1,2020,0
SL,-1.0,-1.1229508196721312,12.199999999999989,1,2020,1
SL,-1.0,-1.1229508196721312,12.199999999999989,1,2020,1
TP,2.0,1.797297297297292,7.399999999999807,-1,2020,5
SL,-1.0,-1.2173913043478177,6.9000000000002615,1,2020,7
SL,-1.0,-1.211267605633809,7.099999999999795,-1,2020,9
SL,-1.0,-1.416666666666651,3.6000000000001364,1,2020,0
TP,2.0,1.8101265822784995,7.900000000000773,-1,2020,0
SL,-1.0,-1.254237288135604,5.89999999999975,-1,2020,2
SL,-1.0,-1.1327433628318588,11.299999999999955,-1,2020,12
SL,-1.0,-1.1209677419354747,12.400000000000944,1,2020,13
SL,-1.0,-1.0528169014084523,28.39999999999918,-1,2020,15
SL,-1.0,-1.0528169014084523,28.39999999999918,-1,2020,15
SL,-1.0,-1.1744186046511658,8.599999999999852,1,2020,16
TP,2.0,1.9044585987261125,15.699999999999648,1,2020,19
SL,-1.0,-1.0920245398772945,16.30000000000109,1,2020,0
SL,-1.0,-1.0920245398772945,16.30000000000109,1,2020,0
SL,-1.0,-1.0920245398772945,16.30000000000109,1,2020,0
SL,-1.0,-1.3947368421052975,3.7999999999996703,-1,2020,6
SL,-1.0,-1.3947368421052975,3.7999999999996703,-1,2020,6
TP,2.0,1.6428571428571563,4.200000000000159,-1,2020,10
SL,-1.0,-1.416666666666651,3.6000000000001364,1,2020,14
SL,-1.0,-1.416666666666651,3.6000000000001364,1,2020,14
TP,2.0,1.8837209302325497,12.899999999999068,-1,2020,14
fuera,0.19733333333332817,0.15733333333332816,37.5,-1,2020,15
fuera,0.19733333333332817,0.15733333333332816,37.5,-1,2020,15
fuera,0.19733333333332817,0.15733333333332816,37.5,-1,2020,15
TP,2.0,1.8770491803278688,12.199999999999989,1,2020,0
SL,-1.0,-1.114503816793893,13.100000000000023,1,2020,7
SL,-1.0,-1.1428571428571568,10.499999999998977,-1,2020,9
SL,-1.0,-1.1363636363636371,10.999999999999943,-1,2020,10
TP,2.0,1.8275862068965583,8.70000000000033,-1,2020,15
TP,2.0,1.2105263157897004,1.9000000000005457,1,2020,0
TP,2.0,1.8387096774193363,9.299999999998931,1,2020,5
TP,2.0,0.33333333333339654,0.9000000000000341,-1,2020,7
TP,2.0,1.872881355932198,11.7999999999995,1,2020,8
SL,-1.0,-1.2941176470588123,5.100000000000193,-1,2020,8
SL,-1.0,-1.19230769230772,7.7999999999988745,1,2020,9
TP,2.0,-1.0000000000027285,0.49999999999954525,-1,2020,12
TP,2.0,1.8706896551724135,11.599999999999966,1,2020,13
SL,-1.0,-1.6521739130435877,2.2999999999996135,-1,2020,14
TP,2.0,1.8897058823529376,13.599999999999568,1,2020,15
fuera,1.4584980237154135,1.3992094861660065,25.30000000000001,1,2020,8
SL,-1.0,-1.238095238095229,6.300000000000239,-1,2020,0
SL,-1.0,-1.2941176470588123,5.100000000000193,1,2020,2
TP,2.0,1.745762711864396,5.89999999999975,1,2020,0
TP,2.0,-2.99999999999981,0.30000000000001137,1,2020,9
SL,-1.0,-1.0898203592814362,16.70000000000016,-1,2020,9
SL,-1.0,-1.3125000000000806,4.799999999998761,-1,2020,10
SL,-1.0,-1.3571428571429645,4.199999999998738,1,2020,14
fuera,0.4966887417218855,0.3973509933775122,15.099999999999625,1,2020,1
fuera,0.4966887417218855,0.3973509933775122,15.099999999999625,1,2020,1
TP,2.0,1.6590909090908852,4.399999999999693,-1,2020,2
SL,-1.0,-1.17241379310347,8.699999999998909,-1,2020,3
SL,-1.0,-1.17241379310347,8.699999999998909,-1,2020,3
SL,-1.0,-1.1999999999999924,7.500000000000284,1,2020,0
