mot,R,neta,rgo,lado,anio,hora
TP,2.0,1.9608457321848078,510.7999999999947,1,2023,23
SL,-1.0,-1.896860986547261,22.299999999995634,-1,2023,23
SL,-1.0,-1.087336244541486,228.99999999999636,-1,2023,0
SL,-1.0,-1.087336244541486,228.99999999999636,-1,2023,0
SL,-1.0,-1.031847133757962,627.9999999999973,1,2023,1
SL,-1.0,-1.031847133757962,627.9999999999973,1,2023,1
TP,2.0,1.929824561403512,285.00000000001364,1,2023,0
TP,2.0,1.929824561403512,285.00000000001364,1,2023,0
SL,-1.0,-1.041666666666667,479.99999999999545,1,2023,5
SL,-1.0,-1.041666666666667,479.99999999999545,1,2023,5
SL,-1.0,-1.0630914826498408,317.0000000000073,-1,2023,6
SL,-1.0,-1.0325203252032527,614.9999999999864,-1,2023,12
SL,-1.0,-1.080645161290322,248.00000000000182,1,2023,15
SL,-1.0,-1.080645161290322,248.00000000000182,1,2023,15
TP,2.0,1.9664991624790609,596.99999999998,1,2023,16
SL,-1.0,-1.327868852458948,61.00000000001273,-1,2023,1
SL,-1.0,-1.0573065902578795,349.0000000000009,1,2023,2
SL,-1.0,-1.0573065902578795,349.0000000000009,1,2023,2
SL,-1.0,-1.0757575757575728,264.00000000001,1,2023,12
SL,-1.0,-1.0105374077976819,1898.0000000000018,-1,2023,14
SL,-1.0,-1.0236686390532543,845.0000000000045,1,2023,8
SL,-1.0,-1.0276243093922652,724.0000000000009,-1,2023,11
SL,-1.0,-1.0384467512495195,520.1999999999998,-1,2023,23
TP,2.0,1.9148936170212816,235.00000000001364,1,2023,0
SL,-1.0,-1.034071550255536,587.0000000000118,1,2023,1
SL,-1.0,-1.034071550255536,587.0000000000118,1,2023,1
TP,2.0,1.9291533829259677,282.3000000000093,-1,2023,5
TP,2.0,1.9291533829259677,282.3000000000093,-1,2023,5
TP,2.0,1.96,500.0,-1,2023,6
SL,-1.0,-1.143884892086344,138.99999999998727,1,2023,0
TP,2.0,1.9653559674346102,577.3000000000138,-1,2023,1
SL,-1.0,-1.0358615743231128,557.6999999999998,-1,2023,2
SL,-1.0,-1.0615763546798063,324.799999999982,1,2023,4
SL,-1.0,-1.0564971751412435,353.99999999999636,1,2023,2
SL,-1.0,-1.0564971751412435,353.99999999999636,1,2023,2
SL,-1.0,-1.0373273609555809,535.7999999999947,-1,2023,3
SL,-1.0,-1.0373273609555809,535.7999999999947,-1,2023,3
TP,2.0,1.9547511312217203,442.0000000000073,1,2023,8
TP,2.0,1.9186991869918637,245.9999999999809,1,2023,12
SL,-1.0,-1.0389863547758293,512.9999999999882,1,2023,13
SL,-1.0,-1.0686813186813178,291.20000000000346,-1,2023,13
SL,-1.0,-1.0686813186813178,291.20000000000346,-1,2023,13
SL,-1.0,-1.0205973223480946,971.0000000000036,-1,2023,15
SL,-1.0,-1.0205973223480946,971.0000000000036,-1,2023,15
SL,-1.0,-1.0450755014649549,443.6999999999898,-1,2023,16
SL,-1.0,-1.0375234521575991,532.9999999999927,-1,2023,1
TP,2.0,1.9674902470741225,615.2000000000044,1,2023,2
SL,-1.0,-1.1077005923532597,185.6999999999971,-1,2023,3
TP,2.0,1.9599198396793587,499.0000000000009,1,2023,7
TP,2.0,1.957145918148703,466.69999999999163,1,2023,14
SL,-1.0,-1.037878787878788,527.9999999999973,-1,2023,15
SL,-1.0,-1.037878787878788,527.9999999999973,-1,2023,15
SL,-1.0,-1.037878787878788,527.9999999999973,-1,2023,15
TP,2.0,1.9348534201954384,306.99999999999363,1,2023,16
TP,2.0,1.9607843137254894,509.9999999999909,1,2023,18
TP,2.0,1.9607843137254894,509.9999999999909,1,2023,18
SL,-1.0,-1.0331125827814571,603.9999999999964,1,2023,19
SL,-1.0,-1.0331125827814571,603.9999999999964,1,2023,19
SL,-1.0,-1.0714285714285667,280.0000000000182,-1,2023,3
SL,-1.0,-1.049055678194751,407.6999999999998,-1,2023,4
SL,-1.0,-1.041519618019514,481.7000000000007,1,2023,5
SL,-1.0,-1.029585798816568,675.9999999999991,1,2023,7
fuera,0.3106145251396602,0.28826815642457654,895.0000000000045,-1,2023,8
fuera,0.18194223334090662,0.13645667500567737,439.69999999999345,1,2023,14
TP,2.0,1.9437728422828229,355.70000000000164,1,2023,23
SL,-1.0,-1.0402171727327572,497.29999999999563,1,2023,0
TP,2.0,1.9467660367314323,375.69999999998345,-1,2023,2
TP,2.0,1.9447513812154713,362.0000000000118,-1,2023,5
SL,-1.0,-1.052219321148826,382.9999999999927,-1,2023,6
SL,-1.0,-1.052219321148826,382.9999999999927,-1,2023,6
SL,-1.0,-1.0684931506849298,292.0000000000073,-1,2023,7
SL,-1.0,-1.0416840350145895,479.8000000000002,1,2023,8
SL,-1.0,-1.0416840350145895,479.8000000000002,1,2023,8
SL,-1.0,-1.3333333333332575,60.00000000001364,1,2023,10
SL,-1.0,-1.0271370420624149,737.0000000000118,-1,2023,14
