R,neta,mot,rgo,hniv,aliU,aliM,dob,i
-1.0,-1.3603830645162527,SL,3.9679999999986393,17,True,False,True,EURUSD
-1.0,-1.2713472485768789,SL,5.269999999999442,17,False,False,True,EURUSD
2.0,1.5432769083357674,TP,3.1309999999984406,7,False,False,True,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,12,False,False,True,EURUSD
2.0,1.794066820276493,TP,6.943999999999839,22,False,False,False,EURUSD
-1.0,-1.2228455664640525,SL,6.417000000000783,22,False,True,True,EURUSD
-1.0,-1.1906158357770893,SL,7.502000000001452,22,False,False,True,EURUSD
-1.0,-1.205933179723507,SL,6.943999999999839,16,False,False,True,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,8,False,False,True,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,23,False,False,True,EURUSD
-1.0,-1.6989247311827984,SL,2.0459999999999923,18,True,False,True,EURUSD
-1.0,-2.3179723502296024,SL,1.0850000000006688,18,False,False,True,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,17,False,False,True,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,8,False,False,False,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,23,False,False,True,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,18,False,False,True,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,23,False,False,False,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,8,False,False,False,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,23,False,False,False,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,11,False,False,False,EURUSD
2.0,0.8749016522427415,TP,1.2710000000004662,18,False,False,True,EURUSD
-1.0,-1.2520712145249706,SL,5.672999999999373,18,True,False,True,EURUSD
2.0,1.8183896367792978,TP,7.874000000001047,17,True,False,True,EURUSD
2.0,1.8183896367792978,TP,7.874000000001047,7,True,False,True,EURUSD
2.0,1.4508448540705308,TP,2.6039999999993846,17,False,True,True,EURUSD
-1.0,-1.7562136435746156,SL,1.8910000000005311,23,False,False,False,EURUSD
-1.0,-1.4659498207885322,SL,3.0689999999999884,23,False,False,True,EURUSD
-1.0,-1.3294930875575692,SL,4.340000000000455,16,False,True,True,EURUSD
-1.0,-1.3294930875575692,SL,4.340000000000455,23,False,True,True,EURUSD
-1.0,-1.5694942254080688,SL,2.511000000000596,23,False,False,False,EURUSD
-1.0,-1.435179549604366,SL,3.286000000000122,23,False,False,True,EURUSD
