R,neta,mot,rgo,hniv,hop,ratio,i
-1.0,-1.3603830645162527,SL,3.9679999999986393,17,8,1.0239999999999758,EURUSD
-1.0,-1.2713472485768789,SL,5.269999999999442,17,9,1.1409395973154663,EURUSD
2.0,1.5432769083357674,TP,3.1309999999984406,7,2,1.202380952380968,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,12,13,1.1666666666667107,EURUSD
2.0,1.794066820276493,TP,6.943999999999839,22,10,1.0873786407766175,EURUSD
-1.0,-1.2228455664640525,SL,6.417000000000783,22,11,1.3618421052631993,EURUSD
-1.0,-1.1906158357770893,SL,7.502000000001452,22,9,1.5125000000000832,EURUSD
-1.0,-1.205933179723507,SL,6.943999999999839,16,10,2.545454545454339,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,8,2,3.4761904761916345,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,23,2,3.4761904761916345,EURUSD
-1.0,-1.6989247311827984,SL,2.0459999999999923,18,4,1.4042553191492477,EURUSD
-1.0,-2.3179723502296024,SL,1.0850000000006688,18,5,1.0294117647054213,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,17,10,1.1028037383177027,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,8,10,1.1028037383177027,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,23,10,1.1028037383177027,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,18,13,2.366972477064168,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,23,13,2.366972477064168,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,8,14,1.0382165605096667,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,23,14,1.0382165605096667,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,11,14,1.0382165605096667,EURUSD
2.0,0.8749016522427415,TP,1.2710000000004662,18,1,1.1081081081082216,EURUSD
-1.0,-1.2520712145249706,SL,5.672999999999373,18,8,1.8865979381444928,EURUSD
2.0,1.8183896367792978,TP,7.874000000001047,17,12,1.50295857988161,EURUSD
2.0,1.8183896367792978,TP,7.874000000001047,7,12,1.50295857988161,EURUSD
