R,neta,mot,rgo,hniv,izq,velas,pos,i
-1.0,-1.3603830645162527,SL,3.9679999999986393,17,0,6,0.34917355371900516,EURUSD
-1.0,-1.2713472485768789,SL,5.269999999999442,17,0,15,0.5702479338843226,EURUSD
2.0,1.5432769083357674,TP,3.1309999999984406,7,0,10,0.3468749999999847,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,12,0,18,-0.26250000000002127,EURUSD
2.0,1.794066820276493,TP,6.943999999999839,22,11,30,-0.03153153153153859,EURUSD
-1.0,-1.2228455664640525,SL,6.417000000000783,22,0,54,0.1201201201201089,EURUSD
-1.0,-1.1906158357770893,SL,7.502000000001452,22,15,54,0.24642857142860738,EURUSD
-1.0,-1.205933179723507,SL,6.943999999999839,16,17,47,0.13928571428567946,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,8,2,77,1.0493827160494336,EURUSD
2.0,1.6840477242598497,TP,4.526000000000252,23,2,77,1.0493827160494336,EURUSD
-1.0,-1.6989247311827984,SL,2.0459999999999923,18,9,25,2.0370370370370066,EURUSD
-1.0,-2.3179723502296024,SL,1.0850000000006688,18,0,2,1.7777777777776864,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,17,0,66,0.28395061728389986,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,8,0,66,0.28395061728389986,EURUSD
-1.0,-1.1954620010935089,SL,7.315999999999434,23,0,66,0.28395061728389986,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,18,0,37,0.23837209302321152,EURUSD
-1.0,-1.178794698674665,SL,7.998000000000172,23,0,37,0.23837209302321152,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,8,0,9,-0.06686046511633198,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,23,26,9,-0.06686046511633198,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,11,26,9,-0.06686046511633198,EURUSD
2.0,0.8749016522427415,TP,1.2710000000004662,18,3,5,0.6265664160401174,EURUSD
-1.0,-1.2520712145249706,SL,5.672999999999373,18,0,18,0.5989974937343404,EURUSD
2.0,1.8183896367792978,TP,7.874000000001047,17,42,38,1.0902255639097498,EURUSD
