instr,ventana,ts,lado,ent,stp,rgo,tf,rr_dol,i,smt,R_A,R_B,R_EL,Rn_A,Rn_B,Rn_EL
NASDAQ,FRANKFURT,2020-01-02 07:11:00,-1,8766.69,8769.22,2.529999999998836,1,,483,False,-1.0,-1.0,-1.0,-1.592885375494344,-1.592885375494344,-1.592885375494344
NASDAQ,LONDRES,2020-01-02 08:20:00,-1,8774.67,8779.09,4.420000000000073,5,,552,False,1.0,1.0,1.0,0.6606334841629016,0.6606334841629016,0.6606334841629016
NASDAQ,NUEVAYORK,2020-01-02 14:49:00,-1,8814.9,8829.71,14.80999999999949,5,,941,True,1.0,1.0,1.0,0.8987170830519884,0.8987170830519884,0.8987170830519884
NASDAQ,FRANKFURT,2020-01-03 07:17:00,-1,8794.8,8799.42,4.6200000000008,1,,1823,False,-1.0,-1.0,-1.0,-1.3246753246752685,-1.3246753246752685,-1.3246753246752685
NASDAQ,LONDRES,2020-01-03 08:40:00,-1,8779.6,8785.59,5.989999999999782,1,,1906,False,1.0,1.0,1.0,0.7495826377295401,0.7495826377295401,0.7495826377295401
NASDAQ,NUEVAYORK,2020-01-03 14:46:00,-1,8812.6,8822.17,9.569999999999709,1,,2272,False,1.0,1.0,1.0,0.8432601880877695,0.8432601880877695,0.8432601880877695
NASDAQ,FRANKFURT,2020-01-06 07:09:00,-1,8754.99,8759.6,4.610000000000582,1,,3150,False,-1.0,-1.0,-1.0,-1.3253796095444275,-1.3253796095444275,-1.3253796095444275
NASDAQ,LONDRES,2020-01-06 08:13:00,-1,8751.69,8761.72,10.029999999998836,3,,3214,False,1.0,1.0,1.0,0.850448654037869,0.850448654037869,0.850448654037869
NASDAQ,NUEVAYORK,2020-01-06 14:49:00,-1,8766.9,8771.99,5.0900000000001455,1,,3610,False,-1.0,-1.0,-1.0,-1.2946954813359444,-1.2946954813359444,-1.2946954813359444
NASDAQ,FRANKFURT,2020-01-07 07:07:00,1,8860.66,8850.33,10.329999999999927,5,,4483,False,-1.0,-1.0,-1.0,-1.1452081316553737,-1.1452081316553737,-1.1452081316553737
