i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
19,20,1,True,1925.928,1932.115,1900.665,1.0,1.0,0.24490361398091526,2023-02-01 05:59:00,2526.3000000000147,0.24490361398091526,0.013854253255749434,0.23104936072516583,XAUUSD,35.0,u
25,26,1,False,1879.005,1864.898,1886.345,0.0,1.0,1.9219346049046806,2023-02-09 05:59:00,733.9999999999918,-1.0,0.0476839237057226,-1.0476839237057225,XAUUSD,35.0,u
28,29,1,True,1859.265,1872.035,1850.325,0.0,0.0,1.4284116331096088,2023-02-14 05:59:00,894.0000000000055,-1.0,0.03914988814317649,-1.0391498881431764,XAUUSD,35.0,u
32,33,1,True,1841.898,1845.158,1818.805,1.0,0.0,0.14116831940414898,2023-02-17 21:59:00,2309.2999999999847,0.14116831940414898,0.01515610791148843,0.12601221149266054,XAUUSD,35.0,u
36,37,1,True,1824.525,1845.905,1817.395,0.0,1.0,2.998597475455758,2023-02-24 05:59:00,713.0000000000109,-1.0,0.04908835904628256,-1.0490883590462825,XAUUSD,35.0,u
40,41,1,True,1838.898,1844.405,1829.854,1.0,0.0,0.608911985846986,2023-03-03 05:59:00,904.3999999999869,0.608911985846986,0.03869969040247734,0.5702122954445087,XAUUSD,35.0,u
51,52,1,True,1977.005,1983.145,1934.175,1.0,0.0,0.14335745972448868,2023-03-23 04:59:00,4283.0000000000155,0.14335745972448868,0.00817184216670555,0.13518561755778313,XAUUSD,35.0,u
54,55,1,False,1966.145,1943.895,1974.998,0.0,0.0,2.5132723370608647,2023-03-29 04:59:00,885.3000000000065,-1.0,0.039534621032418095,-1.0395346210324181,XAUUSD,35.0,u
59,60,1,False,2013.555,1976.825,2031.915,0.0,1.0,2.00054466230938,2023-04-06 04:59:00,1835.99999999999,-1.0,0.019063180827886814,-1.0190631808278867,XAUUSD,35.0,u
62,63,1,False,2018.325,1997.715,2028.235,0.0,1.0,2.0797174571140697,2023-04-13 04:59:00,990.9999999999854,-1.0,0.035317860746721004,-1.035317860746721,XAUUSD,35.0,u
66,67,1,True,1992.615,2011.748,1971.205,1.0,1.0,0.8936478281177004,2023-04-20 04:59:00,2141.000000000008,0.8936478281177004,0.016347501167678594,0.8773003269500218,XAUUSD,35.0,u
67,68,1,False,2000.495,1971.205,2008.225,0.0,0.0,3.789133247089249,2023-04-21 04:59:00,773.0000000000018,-1.0,0.04527813712807234,-1.0452781371280724,XAUUSD,35.0,u
