i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
18,19,1,False,3887.369,3875.349,3913.359,1.0,0.0,0.4624855713736084,2023-01-03 14:59:00,25.98999999999978,0.4624855713736084,0.0769526741054258,0.38553289726818263,GRXEUR,2.0,p
19,20,1,True,3900.389,3913.359,3871.389,0.0,0.0,0.4472413793103379,2023-01-03 15:59:00,29.0,-1.0,0.06896551724137931,-1.0689655172413792,GRXEUR,2.0,p
20,21,1,False,3874.049,3871.389,3902.389,1.0,0.0,0.09386026817218916,2023-01-03 16:59:00,28.340000000000146,0.09386026817218916,0.07057163020465737,0.02328863796753179,GRXEUR,2.0,p
21,22,1,True,3876.089,3902.389,3870.089,0.0,1.0,4.383333333333364,2023-01-03 17:58:00,6.0,-1.0,0.3333333333333333,-1.3333333333333333,GRXEUR,2.0,p
22,23,1,False,3883.059,3870.089,3885.079,1.0,0.0,6.420792079208105,2023-01-03 18:59:00,2.019999999999982,6.420792079208105,0.990099009900999,5.430693069307106,GRXEUR,2.0,p
21,22,1,False,1839.048,1836.568,1839.658,1.0,0.0,4.0655737704925,2023-01-03 21:59:00,60.999999999989996,4.0655737704925,0.5737704918033728,3.491803278689127,XAUUSD,35.0,u
26,27,1,False,1845.407,1843.287,1847.055,0.0,0.0,1.286407766990117,2023-01-04 03:59:00,164.80000000001382,-1.0,0.21237864077668123,-1.2123786407766812,XAUUSD,35.0,u
34,35,1,False,1859.978,1857.555,1862.785,1.0,1.0,0.8631991449946518,2023-01-04 11:59:00,280.70000000000164,0.8631991449946518,0.1246882793017449,0.7385108656929069,XAUUSD,35.0,u
33,34,1,True,3969.499,3976.389,3949.369,1.0,0.0,0.34227521112769227,2023-01-04 15:59:00,20.129999999999654,0.34227521112769227,0.09935419771485515,0.24292101341283712,GRXEUR,2.0,p
38,39,1,True,1857.617,1860.835,1848.898,0.0,0.0,0.36907902282372473,2023-01-04 15:59:00,871.9000000000051,-1.0,0.040142218144282364,-1.0401422181442823,XAUUSD,35.0,u
