i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ins,tf,cuerpo
5,7,2,False,1.11663,1.11636,1.11784,,,,EURUSD,H4,False
12,13,1,False,1.11623,1.11589,1.11709,,,,EURUSD,H4,False
15,18,3,True,1.11934,1.12055,1.11809,,,,EURUSD,H4,False
19,20,1,True,1.11845,1.11943,1.11726,0.0,0.0,0.823529411764673,EURUSD,H4,False
27,28,1,True,1.1118,1.11385,1.11087,0.0,0.0,2.204301075269228,EURUSD,H4,False
29,30,1,False,1.11174,1.11016,1.11195,0.0,1.0,7.52380952380756,EURUSD,H4,False
32,34,2,True,1.11046,1.11204,1.10924,0.0,0.0,1.295081967213046,EURUSD,H4,False
33,34,1,True,1.11046,1.11173,1.10924,0.0,0.0,1.0409836065574636,EURUSD,H4,False
35,36,1,True,1.11042,1.11098,1.1102,1.0,0.0,2.5454545454563804,EURUSD,H4,False
36,37,1,False,1.11089,1.1102,1.11111,1.0,1.0,3.1363636363614344,EURUSD,H4,False
41,42,1,True,1.11213,1.11232,1.11128,1.0,1.0,0.2235294117645983,EURUSD,H4,False
44,45,1,True,1.11186,1.11361,1.11125,1.0,1.0,2.8688524590162623,EURUSD,H4,False
47,48,1,True,1.11371,1.11448,1.11312,0.0,0.0,1.305084745762897,EURUSD,H4,False
51,52,1,True,1.1131,1.11354,1.11045,1.0,1.0,0.1660377358490525,EURUSD,H4,False
52,53,1,False,1.11274,1.11045,1.11348,0.0,0.0,3.094594594594919,EURUSD,H4,False
62,63,1,False,1.11514,1.11445,1.11727,1.0,1.0,0.3239436619718736,EURUSD,H4,False
65,66,1,False,1.11368,1.11317,1.11392,0.0,1.0,2.1249999999998845,EURUSD,H4,False
72,73,1,False,1.10979,1.10889,1.10989,0.0,1.0,9.00000000000222,EURUSD,H4,False
74,76,2,True,1.10834,1.11023,1.10766,1.0,1.0,2.7794117647057477,EURUSD,H4,False
75,76,1,True,1.10834,1.10906,1.10766,1.0,1.0,1.0588235294114958,EURUSD,H4,False
78,79,1,False,1.10952,1.10887,1.10993,1.0,0.0,1.5853658536585498,EURUSD,H4,False
81,82,1,True,1.10917,1.11179,1.10889,0.0,0.0,9.357142857141158,EURUSD,H4,False
83,87,4,True,1.10896,1.10952,1.10749,1.0,0.0,0.38095238095249606,EURUSD,H4,False
84,85,1,True,1.10845,1.10868,1.10773,0.0,1.0,0.3194444444447614,EURUSD,H4,False
86,87,1,False,1.10896,1.10749,1.10947,0.0,1.0,2.8823529411761375,EURUSD,H4,False
92,93,1,False,1.10866,1.1079,1.11087,1.0,1.0,0.3438914027148671,EURUSD,H4,False
98,99,1,True,1.10387,1.10617,1.10261,0.0,0.0,1.8253968253972421,EURUSD,H4,False
102,103,1,False,1.10308,1.10244,1.10358,0.0,1.0,1.2800000000000888,EURUSD,H4,False
107,108,1,False,1.10199,1.10128,1.10252,1.0,1.0,1.3396226415096157,EURUSD,H4,False
111,112,1,True,1.1009,1.10225,1.09978,1.0,1.0,1.2053571428570986,EURUSD,H4,False
113,114,1,False,1.10165,1.10089,1.10276,1.0,1.0,0.6846846846848036,EURUSD,H4,False
118,119,1,False,1.10098,1.09924,1.10207,0.0,0.0,1.5963302752293747,EURUSD,H4,False
124,125,1,False,1.10312,1.10152,1.10393,0.0,1.0,1.9753086419754202,EURUSD,H4,False
125,126,1,True,1.1029,1.10393,1.10266,0.0,1.0,4.291666666666705,EURUSD,H4,False
134,135,1,True,1.1063,1.10862,1.10583,0.0,0.0,4.936170212766008,EURUSD,H4,False
135,137,2,True,1.10593,1.10741,1.10356,0.0,0.0,0.6244725738396356,EURUSD,H4,False
138,139,1,True,1.10586,1.10641,1.10555,0.0,0.0,1.7741935483863573,EURUSD,H4,False
143,144,1,False,1.10402,1.10365,1.10459,1.0,1.0,0.6491228070175575,EURUSD,H4,False
148,153,5,True,1.10015,1.10142,1.09937,0.0,0.0,1.6282051282052559,EURUSD,H4,False
150,151,1,True,1.09997,1.10005,1.0994,1.0,1.0,0.1403508771931328,EURUSD,H4,False
156,157,1,False,1.09807,1.09771,1.09849,1.0,1.0,0.8571428571434614,EURUSD,H4,False
158,159,1,True,1.09581,1.09824,1.09477,0.0,1.0,2.336538461538767,EURUSD,H4,False
166,170,4,True,1.09136,1.09382,1.09056,0.0,0.0,3.0749999999993687,EURUSD,H4,False
168,169,1,False,1.09122,1.09078,1.0917,1.0,1.0,0.9166666666670136,EURUSD,H4,False
