fecha,sesion,nivel,lado,entrada,sl,tp,rgo,R,motivo,mae,mfe,minutos,neto
2021-01-12 15:30:00,NuevaYork,PSL,LONG,1.21546,1.21351,1.2193599999999998,19.499999999998963,2.0,TP,0.5589743589744068,2.8256410256412403,272,1.9266666666666628
2021-04-08 15:30:00,NuevaYork,PSH,SHORT,1.18865,1.1896,1.18675,9.500000000000064,-1.0,SL,4.305263157894631,0.3157894736841736,16,-1.1505263157894727
2021-09-09 16:05:00,NuevaYork,PSL,LONG,1.18154,1.18087,1.18288,6.699999999999484,-1.0,SL,1.5373134328360682,3.626865671641969,21,-1.2134328358209119
2021-09-23 15:10:00,NuevaYork,PSH,SHORT,1.17258,1.17347,1.1707999999999998,8.900000000000574,-1.0,SL,2.71910112359543,0.5056179775281263,29,-1.1606741573033603
2021-11-22 10:25:00,Londres,PSL,LONG,1.12822,1.12627,1.1321199999999998,19.499999999998963,-1.0,SL,2.6461538461540144,0.42051282051286487,270,-1.0733333333333372
2022-01-20 15:40:00,NuevaYork,PDH,SHORT,1.13441,1.13595,1.1313299999999997,15.400000000000968,2.0,TP,0.5844155844156275,2.66233766233749,299,1.907142857142863
2022-05-05 16:20:00,NuevaYork,PSL,LONG,1.05504,1.0534000000000001,1.0583199999999997,16.399999999998638,-1.0,SL,3.5304878048783186,0.25609756097568404,22,-1.0871951219512268
2022-07-06 10:25:00,Londres,PSH,SHORT,1.02562,1.02761,1.02164,19.899999999999363,2.0,TP,0.36180904522616936,4.763819095477506,99,1.9281407035175857
2022-08-24 16:10:00,NuevaYork,PSL,LONG,0.99174,0.9907900000000001,0.9936399999999997,9.499999999998954,2.0,TP,0.010526315789426938,8.621052631579929,10,1.8494736842105097
2022-09-08 10:40:00,Londres,PSL,LONG,0.99883,0.9976200000000001,1.0012499999999998,12.099999999999334,2.0,TP,4.793388429752353,3.3966942148761765,99,1.8818181818181754
2022-09-09 15:15:00,NuevaYork,PSL,LONG,1.00515,1.00314,1.0091700000000001,20.100000000000673,-0.4477611940297864,cierre,0.9701492537312592,0.5472636815920717,460,-0.5189054726367492
2022-12-08 15:30:00,NuevaYork,PSH,SHORT,1.05232,1.0535999999999999,1.04976,12.799999999999478,-1.0,SL,3.2421875000002087,0.484374999999897,12,-1.1117187500000045
2022-12-12 16:15:00,NuevaYork,PSH,SHORT,1.05663,1.0582,1.0534899999999998,15.700000000000713,2.0,TP,0.06369426751591366,3.5541401273883215,31,1.9089171974522334
2023-01-26 16:10:00,NuevaYork,PSL,LONG,1.08908,1.08762,1.092,14.600000000000168,-1.0,SL,2.760273972602693,0.2739726027396927,19,-1.097945205479451
2023-03-13 10:30:00,Londres,PSL,LONG,1.06702,1.06582,1.0694200000000003,12.000000000000899,-1.0,SL,1.6833333333333178,6.008333333332832,37,-1.1191666666666578
2023-06-16 10:25:00,Londres,PDH,SHORT,1.09486,1.09547,1.09364,6.099999999999994,-1.0,SL,2.8196721311478155,4.409836065573543,90,-1.234426229508197
2023-08-08 16:10:00,NuevaYork,PSL,LONG,1.09381,1.0927,1.0960299999999998,11.099999999999444,2.0,TP,0.20720720720717478,2.1441441441442954,209,1.8711711711711647
2023-08-17 10:10:00,Londres,PSH,SHORT,1.08801,1.08859,1.0868499999999999,5.800000000000249,2.0,TP,6.534482758620722,4.103448275861593,73,1.7534482758620795
2023-08-28 16:20:00,NuevaYork,PSL,LONG,1.08056,1.07969,1.0822999999999998,8.699999999999264,1.4597701149427722,cierre,0.33333333333324827,1.6321839080460885,395,1.2954022988508043
2023-09-13 16:10:00,NuevaYork,PSL,LONG,1.07338,1.07251,1.0751199999999999,8.699999999999264,-0.540229885057483,cierre,0.6896551724137755,1.7586206896553573,394,-0.704597701149451
2023-09-18 15:40:00,NuevaYork,PSL,LONG,1.06682,1.06526,1.0699400000000001,15.600000000000058,1.480769230769105,cierre,0.5705128205128552,1.9487179487178976,430,1.3891025641024386
2023-10-18 16:05:00,NuevaYork,PSL,LONG,1.05532,1.05441,1.05714,9.099999999999664,-1.0,SL,3.307692307692383,0.7802197802197963,19,-1.157142857142863
2023-11-27 10:15:00,Londres,PDH,SHORT,1.09436,1.0951199999999999,1.0928400000000003,7.599999999998719,-1.0,SL,1.8157894736844336,2.4342105263160776,28,-1.1881578947368738
2023-12-20 16:10:00,NuevaYork,PSH,SHORT,1.09599,1.09734,1.09329,13.499999999999623,-1.0,SL,1.1629629629630482,2.22962962962966,26,-1.1059259259259289
2024-01-17 16:00:00,NuevaYork,PSL,LONG,1.08599,1.08445,1.0890700000000002,15.400000000000968,-1.0,SL,1.0,1.4805194805194262,49,-1.092857142857137
2024-03-18 15:10:00,NuevaYork,PSL,LONG,1.08876,1.0883,1.0896799999999998,4.599999999999049,-1.0,SL,4.6739130434789535,0.2608695652177061,22,-1.3108695652174556
2024-06-11 10:40:00,Londres,PSL,LONG,1.07596,1.07551,1.0768600000000002,4.500000000000615,-1.0,SL,8.933333333332412,-0.02222222222236477,3,-1.3177777777777344
2024-07-04 10:30:00,Londres,PSH,SHORT,1.07993,1.0805,1.0787900000000001,5.699999999999594,-1.0,SL,2.543859649122903,0.9473684210526726,359,-1.250877192982474
2024-07-05 16:10:00,NuevaYork,PSL,LONG,1.08156,1.08086,1.0829600000000004,7.0000000000014495,2.0,TP,0.4571428571429025,3.857142857141951,76,1.795714285714328
2024-08-16 10:15:00,Londres,PSH,SHORT,1.0987,1.09907,1.09796,3.6999999999998145,2.0,TP,11.513513513513903,2.216216216216443,43,1.6135135135134941
2024-11-19 15:20:00,NuevaYork,PSH,SHORT,1.0588,1.05975,1.0569,9.500000000000064,2.0,TP,1.3684210526316527,2.368421052631419,35,1.8494736842105273
2024-11-20 16:25:00,NuevaYork,PDL,LONG,1.05353,1.05207,1.0564500000000001,14.600000000000168,-1.0,SL,1.9520547945205386,0.6164383561643085,20,-1.097945205479451
