i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,vent,riesgo_u,R,coste_R,R_neto,tf,ins
19,20,1,False,4317.845,4309.618,4326.005,0.0,0.0,1.0082107843137265,2026-01-02 19:59:00,CTRL_B,815.9999999999854,-1.0,0.04289215686274586,-1.0428921568627458,H1,XAUUSD
25,26,1,True,4404.985,4421.195,4388.365,1.0,1.0,0.9753309265944731,2026-01-05 02:59:00,FUERA,1661.999999999989,0.9753309265944731,0.02105896510228654,0.9542719614921865,H1,XAUUSD
26,27,1,False,4399.615,4388.365,4413.875,0.0,0.0,0.7889200561009697,2026-01-05 03:59:00,CTRL_A,1426.0000000000218,-1.0,0.02454417952314128,-1.0245441795231414,H1,XAUUSD
27,28,1,True,4403.865,4413.875,4397.005,1.0,1.0,1.4591836734694892,2026-01-05 04:59:00,CTRL_A,685.9999999999673,1.4591836734694892,0.05102040816326774,1.4081632653062215,H1,XAUUSD
33,34,1,False,4436.085,4425.798,4439.675,1.0,1.0,2.865459610027812,2026-01-05 10:59:00,FUERA,359.00000000001455,2.865459610027812,0.09749303621169521,2.7679665738161168,H1,XAUUSD
36,37,1,True,4416.635,4421.225,4396.045,1.0,1.0,0.22292374939291468,2026-01-05 13:59:00,NY,2059.0000000000146,0.22292374939291468,0.01699854298202999,0.2059252064108847,H1,XAUUSD
40,41,1,True,4443.325,4454.125,4432.095,1.0,1.0,0.9617097061443101,2026-01-05 17:59:00,FUERA,1122.9999999999563,0.9617097061443101,0.03116651825467619,0.9305431878896339,H1,XAUUSD
50,51,1,False,4467.205,4453.875,4468.275,0.0,1.0,12.457943925236965,2026-01-06 04:59:00,CTRL_A,106.9999999999709,-1.0,0.3271028037384067,-1.3271028037384067,H1,XAUUSD
53,54,1,False,4459.125,4451.205,4470.035,0.0,1.0,0.7259395050412629,2026-01-06 07:59:00,FUERA,1090.9999999999854,-1.0,0.03208065994500501,-1.032080659945005,H1,XAUUSD
54,55,1,False,4467.948,4456.695,4475.485,1.0,1.0,1.4930343638054369,2026-01-06 08:59:00,LONDRES,753.6999999999352,1.4930343638054369,0.04643757463182036,1.4465967891736164,H1,XAUUSD
56,57,1,True,4451.455,4468.185,4442.095,1.0,1.0,1.7873931623932755,2026-01-06 10:59:00,FUERA,935.9999999999673,1.7873931623932755,0.037393162393163704,1.750000000000112,H1,XAUUSD
58,59,1,False,4463.365,4448.285,4466.065,0.0,0.0,5.5851851851855345,2026-01-06 12:59:00,FUERA,269.9999999999818,-1.0,0.12962962962963837,-1.1296296296296384,H1,XAUUSD
64,65,1,False,4488.215,4481.345,4493.775,1.0,1.0,1.2356115107914605,2026-01-06 18:59:00,CTRL_B,555.9999999999491,1.2356115107914605,0.06294964028777555,1.1726618705036849,H1,XAUUSD
68,69,1,False,4493.235,4491.548,4500.348,1.0,1.0,0.2371713763531324,2026-01-06 23:59:00,FUERA,711.3000000000284,0.2371713763531324,0.049205679741316746,0.18796569661181567,H1,XAUUSD
71,72,1,True,4474.255,4495.595,4459.308,0.0,0.0,1.4277112464039592,2026-01-07 02:59:00,FUERA,1494.7000000000116,-1.0,0.023416070114404046,-1.023416070114404,H1,XAUUSD
72,73,1,False,4474.505,4459.308,4479.965,1.0,1.0,2.7833333333333363,2026-01-07 03:59:00,CTRL_A,546.0000000000036,2.7833333333333363,0.06410256410256368,2.7192307692307724,H1,XAUUSD
79,80,1,True,4464.095,4468.415,4458.495,0.0,0.0,0.7714285714284693,2026-01-07 10:59:00,FUERA,560.0000000000364,-1.0,0.06249999999999594,-1.062499999999996,H1,XAUUSD
83,84,1,False,4444.548,4427.505,4454.095,1.0,1.0,1.7851681156382957,2026-01-07 14:59:00,NY,954.700000000048,1.7851681156382957,0.03666073111972163,1.7485073845185741,H1,XAUUSD
84,85,1,True,4445.895,4454.095,4423.135,1.0,1.0,0.3602811950790747,2026-01-07 15:59:00,FUERA,2276.000000000022,0.3602811950790747,0.015377855887521821,0.34490333919155286,H1,XAUUSD
88,89,1,True,4456.875,4458.655,4445.105,1.0,0.0,0.15123194562444175,2026-01-07 19:59:00,CTRL_B,1177.0000000000437,0.15123194562444175,0.02973661852166415,0.1214953271027776,H1,XAUUSD
89,90,1,False,4451.805,4445.105,4461.365,0.0,1.0,0.7008368200837954,2026-01-07 20:59:00,FUERA,955.9999999999491,-1.0,0.036610878661089814,-1.03661087866109,H1,XAUUSD
90,91,1,True,4455.635,4461.365,4449.688,1.0,0.0,0.9635110139565245,2026-01-07 21:59:00,FUERA,594.7000000000116,0.9635110139565245,0.058853203295778235,0.9046578106607462,H1,XAUUSD
93,94,1,True,4448.065,4466.075,4441.678,0.0,0.0,2.819790198841556,2026-01-08 01:59:00,FUERA,638.6999999999716,-1.0,0.05479881008298349,-1.0547988100829835,H1,XAUUSD
99,100,1,False,4430.745,4415.415,4439.448,1.0,1.0,1.7614615649774987,2026-01-08 07:59:00,FUERA,870.3000000000429,1.7614615649774987,0.04021601746523989,1.7212455475122588,H1,XAUUSD
102,103,1,True,4433.048,4435.145,4422.755,0.0,0.0,0.20373069076078212,2026-01-08 10:59:00,FUERA,1029.2999999999665,-1.0,0.034003691829399725,-1.0340036918293998,H1,XAUUSD
104,105,1,True,4427.415,4433.048,4407.485,1.0,1.0,0.28263923733064367,2026-01-08 12:59:00,FUERA,1993.000000000029,0.28263923733064367,0.01756146512794756,0.2650777722026961,H1,XAUUSD
105,106,1,False,4423.515,4407.485,4435.605,0.0,0.0,1.3258891645989799,2026-01-08 13:59:00,NY,1208.9999999999236,-1.0,0.028949545078579168,-1.0289495450785793,H1,XAUUSD
106,107,1,False,4432.755,4417.095,4439.185,0.0,0.0,2.4354587869361035,2026-01-08 14:59:00,NY,643.0000000000291,-1.0,0.05443234836702709,-1.054432348367027,H1,XAUUSD
109,110,1,False,4463.165,4446.695,4465.165,1.0,1.0,8.235000000000127,2026-01-08 17:59:00,FUERA,200.0,8.235000000000127,0.175,8.060000000000127,H1,XAUUSD
111,112,1,True,4451.895,4463.175,4444.565,1.0,1.0,1.5388813096860106,2026-01-08 19:59:00,CTRL_B,733.0000000000837,1.5388813096860106,0.04774897680763439,1.491132332878376,H1,XAUUSD
114,115,1,False,4475.485,4472.398,4483.548,1.0,1.0,0.3828599776757405,2026-01-08 23:59:00,FUERA,806.3000000000102,0.3828599776757405,0.04340816073421749,0.339451816941523,H1,XAUUSD
116,117,1,True,4468.745,4476.675,4452.585,1.0,,0.49071782178220064,2026-01-09 01:59:00,FUERA,1615.9999999999854,0.49071782178220064,0.021658415841584355,0.4690594059406163,H1,XAUUSD
117,118,1,False,4469.305,4452.585,4476.295,0.0,,2.391988555078795,2026-01-09 02:59:00,FUERA,698.9999999999782,-1.0,0.0500715307582276,-1.0500715307582276,H1,XAUUSD
124,125,1,False,4470.815,4463.905,4477.445,0.0,0.0,1.0422322775263562,2026-01-09 09:59:00,LONDRES,663.0000000000109,-1.0,0.0527903469079931,-1.0527903469079931,H1,XAUUSD
