instr,stop,lado,zona,n,acierto,R,z,Rn
NASDAQ,20,COMPRA,EN MAXIMOS,5220,49.75095785440613,-0.004980842911877395,-0.3598337382229996,-0.07998084291187739
NASDAQ,20,COMPRA,fuera,19476,44.649825426165535,-0.10700349147668926,-15.018871660599956,-0.18200349147668926
NASDAQ,20,VENTA,EN MAXIMOS,5220,45.01915708812261,-0.09961685823754789,-7.232561194608783,-0.17461685823754788
NASDAQ,20,VENTA,fuera,19476,42.904087081536254,-0.14191825836927502,-20.007607864674956,-0.21691825836927503
NASDAQ,40,COMPRA,EN MAXIMOS,5220,52.54789272030651,0.050957854406130265,3.6861192609198405,0.013457854406130267
NASDAQ,40,COMPRA,fuera,19476,48.93201889505032,-0.021359622098993634,-2.981476498503261,-0.05885962209899363
NASDAQ,40,VENTA,EN MAXIMOS,5220,46.16858237547893,-0.07662835249042145,-5.552159870803642,-0.11412835249042144
NASDAQ,40,VENTA,fuera,19476,47.43273772848634,-0.051345245430273155,-7.174839591336557,-0.08884524543027315
NASDAQ,80,COMPRA,EN MAXIMOS,5220,55.019157088122604,0.09661006944444445,7.08532668413055,0.07786006944444444
NASDAQ,80,COMPRA,fuera,19476,51.180940644896275,0.02326719423906346,3.249288944711588,0.004517194239063462
NASDAQ,80,VENTA,EN MAXIMOS,5220,44.59770114942529,-0.10427290469348659,-7.653387777587777,-0.12302290469348659
NASDAQ,80,VENTA,fuera,19476,48.03347710002054,-0.038978839340727045,-5.446104761775261,-0.05772883934072705
SP500,20,COMPRA,EN MAXIMOS,7665,50.99804305283757,0.009199380300065198,0.8184024647248832,-0.015800619699934803
SP500,20,COMPRA,fuera,17042,52.071353127567185,0.04207769921370731,5.50517733329823,0.01707769921370731
SP500,20,VENTA,EN MAXIMOS,7665,48.81930854533594,-0.012852348336594878,-1.1434282235749051,-0.03785234833659488
SP500,20,VENTA,fuera,17042,47.33599342800141,-0.05393076810233541,-7.059993428421537,-0.0789307681023354
SP500,40,COMPRA,EN MAXIMOS,7665,52.90280495759948,0.00017599151989562152,0.018328741844927346,-0.012324008480104379
SP500,40,COMPRA,fuera,17042,52.34714235418379,0.0381610462387044,5.168393900378643,0.0256610462387044
SP500,40,VENTA,EN MAXIMOS,7665,47.09719504240052,-0.00017599151989562152,-0.018328741844927346,-0.012675991519895622
SP500,40,VENTA,fuera,17042,47.529632672221574,-0.04062554571059737,-5.502751864859626,-0.05312554571059737
SP500,80,COMPRA,EN MAXIMOS,7665,55.96868884540117,-0.004826925962165632,-0.7527627796084306,-0.011076925962165633
SP500,80,COMPRA,fuera,17042,55.92653444431404,0.05375959907874664,8.950040441609016,0.04750959907874664
SP500,80,VENTA,EN MAXIMOS,7665,44.031311154598825,0.004826925962165632,0.7527627796084306,-0.0014230740378343683
SP500,80,VENTA,fuera,17042,44.07346555568596,-0.05375959907874664,-8.950040441609016,-0.06000959907874664
GER40,20,COMPRA,EN MAXIMOS,2512,48.68630573248407,-0.026273885350318472,-1.3170358873836847,-0.10127388535031848
GER40,20,COMPRA,fuera,7115,49.47294448348559,-0.010840969782150387,-0.9146455845096457,-0.08584096978215039
GER40,20,VENTA,EN MAXIMOS,2512,48.1687898089172,-0.03662420382165605,-1.83646650091224,-0.11162420382165605
GER40,20,VENTA,fuera,7115,43.42937456078707,-0.13111264933239633,-11.157602598787014,-0.2061126493323963
GER40,40,COMPRA,EN MAXIMOS,2512,51.990445859872615,0.037247113853503155,1.8744036834833426,-0.0002528861464968432
GER40,40,COMPRA,fuera,7115,53.534785664089945,0.06891370344342938,5.847563593406495,0.031413703443429385
GER40,40,VENTA,EN MAXIMOS,2512,47.65127388535032,-0.04441271894904456,-2.235661507358402,-0.08191271894904456
GER40,40,VENTA,fuera,7115,44.98945888966971,-0.09842881236823613,-8.372975707727496,-0.13592881236823612
GER40,80,COMPRA,EN MAXIMOS,2512,55.015923566878975,0.0928886594347134,4.879580282685386,0.0741386594347134
GER40,80,COMPRA,fuera,7115,55.3338018271258,0.09226774068868589,8.094743042982202,0.07351774068868588
GER40,80,VENTA,EN MAXIMOS,2512,44.94426751592357,-0.09368483777866245,-4.921806481338587,-0.11243483777866245
GER40,80,VENTA,fuera,7115,44.48348559381588,-0.09592199226985243,-8.418466615899744,-0.11467199226985243
