dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2023-01-03,Londres,1,3848.059,3828.079,19.980000000000018,1,2023-01-03 07:59:00,2.0,TP,DAX
2023-01-05,Londres,-1,3957.079,3966.059,8.980000000000018,2,2023-01-05 07:59:00,-1.0,SL,DAX
2023-01-06,Londres,-1,3966.049,3986.069,20.019999999999982,1,2023-01-06 07:59:00,-1.0,SL,DAX
2023-01-09,Londres,-1,4033.199,4045.199,12.0,1,2023-01-09 07:59:00,-1.0,SL,DAX
2023-01-10,Londres,-1,4045.349,4054.379,9.029999999999745,2,2023-01-10 08:59:00,-1.0,SL,DAX
2023-01-11,NY,-1,4092.499,4108.379,15.88000000000011,1,2023-01-11 15:59:00,-1.0,SL,DAX
2023-01-12,NY,1,4139.349,4098.869,40.48000000000047,1,2023-01-12 13:59:00,0.7089920948616473,tiempo,DAX
2023-01-13,Londres,-1,4139.339,4152.389,13.050000000000182,1,2023-01-13 11:59:00,-1.0,SL,DAX
2023-01-16,Londres,-1,4145.499,4162.499,17.0,2,2023-01-16 08:59:00,-1.0,SL,DAX
2023-01-17,Londres,1,4150.539,4143.059,7.479999999999563,1,2023-01-17 07:59:00,-1.0,SL,DAX
2023-01-18,NY,-1,4190.499,4197.379,6.880000000000109,2,2023-01-18 13:59:00,2.0,TP,DAX
2023-01-19,Londres,1,4142.039,4137.049,4.989999999999782,4,2023-01-19 07:59:00,2.0,TP,DAX
2023-01-20,Londres,-1,4110.499,4121.499,11.0,1,2023-01-20 08:59:00,-1.0,SL,DAX
2023-01-23,Londres,-1,4124.339,4147.849,23.51000000000022,1,2023-01-23 08:59:00,-1.0,SL,DAX
2023-01-24,Londres,-1,4157.049,4164.069,7.020000000000437,1,2023-01-24 07:59:00,-1.0,SL,DAX
2023-01-25,Londres,1,4151.199,4143.089,8.109999999999673,9,2023-01-25 07:59:00,-1.0,SL,DAX
2023-01-26,Londres,-1,4162.849,4179.389,16.539999999999964,1,2023-01-26 09:59:00,-1.0,SL,DAX
2023-01-27,Londres,1,4174.359,4158.339,16.020000000000437,1,2023-01-27 08:59:00,-1.0,SL,DAX
2023-01-30,Londres,1,4154.069,4148.039,6.030000000000655,1,2023-01-30 07:59:00,-1.0,SL,DAX
2023-01-31,Londres,1,4139.339,4133.349,5.989999999999782,1,2023-01-31 08:59:00,-1.0,SL,DAX
2023-02-01,Londres,-1,4168.339,4186.499,18.159999999999854,1,2023-02-01 08:59:00,-1.0,SL,DAX
2023-02-02,Londres,-1,4210.369,4219.499,9.13000000000011,1,2023-02-02 11:59:00,-1.0,SL,DAX
2023-02-03,Londres,-1,4223.059,4234.199,11.139999999999418,2,2023-02-03 07:59:00,-1.0,SL,DAX
2023-02-06,Londres,-1,4210.339,4227.499,17.159999999999854,5,2023-02-06 08:59:00,-1.0,SL,DAX
2023-02-07,Londres,-1,4209.079,4214.199,5.119999999999891,1,2023-02-07 07:59:00,-1.0,SL,DAX
2023-02-08,Londres,-1,4225.389,4242.379,16.98999999999978,4,2023-02-08 08:59:00,-1.0,SL,DAX
2023-02-09,Londres,-1,4251.349,4261.499,10.149999999999636,7,2023-02-09 08:59:00,-1.0,SL,DAX
2023-02-10,Londres,1,4221.069,4215.039,6.030000000000655,1,2023-02-10 07:59:00,2.0,TP,DAX
2023-02-13,Londres,1,4202.049,4190.089,11.960000000000036,5,2023-02-13 07:59:00,2.0,TP,DAX
2023-02-14,Londres,-1,4253.339,4262.499,9.159999999999854,1,2023-02-14 09:59:00,-1.0,SL,DAX
2023-02-15,Londres,-1,4235.039,4243.199,8.159999999999854,10,2023-02-15 07:59:00,-1.0,SL,DAX
2023-02-16,Londres,-1,4295.359,4315.499,20.139999999999418,1,2023-02-16 08:58:00,2.0,TP,DAX
2023-02-17,Londres,-1,4262.049,4271.199,9.149999999999636,6,2023-02-17 07:59:00,2.0,TP,DAX
2023-02-20,Londres,-1,4278.369,4287.499,9.13000000000011,6,2023-02-20 08:59:00,2.0,TP,DAX
2023-02-21,Londres,-1,4252.039,4267.049,15.010000000000218,10,2023-02-21 07:59:00,2.0,TP,DAX
2023-02-22,Londres,1,4235.069,4227.039,8.030000000000655,6,2023-02-22 07:59:00,-1.0,SL,DAX
2023-02-23,Londres,-1,4257.349,4273.389,16.039999999999964,3,2023-02-23 08:59:00,-1.0,SL,DAX
2023-02-24,Londres,-1,4269.199,4276.199,7.0,2,2023-02-24 07:59:00,-1.0,SL,DAX
2023-02-27,Londres,1,4207.089,4194.059,13.029999999999745,6,2023-02-27 07:59:00,2.0,TP,DAX
2023-02-28,Londres,-1,4227.049,4252.039,24.98999999999978,8,2023-02-28 07:59:00,-1.0,SL,DAX
2023-03-01,Londres,1,4252.079,4240.199,11.88000000000011,3,2023-03-01 07:59:00,-1.0,SL,DAX
2023-03-02,Londres,1,4202.359,4174.349,28.01000000000022,6,2023-03-02 08:59:00,2.0,TP,DAX
2023-03-03,Londres,-1,4272.359,4277.379,5.019999999999527,4,2023-03-03 09:59:00,-1.0,SL,DAX
2023-03-06,Londres,-1,4311.049,4317.199,6.149999999999636,1,2023-03-06 07:59:00,-1.0,SL,DAX
2023-03-07,Londres,1,4313.349,4298.499,14.850000000000364,1,2023-03-07 08:59:00,-1.0,SL,DAX
2023-03-08,Londres,1,4278.369,4258.349,20.019999999999527,1,2023-03-08 08:59:00,-1.0,SL,DAX
2023-03-09,Londres,-1,4282.059,4285.059,3.0,8,2023-03-09 07:59:00,2.0,TP,DAX
2023-03-10,NY,1,4194.039,4174.039,20.0,1,2023-03-10 19:59:00,2.0,TP,DAX
2023-03-13,Londres,-1,4143.349,4232.379,89.02999999999975,2,2023-03-13 07:59:00,0.8645400426822473,tiempo,DAX
2023-03-14,Londres,1,4114.389,4083.359,31.0300000000002,1,2023-03-14 07:59:00,2.0,TP,DAX
2023-03-15,Londres,-1,4098.339,4149.499,51.159999999999854,4,2023-03-15 08:59:00,-1.0,SL,DAX
2023-03-16,Asia,1,4103.539,4074.049,29.48999999999978,5,2023-03-16 06:59:00,-1.0,SL,DAX
2023-03-17,Asia,-1,4145.069,4154.059,8.989999999999782,1,2023-03-17 06:59:00,-1.0,SL,DAX
2023-03-20,Asia,1,4039.539,3996.059,43.48000000000002,4,2023-03-20 06:59:00,-1.0,SL,DAX
2023-03-21,NY,-1,4179.359,4208.499,29.139999999999418,1,2023-03-21 13:59:00,-1.0,SL,DAX
2023-03-22,Londres,1,4183.879,4164.339,19.539999999999964,1,2023-03-22 07:59:00,-1.0,SL,DAX
2023-03-23,Asia,-1,4185.569,4193.059,7.489999999999782,3,2023-03-23 06:59:00,-1.0,SL,DAX
2023-03-24,Asia,1,4182.539,4174.699,7.8400000000001455,3,2023-03-24 06:59:00,-1.0,SL,DAX
2023-03-27,Londres,1,4174.199,4161.559,12.639999999999418,5,2023-03-27 06:59:00,-1.0,SL,DAX
2023-03-28,Londres,-1,4191.579,4194.699,3.119999999999891,5,2023-03-28 06:59:00,-1.0,SL,DAX
2023-03-29,Londres,-1,4203.869,4211.999,8.13000000000011,2,2023-03-29 08:58:00,-1.0,SL,DAX
2023-03-31,Londres,-1,4281.999,4295.349,13.350000000000364,1,2023-03-31 07:59:00,-1.0,SL,DAX
2023-04-03,Londres,-1,4319.349,4328.379,9.029999999999745,1,2023-04-03 08:59:00,-1.0,SL,DAX
2023-04-04,Londres,-1,4314.359,4330.379,16.019999999999527,1,2023-04-04 07:59:00,-1.0,SL,DAX
2023-04-05,Londres,1,4311.039,4299.059,11.979999999999563,1,2023-04-05 06:59:00,-1.0,SL,DAX
2023-04-06,Londres,1,4298.059,4290.059,8.0,2,2023-04-06 06:59:00,2.0,TP,DAX
