dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2020-01-02,Londres,1,1.1212,1.12041,0.0007900000000000684,2,2020-01-02 08:59:00,-1.0,SL,EURUSD
2020-01-03,NY,-1,1.11719,1.11808,0.0008900000000000574,2,2020-01-03 16:59:00,2.0,TP,EURUSD
2020-01-06,Asia,-1,1.11604,1.11687,0.0008300000000001084,1,2020-01-05 23:59:00,-1.0,SL,EURUSD
2020-01-07,Asia,1,1.1183,1.11818,0.00012000000000012001,9,2020-01-07 05:59:00,-1.0,SL,EURUSD
2020-01-08,Asia,1,1.11586,1.11515,0.0007099999999999884,6,2020-01-08 00:59:00,-1.0,SL,EURUSD
2020-01-09,Asia,1,1.11174,1.111,0.0007399999999999629,2,2020-01-09 01:59:00,-1.0,SL,EURUSD
2020-01-10,Asia,1,1.11093,1.11053,0.00039999999999995595,3,2020-01-09 23:59:00,-1.0,SL,EURUSD
2020-01-13,Asia,-1,1.11161,1.11192,0.00031000000000003247,5,2020-01-12 23:59:00,-1.0,SL,EURUSD
2020-01-14,Asia,-1,1.11344,1.11375,0.00031000000000003247,2,2020-01-13 23:59:00,-1.0,SL,EURUSD
2020-01-15,Asia,1,1.11331,1.11287,0.00043999999999999595,3,2020-01-15 04:59:00,-1.0,SL,EURUSD
2020-01-16,Asia,-1,1.11548,1.1159,0.0004199999999998649,2,2020-01-16 00:59:00,2.0,TP,EURUSD
2020-01-17,Asia,-1,1.11362,1.11435,0.0007299999999998974,6,2020-01-17 02:59:00,2.0,TP,EURUSD
2020-01-20,Asia,1,1.10946,1.10879,0.0006699999999999484,1,2020-01-19 23:59:00,-1.0,SL,EURUSD
2020-01-21,Asia,-1,1.10923,1.10978,0.0005500000000000504,4,2020-01-21 00:59:00,-1.0,SL,EURUSD
2020-01-22,Asia,1,1.10818,1.10766,0.0005199999999998539,1,2020-01-22 01:59:00,-1.0,SL,EURUSD
2020-01-23,Asia,-1,1.10872,1.11006,0.0013400000000001189,1,2020-01-23 00:59:00,-1.0,SL,EURUSD
2020-01-24,Londres,1,1.10511,1.10416,0.0009500000000000064,1,2020-01-24 07:59:00,-1.0,SL,EURUSD
2020-01-27,Asia,-1,1.10245,1.10353,0.0010799999999999699,1,2020-01-26 23:59:00,-1.0,SL,EURUSD
2020-01-28,Asia,1,1.10199,1.10182,0.00017000000000000348,5,2020-01-28 01:59:00,-1.0,SL,EURUSD
2020-01-29,Asia,-1,1.10226,1.10286,0.0005999999999999339,1,2020-01-29 00:59:00,2.0,TP,EURUSD
2020-01-30,Asia,-1,1.10138,1.10189,0.0005100000000000104,2,2020-01-29 23:59:00,-1.0,SL,EURUSD
2020-01-31,Asia,-1,1.10285,1.1034,0.0005499999999998284,10,2020-01-30 23:59:00,2.0,TP,EURUSD
2020-02-03,Asia,1,1.10817,1.10789,0.000280000000000058,1,2020-02-03 00:59:00,2.0,TP,EURUSD
2020-02-04,Asia,1,1.10586,1.10546,0.00039999999999995595,2,2020-02-04 02:59:00,-1.0,SL,EURUSD
2020-02-05,Asia,1,1.10431,1.1041,0.00020999999999982144,2,2020-02-05 00:59:00,-1.0,SL,EURUSD
2020-02-06,Londres,-1,1.09955,1.10148,0.0019299999999999873,1,2020-02-06 08:59:00,2.0,TP,EURUSD
2020-02-07,Londres,1,1.09646,1.09496,0.0015000000000000568,2,2020-02-07 12:59:00,-1.0,SL,EURUSD
2020-02-10,Asia,1,1.09491,1.09418,0.0007300000000001194,3,2020-02-09 23:59:00,-1.0,SL,EURUSD
2020-02-11,Londres,1,1.09142,1.09046,0.0009600000000000719,1,2020-02-11 07:59:00,-1.0,SL,EURUSD
