dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2020-01-03,Asia,1,1.31232,1.3104,0.0019199999999999218,1,2020-01-03 06:59:00,-1.0,SL,GBPUSD
2020-01-06,Asia,1,1.30869,1.30623,0.0024599999999999067,1,2020-01-06 02:59:00,2.0,TP,GBPUSD
2020-01-07,Asia,-1,1.31693,1.31783,0.0009000000000001229,2,2020-01-07 02:59:00,2.0,TP,GBPUSD
2020-01-08,Asia,-1,1.31326,1.31408,0.0008199999999998209,1,2020-01-08 02:59:00,2.0,TP,GBPUSD
2020-01-09,Asia,1,1.31085,1.30954,0.0013100000000001444,3,2020-01-09 02:59:00,-1.0,SL,GBPUSD
2020-01-10,Asia,-1,1.30654,1.30732,0.0007800000000000029,1,2020-01-10 02:59:00,-1.0,SL,GBPUSD
2020-01-13,Asia,-1,1.3034,1.3046,0.0012000000000000899,1,2020-01-13 02:59:00,2.0,TP,GBPUSD
2020-01-14,Londres,1,1.29849,1.29532,0.003169999999999895,2,2020-01-14 10:59:00,2.0,TP,GBPUSD
2020-01-15,Asia,1,1.30216,1.30129,0.0008699999999999264,6,2020-01-15 02:59:00,2.0,TP,GBPUSD
2020-01-16,Asia,-1,1.30441,1.30484,0.00042999999999993044,9,2020-01-16 02:59:00,-1.0,SL,GBPUSD
2020-01-17,Asia,-1,1.3074,1.3081,0.000700000000000145,2,2020-01-17 02:59:00,-1.0,SL,GBPUSD
2020-01-20,Asia,-1,1.30031,1.30095,0.0006399999999999739,1,2020-01-20 02:59:00,2.0,TP,GBPUSD
2020-01-21,Asia,-1,1.30047,1.30091,0.00043999999999999595,4,2020-01-21 02:59:00,-1.0,SL,GBPUSD
2020-01-22,Asia,1,1.3063,1.30333,0.002969999999999917,1,2020-01-22 06:59:00,2.0,TP,GBPUSD
2020-01-23,Asia,1,1.31357,1.31174,0.0018299999999999983,1,2020-01-23 06:59:00,-1.0,SL,GBPUSD
2020-01-24,Asia,1,1.31229,1.31108,0.0012099999999999334,2,2020-01-24 02:59:00,2.0,TP,GBPUSD
2020-01-27,Asia,1,1.30566,1.30535,0.00031000000000003247,2,2020-01-27 02:59:00,-1.0,SL,GBPUSD
2020-01-28,Asia,1,1.30585,1.3051,0.0007500000000000284,2,2020-01-28 02:59:00,-1.0,SL,GBPUSD
2020-01-29,Londres,1,1.30083,1.29882,0.0020099999999998452,3,2020-01-29 14:59:00,-1.0,SL,GBPUSD
2020-01-30,Asia,1,1.30171,1.30128,0.00042999999999993044,3,2020-01-30 02:59:00,-1.0,SL,GBPUSD
2020-01-31,Asia,-1,1.30961,1.3106,0.0009900000000000464,2,2020-01-31 02:59:00,-1.0,SL,GBPUSD
2020-02-03,Asia,-1,1.31734,1.31847,0.0011300000000000754,1,2020-02-03 02:59:00,2.0,TP,GBPUSD
2020-02-04,Asia,1,1.29922,1.29799,0.0012300000000000644,1,2020-02-04 02:59:00,2.0,TP,GBPUSD
2020-02-05,Asia,-1,1.30167,1.30342,0.0017499999999999183,2,2020-02-05 02:59:00,-1.0,SL,GBPUSD
2020-02-06,Asia,1,1.29845,1.29811,0.00034000000000000696,7,2020-02-06 02:59:00,-1.0,SL,GBPUSD
2020-02-07,Asia,1,1.29416,1.29251,0.0016499999999999293,8,2020-02-07 02:59:00,-1.0,SL,GBPUSD
2020-02-10,Londres,1,1.29229,1.28706,0.005229999999999846,1,2020-02-10 10:59:00,1.2466539196941249,tiempo,GBPUSD
2020-02-11,Londres,1,1.29266,1.28931,0.003349999999999964,1,2020-02-11 10:59:00,2.0,TP,GBPUSD
2020-02-12,Asia,-1,1.2954,1.29698,0.0015799999999999148,1,2020-02-12 06:59:00,-1.0,SL,GBPUSD
2020-02-13,Asia,1,1.29585,1.29507,0.0007800000000000029,1,2020-02-13 02:59:00,-1.0,SL,GBPUSD
