dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2020-01-03,Asia,-1,8818.62,8888.99,70.36999999999898,1,2020-01-03 02:59:00,1.0223106437402523,tiempo,NAS100
2020-01-06,Asia,1,8746.68,8729.4,17.280000000000655,6,2020-01-06 02:59:00,-1.0,SL,NAS100
2020-01-07,Asia,-1,8852.53,8871.71,19.179999999998472,1,2020-01-07 06:59:00,-1.0,SL,NAS100
2020-01-08,Asia,1,8801.08,8659.97,141.11000000000058,4,2020-01-08 02:59:00,1.1503791368435918,tiempo,NAS100
2020-01-09,NY,-1,8974.18,9000.0,25.81999999999971,1,2020-01-09 18:59:00,-1.0,SL,NAS100
2020-01-10,Londres,-1,9023.2,9029.09,5.889999999999418,1,2020-01-10 10:59:00,-1.0,SL,NAS100
2020-01-13,Asia,1,8993.89,8965.91,27.979999999999563,3,2020-01-13 02:59:00,2.0,TP,NAS100
2020-01-14,Asia,-1,9071.9,9082.19,10.290000000000873,1,2020-01-14 06:59:00,2.0,TP,NAS100
2020-01-15,Asia,-1,9016.3,9046.91,30.610000000000582,7,2020-01-15 02:59:00,-1.0,SL,NAS100
2020-01-16,Asia,-1,9053.9,9066.78,12.880000000001019,2,2020-01-16 02:59:00,-1.0,SL,NAS100
2020-01-17,Asia,-1,9127.31,9144.59,17.280000000000655,1,2020-01-17 02:59:00,-1.0,SL,NAS100
2020-01-20,Londres,-1,9148.48,9167.68,19.200000000000728,3,2020-01-20 10:59:00,2.0,TP,NAS100
2020-01-21,Asia,-1,9115.4,9166.2,50.80000000000109,1,2020-01-21 02:59:00,-1.0,SL,NAS100
2020-01-22,NY,-1,9216.89,9243.2,26.31000000000131,1,2020-01-22 18:59:00,2.0,TP,NAS100
2020-01-23,Asia,1,9186.9,9163.79,23.109999999998763,1,2020-01-23 02:59:00,-1.0,SL,NAS100
2020-01-24,Londres,-1,9259.17,9274.2,15.030000000000655,1,2020-01-24 14:59:00,2.0,TP,NAS100
2020-01-27,NY,1,8984.57,8932.69,51.8799999999992,2,2020-01-27 18:59:00,2.0,TP,NAS100
2020-01-28,Asia,1,9027.88,8968.39,59.48999999999978,3,2020-01-28 06:59:00,-1.0,SL,NAS100
2020-01-29,Asia,1,9129.63,9081.59,48.039999999999054,7,2020-01-29 02:59:00,-1.0,SL,NAS100
2020-01-30,Asia,-1,9057.14,9128.39,71.25,4,2020-01-30 02:59:00,-1.0,SL,NAS100
2020-01-31,Asia,-1,9212.92,9236.01,23.090000000000146,1,2020-01-31 06:59:00,2.0,TP,NAS100
2020-02-03,Asia,1,9048.39,8971.85,76.53999999999905,4,2020-02-03 02:59:00,2.0,TP,NAS100
2020-02-04,Asia,-1,9139.56,9150.57,11.010000000000218,1,2020-02-04 02:59:00,-1.0,SL,NAS100
2020-02-05,Asia,-1,9324.47,9357.2,32.73000000000138,1,2020-02-05 02:59:00,-1.0,SL,NAS100
2020-02-06,Londres,1,9404.36,9353.02,51.340000000000146,1,2020-02-06 14:59:00,-0.09057265290224858,tiempo,NAS100
2020-02-07,Asia,-1,9427.4,9460.29,32.89000000000124,1,2020-02-07 02:59:00,2.0,TP,NAS100
2020-02-10,Asia,1,9418.0,9319.49,98.51000000000022,1,2020-02-10 02:59:00,2.0,TP,NAS100
2020-02-11,Londres,-1,9547.84,9573.32,25.479999999999563,1,2020-02-11 14:59:00,-1.0,SL,NAS100
2020-02-12,Asia,1,9552.27,9528.02,24.25,2,2020-02-12 06:59:00,2.0,TP,NAS100
2020-02-13,Asia,1,9581.6,9549.86,31.73999999999978,1,2020-02-13 02:59:00,-1.0,SL,NAS100
2020-02-14,Asia,-1,9629.08,9650.78,21.700000000000728,1,2020-02-14 06:59:00,2.0,TP,NAS100
2020-02-17,NY,1,9657.8,9649.0,8.799999999999272,1,2020-02-17 17:59:00,-1.0,SL,NAS100
2020-02-18,Asia,-1,9559.76,9606.47,46.70999999999913,8,2020-02-18 02:59:00,-1.0,SL,NAS100
2020-02-19,Asia,-1,9652.28,9663.07,10.789999999999054,4,2020-02-19 02:59:00,-1.0,SL,NAS100
2020-02-20,Asia,-1,9699.43,9752.57,53.13999999999942,1,2020-02-20 02:59:00,2.0,TP,NAS100
2020-02-21,Asia,1,9574.62,9553.6,21.020000000000437,7,2020-02-21 02:59:00,-1.0,SL,NAS100
2020-02-25,Asia,-1,9160.77,9210.19,49.42000000000007,1,2020-02-25 02:59:00,-1.0,SL,NAS100
2020-02-26,Londres,1,8949.81,8796.75,153.0599999999995,1,2020-02-26 14:59:00,-1.0,SL,NAS100
