dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2020-01-02,NY,1,3241.446,3234.137,7.308999999999742,1,2020-01-02 18:59:00,2.0,TP,SP500
2020-01-03,Asia,-1,3237.546,3263.349,25.80300000000034,1,2020-01-03 02:59:00,0.6668216874006686,tiempo,SP500
2020-01-06,Asia,1,3220.34,3215.334,5.006000000000313,1,2020-01-06 02:59:00,-1.0,SL,SP500
2020-01-07,Asia,-1,3248.446,3251.752,3.30600000000004,1,2020-01-07 02:59:00,-1.0,SL,SP500
2020-01-08,Asia,1,3226.637,3179.634,47.003000000000156,4,2020-01-08 02:59:00,0.7970342318575327,tiempo,SP500
2020-01-09,NY,-1,3270.337,3275.652,5.315000000000055,1,2020-01-09 18:59:00,-1.0,SL,SP500
2020-01-10,Londres,-1,3279.552,3286.774,7.221999999999753,1,2020-01-10 14:59:00,2.0,TP,SP500
2020-01-13,Londres,1,3277.034,3270.734,6.300000000000182,4,2020-01-13 10:59:00,-1.0,SL,SP500
2020-01-14,Asia,-1,3288.8,3291.3,2.5,1,2020-01-14 06:58:00,2.0,TP,SP500
2020-01-15,Asia,-1,3278.9,3288.049,9.148999999999887,7,2020-01-15 02:59:00,-1.0,SL,SP500
2020-01-16,Asia,-1,3295.252,3299.44,4.188000000000102,6,2020-01-16 02:59:00,-1.0,SL,SP500
2020-01-17,NY,-1,3323.74,3330.552,6.812000000000353,1,2020-01-17 21:14:00,-0.1702877275396725,tiempo,SP500
2020-01-20,Asia,-1,3325.755,3328.8,3.0450000000000728,2,2020-01-20 02:59:00,2.0,TP,SP500
2020-01-21,Asia,-1,3309.843,3326.1,16.257000000000062,1,2020-01-21 02:59:00,-1.0,SL,SP500
2020-01-22,Asia,1,3333.955,3317.94,16.014999999999873,4,2020-01-22 02:59:00,-1.0,SL,SP500
2020-01-23,Asia,1,3319.043,3312.034,7.0090000000000146,3,2020-01-23 02:59:00,-1.0,SL,SP500
2020-01-24,Asia,-1,3328.352,3333.349,4.997000000000298,7,2020-01-24 02:59:00,-1.0,SL,SP500
2020-01-27,NY,1,3253.155,3239.143,14.012000000000171,2,2020-01-27 18:59:00,-1.0,SL,SP500
2020-01-28,Asia,1,3263.749,3246.952,16.79699999999957,3,2020-01-28 06:59:00,-1.0,SL,SP500
2020-01-29,Asia,1,3288.2,3272.846,15.353999999999814,7,2020-01-29 02:59:00,-1.0,SL,SP500
2020-01-30,Asia,-1,3256.755,3279.1,22.3449999999998,5,2020-01-30 02:59:00,-1.0,SL,SP500
2020-01-31,Asia,-1,3288.655,3298.2,9.544999999999618,1,2020-01-31 06:58:00,2.0,TP,SP500
2020-02-03,Asia,1,3241.455,3221.455,20.0,5,2020-02-03 02:59:00,2.0,TP,SP500
2020-02-04,Asia,1,3257.155,3236.152,21.003000000000156,1,2020-02-04 02:59:00,2.0,TP,SP500
2020-02-05,Asia,-1,3293.949,3302.952,9.003000000000156,9,2020-02-05 02:59:00,-1.0,SL,SP500
2020-02-06,NY,1,3344.646,3334.24,10.406000000000404,1,2020-02-06 18:59:00,-1.0,SL,SP500
2020-02-07,Asia,-1,3340.74,3351.6,10.860000000000127,1,2020-02-07 02:59:00,2.0,TP,SP500
2020-02-10,Asia,1,3331.655,3302.9,28.75500000000011,1,2020-02-10 02:59:00,1.3630325160841528,tiempo,SP500
2020-02-11,Londres,-1,3364.549,3368.5,3.951000000000022,1,2020-02-11 14:59:00,-1.0,SL,SP500
2020-02-12,Londres,-1,3375.352,3378.846,3.494000000000142,2,2020-02-12 14:59:00,-1.0,SL,SP500
2020-02-13,Asia,-1,3370.849,3383.2,12.350999999999658,1,2020-02-13 02:59:00,-1.0,SL,SP500
2020-02-14,Asia,-1,3382.752,3389.1,6.347999999999956,1,2020-02-14 06:59:00,2.0,TP,SP500
2020-02-17,Londres,-1,3386.837,3391.0,4.163000000000011,4,2020-02-17 14:59:00,2.0,TP,SP500
2020-02-18,Asia,1,3369.746,3367.046,2.700000000000273,10,2020-02-18 06:59:00,-1.0,SL,SP500
2020-02-19,Asia,-1,3376.846,3380.4,3.5540000000000873,3,2020-02-19 02:59:00,-1.0,SL,SP500
2020-02-20,Asia,-1,3382.543,3397.855,15.311999999999898,1,2020-02-20 02:59:00,2.0,TP,SP500
2020-02-21,Asia,1,3358.334,3352.352,5.981999999999971,7,2020-02-21 02:59:00,-1.0,SL,SP500
2020-02-25,Asia,-1,3247.734,3260.8,13.066000000000258,1,2020-02-25 02:59:00,2.0,TP,SP500
