dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2020-01-02,NY,-1,108.693,108.799,0.10600000000000875,2,2020-01-02 13:59:00,2.0,TP,USDJPY
2020-01-03,Londres,1,108.068,107.911,0.15699999999999648,1,2020-01-03 09:59:00,-1.0,SL,USDJPY
2020-01-06,Asia,1,107.968,107.75999999999999,0.20800000000001262,1,2020-01-05 23:59:00,2.0,TP,USDJPY
2020-01-07,Londres,1,108.453,108.29899999999999,0.15400000000001057,1,2020-01-07 08:59:00,-1.0,SL,USDJPY
2020-01-08,Asia,-1,107.996,108.483,0.487000000000009,5,2020-01-07 23:59:00,-1.0,SL,USDJPY
2020-01-09,Asia,-1,109.236,109.265,0.028999999999996362,1,2020-01-09 01:59:00,2.0,TP,USDJPY
2020-01-10,Asia,-1,109.487,109.592,0.10500000000000398,1,2020-01-10 00:59:00,-1.0,SL,USDJPY
2020-01-13,Asia,-1,109.552,109.60300000000001,0.05100000000000193,5,2020-01-12 23:59:00,-1.0,SL,USDJPY
2020-01-14,Londres,1,109.977,109.875,0.10200000000000387,1,2020-01-14 08:59:00,-1.0,SL,USDJPY
2020-01-15,Asia,-1,109.852,109.99900000000001,0.14700000000000557,4,2020-01-14 23:59:00,-1.0,SL,USDJPY
2020-01-16,Asia,-1,109.924,110.0,0.0759999999999934,2,2020-01-16 00:59:00,-1.0,SL,USDJPY
2020-01-17,Asia,-1,110.18,110.24600000000001,0.0660000000000025,1,2020-01-16 23:59:00,-1.0,SL,USDJPY
2020-01-20,Asia,1,110.186,110.115,0.07100000000001216,4,2020-01-19 23:59:00,-1.0,SL,USDJPY
2020-01-21,Asia,-1,110.174,110.19500000000001,0.021000000000000796,4,2020-01-20 23:59:00,-1.0,SL,USDJPY
2020-01-22,Asia,1,109.912,109.838,0.07400000000001228,2,2020-01-21 23:59:00,2.0,TP,USDJPY
2020-01-23,Londres,1,109.537,109.481,0.056000000000011596,1,2020-01-23 08:59:00,2.0,TP,USDJPY
2020-01-24,Asia,1,109.566,109.49199999999999,0.07400000000001228,3,2020-01-23 23:59:00,-1.0,SL,USDJPY
2020-01-27,Asia,1,109.027,108.783,0.24399999999999977,1,2020-01-27 00:59:00,-1.0,SL,USDJPY
2020-01-28,Asia,1,108.849,108.80799999999999,0.04100000000001103,2,2020-01-28 00:59:00,2.0,TP,USDJPY
2020-01-29,Asia,-1,109.135,109.245,0.10999999999999943,5,2020-01-28 23:59:00,-1.0,SL,USDJPY
2020-01-30,Asia,1,108.988,108.93799999999999,0.05000000000001137,1,2020-01-29 23:59:00,-1.0,SL,USDJPY
2020-01-31,Asia,-1,109.052,109.08,0.027999999999991587,3,2020-01-31 00:59:00,-1.0,SL,USDJPY
2020-02-03,Londres,1,108.625,108.484,0.14100000000000534,6,2020-02-03 07:59:00,-1.0,SL,USDJPY
2020-02-04,Asia,1,108.619,108.57199999999999,0.047000000000011255,8,2020-02-03 23:59:00,-1.0,SL,USDJPY
2020-02-05,Londres,1,109.556,109.29299999999999,0.26300000000000523,1,2020-02-05 08:59:00,0.5437262357414366,tiempo,USDJPY
2020-02-06,Asia,-1,109.842,109.915,0.0730000000000075,1,2020-02-06 00:59:00,-1.0,SL,USDJPY
2020-02-07,Asia,-1,109.963,110.024,0.06100000000000705,3,2020-02-06 23:59:00,2.0,TP,USDJPY
2020-02-10,Asia,-1,109.619,109.78800000000001,0.16900000000001114,1,2020-02-09 23:59:00,-1.0,SL,USDJPY
2020-02-11,Asia,1,109.815,109.72999999999999,0.08500000000000796,7,2020-02-11 00:59:00,-1.0,SL,USDJPY
2020-02-12,Asia,1,109.843,109.768,0.07500000000000284,2,2020-02-11 23:59:00,2.0,TP,USDJPY
2020-02-13,Asia,1,109.87,109.792,0.07800000000000296,2,2020-02-12 23:59:00,-1.0,SL,USDJPY
2020-02-14,Asia,1,109.771,109.72,0.05100000000000193,9,2020-02-13 23:59:00,2.0,TP,USDJPY
2020-02-17,Asia,1,109.795,109.762,0.03300000000000125,7,2020-02-16 23:59:00,-1.0,SL,USDJPY
2020-02-18,Asia,1,109.836,109.78999999999999,0.04600000000000648,1,2020-02-17 23:59:00,-1.0,SL,USDJPY
2020-02-19,Asia,-1,109.912,109.96000000000001,0.04800000000000182,1,2020-02-19 00:59:00,-1.0,SL,USDJPY
2020-02-20,NY,-1,112.139,112.23400000000001,0.09500000000001307,1,2020-02-20 14:59:00,2.0,TP,USDJPY
2020-02-21,Londres,1,111.73,111.672,0.058000000000006935,2,2020-02-21 07:59:00,-1.0,SL,USDJPY
2020-02-24,Asia,-1,111.547,111.60900000000001,0.06200000000001182,1,2020-02-23 23:59:00,-1.0,SL,USDJPY
2020-02-25,Londres,1,110.672,110.46499999999999,0.20700000000000784,1,2020-02-25 12:59:00,-1.0,SL,USDJPY
2020-02-26,Asia,1,110.462,110.163,0.2990000000000066,2,2020-02-26 02:59:00,-1.0,SL,USDJPY
2020-02-27,Asia,1,110.382,110.30399999999999,0.07800000000001717,5,2020-02-26 23:59:00,-1.0,SL,USDJPY
2020-02-28,NY,1,108.522,108.445,0.07700000000001239,1,2020-02-28 13:59:00,2.0,TP,USDJPY
2020-03-02,Asia,-1,107.674,107.78,0.10599999999999454,1,2020-03-01 23:59:00,-1.0,SL,USDJPY
2020-03-03,Asia,1,108.526,108.19699999999999,0.32900000000000773,6,2020-03-02 23:59:00,-1.0,SL,USDJPY
2020-03-04,Asia,1,107.068,106.836,0.23199999999999932,1,2020-03-03 23:59:00,2.0,TP,USDJPY
2020-03-05,Asia,1,107.714,107.5,0.21399999999999864,5,2020-03-04 23:59:00,-1.0,SL,USDJPY
2020-03-06,Londres,1,105.762,105.655,0.10699999999999932,1,2020-03-06 08:59:00,-1.0,SL,USDJPY
2020-03-09,Londres,1,102.447,101.17,1.277000000000001,1,2020-03-09 12:59:00,2.0,TP,USDJPY
2020-03-10,Asia,-1,103.238,103.32600000000001,0.08800000000000807,1,2020-03-10 01:59:00,-1.0,SL,USDJPY
2020-03-11,Asia,-1,104.92,105.263,0.3430000000000035,2,2020-03-10 23:59:00,2.0,TP,USDJPY
2020-03-12,Asia,1,104.6,104.348,0.25199999999999534,2,2020-03-11 23:59:00,-1.0,SL,USDJPY
2020-03-13,Asia,-1,105.08,105.212,0.132000000000005,4,2020-03-12 23:59:00,2.0,TP,USDJPY
2020-03-16,Asia,1,106.913,106.285,0.6280000000000001,2,2020-03-15 23:59:00,-1.0,SL,USDJPY
2020-03-17,Asia,1,106.59,106.06299999999999,0.5270000000000152,3,2020-03-16 23:59:00,2.0,TP,USDJPY
2020-03-18,Asia,-1,107.377,107.581,0.20400000000000773,6,2020-03-17 23:59:00,2.0,TP,USDJPY
2020-03-19,Asia,-1,108.57,108.965,0.39500000000001023,1,2020-03-19 05:59:00,-1.0,SL,USDJPY
2020-03-20,Asia,-1,109.941,110.24300000000001,0.3020000000000067,2,2020-03-20 03:59:00,2.0,TP,USDJPY
2020-03-23,Asia,1,110.536,110.246,0.29000000000000625,1,2020-03-22 23:59:00,-1.0,SL,USDJPY
2020-03-24,Asia,-1,110.455,110.989,0.534000000000006,2,2020-03-23 23:59:00,-1.0,SL,USDJPY
2020-03-25,Asia,-1,111.004,111.28200000000001,0.2780000000000058,2,2020-03-24 23:59:00,-1.0,SL,USDJPY
2020-03-26,Asia,-1,110.746,110.962,0.21600000000000819,8,2020-03-25 23:59:00,2.0,TP,USDJPY
2020-03-30,Asia,-1,107.661,107.985,0.32399999999999807,1,2020-03-29 22:59:00,-1.0,SL,USDJPY
2020-03-31,Asia,-1,108.525,108.73,0.2049999999999983,5,2020-03-31 00:59:00,2.0,TP,USDJPY
2020-04-01,Asia,1,107.76,107.48299999999999,0.27700000000001523,4,2020-03-31 22:59:00,-1.0,SL,USDJPY
2020-04-02,Asia,1,107.2,107.05999999999999,0.14000000000001478,9,2020-04-01 22:59:00,2.0,TP,USDJPY
2020-04-03,Asia,1,108.128,107.824,0.30400000000000205,8,2020-04-02 22:59:00,-1.0,SL,USDJPY
2020-04-06,Asia,-1,108.455,108.59400000000001,0.13900000000001,1,2020-04-05 22:59:00,-1.0,SL,USDJPY
2020-04-07,Asia,-1,109.211,109.284,0.0730000000000075,1,2020-04-06 22:59:00,2.0,TP,USDJPY
2020-04-08,Asia,1,108.797,108.722,0.07500000000000284,2,2020-04-07 22:59:00,-1.0,SL,USDJPY
2020-04-09,Asia,1,108.86,108.81299999999999,0.047000000000011255,7,2020-04-08 22:59:00,2.0,TP,USDJPY
2020-04-10,Asia,1,108.546,108.464,0.08200000000000784,6,2020-04-09 23:59:00,-1.0,SL,USDJPY
2020-04-13,Asia,-1,108.326,108.536,0.21000000000000796,1,2020-04-12 22:59:00,2.0,TP,USDJPY
2020-04-14,NY,1,107.367,107.228,0.13900000000001,1,2020-04-14 12:59:00,-1.0,SL,USDJPY
2020-04-15,Asia,1,107.123,106.916,0.20700000000000784,1,2020-04-15 00:59:00,2.0,TP,USDJPY
2020-04-16,Asia,-1,107.432,107.482,0.04999999999999716,4,2020-04-15 22:59:00,-1.0,SL,USDJPY
2020-04-17,Asia,-1,107.963,108.07300000000001,0.11000000000001364,10,2020-04-16 22:59:00,-1.0,SL,USDJPY
2020-04-20,Asia,1,107.637,107.478,0.15900000000000603,3,2020-04-19 22:59:00,-1.0,SL,USDJPY
2020-04-21,Asia,1,107.716,107.609,0.10699999999999932,6,2020-04-20 22:59:00,-1.0,SL,USDJPY
2020-04-22,Asia,-1,107.75,107.83500000000001,0.08500000000000796,3,2020-04-21 22:59:00,-1.0,SL,USDJPY
2020-04-23,Asia,-1,107.784,107.813,0.028999999999996362,6,2020-04-22 22:59:00,-1.0,SL,USDJPY
2020-04-24,Asia,1,107.584,107.51599999999999,0.06800000000001205,6,2020-04-23 22:59:00,2.0,TP,USDJPY
2020-04-27,Asia,1,107.508,107.395,0.11299999999999955,1,2020-04-26 23:59:00,-1.0,SL,USDJPY
2020-04-28,Asia,1,107.294,107.17899999999999,0.1150000000000091,3,2020-04-28 00:59:00,-1.0,SL,USDJPY
2020-04-29,Asia,1,106.585,106.56099999999999,0.02400000000000091,1,2020-04-29 00:59:00,2.0,TP,USDJPY
2020-04-30,Asia,-1,106.593,106.65700000000001,0.06400000000000716,2,2020-04-29 22:59:00,-1.0,SL,USDJPY
2020-05-01,Asia,1,107.281,107.1,0.1810000000000116,9,2020-04-30 23:59:00,-1.0,SL,USDJPY
2020-05-04,Asia,-1,106.834,106.953,0.11899999999999977,1,2020-05-03 22:59:00,-1.0,SL,USDJPY
2020-05-05,Asia,1,106.692,106.631,0.06099999999999284,3,2020-05-04 22:59:00,-1.0,SL,USDJPY
2020-05-06,NY,1,106.182,106.05199999999999,0.13000000000000966,1,2020-05-06 12:59:00,-1.0,SL,USDJPY
2020-05-07,Asia,1,106.214,106.02,0.19400000000000261,2,2020-05-06 23:59:00,2.0,TP,USDJPY
2020-05-08,Asia,-1,106.297,106.35600000000001,0.05900000000001171,3,2020-05-07 22:59:00,-1.0,SL,USDJPY
2020-05-12,Londres,-1,107.33,107.462,0.132000000000005,3,2020-05-12 11:59:00,2.0,TP,USDJPY
2020-05-13,Asia,1,107.25,107.14699999999999,0.10300000000000864,4,2020-05-12 22:59:00,-1.0,SL,USDJPY
2020-05-14,Asia,-1,106.933,107.05300000000001,0.12000000000000455,9,2020-05-13 23:59:00,-1.0,SL,USDJPY
2020-05-15,Asia,-1,107.241,107.296,0.05500000000000682,6,2020-05-14 22:59:00,-1.0,SL,USDJPY
2020-05-18,Asia,1,107.27,107.077,0.19299999999999784,4,2020-05-17 22:59:00,-1.0,SL,USDJPY
