dia,ent_min,sal_min,lado_x,ent,sl,tp,rgo,mot,R,bloque,neta,min,lado_y,dentroAntes,vuelto,cuerpo5,res
2020-01-15,487,518,-1,1.11347,1.11371,1.11299,2.4,TP,2.0,0,1.4041666666666668,487,-1,False,True,38.461538461459625,True
2020-01-15,520,546,-1,1.11293,1.11322,1.11235,2.9,TP,2.0,0,1.506896551724138,520,-1,True,True,68.74999999994363,True
2020-01-15,562,629,1,1.11224,1.11178,1.11316,4.6,TP,2.0,0,1.6891304347826086,562,1,False,True,0.0,True
2020-03-16,490,510,1,1.1186,1.11742,1.12096,11.8,TP,2.0,0,1.8788135593220336,490,0,True,True,60.396039603949724,True
2020-03-16,570,617,-1,1.12079,1.12201,1.11835,12.2,TP,2.0,0,1.882786885245901,570,-1,True,True,89.47368421048787,True
2020-05-01,570,597,-1,1.09536,1.09627,1.09354,9.1,SL,-1.0,0,-1.157142857142857,570,-1,True,True,42.5925925926261,True
2020-11-10,630,647,-1,1.18299,1.18397,1.18103,9.8,TP,2.0,0,1.8540816326530611,630,-1,True,True,68.25396825396713,True
2021-04-16,520,530,1,1.19655,1.19612,1.19741,4.3,SL,-1.0,0,-1.3325581395348838,520,1,True,True,70.96774193547579,True
2021-11-11,512,538,-1,1.14738,1.14789,1.14636,5.1,TP,2.0,0,1.719607843137255,512,-1,False,True,18.181818181726427,True
2021-11-11,575,633,1,1.1466,1.14588,1.14804,7.2,SL,-1.0,0,-1.198611111111111,575,0,True,True,82.60869565220119,True
2022-04-06,509,556,1,1.08826,1.08771,1.08936,5.5,TP,2.0,0,1.74,509,1,False,True,11.111111111124817,True
2022-04-06,590,597,1,1.08954,1.08896,1.0907,5.8,SL,-1.0,0,-1.2465517241379311,590,1,True,True,37.34939759037047,True
2022-05-04,489,528,1,1.05152,1.05078,1.053,7.4,SL,-1.0,0,-1.1932432432432432,489,1,False,True,60.606060606044295,True
