dia,ent_min,sal_min,lado,ent,sl,tp,rgo,mot,R,bloque,neta
2020-01-15,487,518,-1,1.11347,1.11371,1.11299,2.4,TP,2.0,0,1.4041666666666668
2020-01-15,520,546,-1,1.11293,1.11322,1.11235,2.9,TP,2.0,0,1.506896551724138
2020-01-15,562,629,1,1.11224,1.11178,1.11316,4.6,TP,2.0,0,1.6891304347826086
2020-03-16,490,510,1,1.1186,1.11742,1.12096,11.8,TP,2.0,0,1.8788135593220339
2020-03-16,570,617,-1,1.12079,1.12201,1.11835,12.2,TP,2.0,0,1.8827868852459015
2020-05-01,570,597,-1,1.09536,1.09627,1.09354,9.1,SL,-1.0,0,-1.157142857142857
2020-11-10,630,647,-1,1.18299,1.18397,1.18103,9.8,TP,2.0,0,1.8540816326530614
2021-04-16,520,530,1,1.19655,1.19612,1.19741,4.3,SL,-1.0,0,-1.3325581395348838
2021-11-11,512,538,-1,1.14738,1.14789,1.14636,5.1,TP,2.0,0,1.719607843137255
2021-11-11,575,633,1,1.1466,1.14588,1.14804,7.2,SL,-1.0,0,-1.198611111111111
2022-04-06,509,556,1,1.08826,1.08771,1.08936,5.5,TP,2.0,0,1.74
2022-04-06,590,597,1,1.08954,1.08896,1.0907,5.8,SL,-1.0,0,-1.2465517241379311
2022-05-04,489,528,1,1.05152,1.05078,1.053,7.4,SL,-1.0,0,-1.1932432432432432
2022-05-04,553,554,1,1.05236,1.05191,1.05326,4.5,SL,-1.0,0,-1.3177777777777777
2022-09-16,505,509,1,0.99935,0.99848,1.00109,8.7,SL,-1.0,0,-1.164367816091954
2023-09-08,505,666,-1,1.07207,1.07287,1.07047,8.0,TP,2.0,0,1.82125
2023-09-08,681,690,-1,1.07023,1.0706,1.06949,3.7,cierre,0.35,0,-0.03648648648648645
2024-03-25,506,519,-1,1.08184,1.08233,1.08086,4.9,TP,2.0,0,1.7081632653061225
2024-11-05,482,574,1,1.08845,1.0881,1.08915,3.5,TP,2.0,0,1.5914285714285714
2025-03-26,496,502,-1,1.07862,1.07904,1.07778,4.2,SL,-1.0,0,-1.3404761904761904
2025-05-06,522,536,1,1.1332,1.13249,1.13462,7.1,SL,-1.0,0,-1.2014084507042253
2025-06-27,498,525,1,1.16956,1.16888,1.17092,6.8,TP,2.0,0,1.7897058823529413
2026-03-19,496,561,1,1.14532,1.14423,1.1475,10.9,TP,2.0,0,1.8688073394495412
2020-02-21,487,501,1,1.07913,1.07891,1.07957,2.2,TP,2.0,0,1.35
2020-02-21,547,556,1,1.07944,1.07896,1.0804,4.8,TP,2.0,0,1.7020833333333334
2020-02-21,574,675,-1,1.08137,1.08198,1.08015,6.1,TP,2.0,0,1.7655737704918033
2020-09-18,506,535,1,1.1852,1.18459,1.18642,6.1,TP,2.0,0,1.7655737704918033
2020-09-18,550,600,-1,1.18615,1.18698,1.18449,8.3,TP,2.0,0,1.8277108433734939
2020-10-20,541,549,1,1.17715,1.17662,1.17821,5.3,SL,-1.0,0,-1.269811320754717
2020-10-20,581,621,1,1.17706,1.17637,1.17844,6.9,TP,2.0,0,1.7927536231884058
2020-10-20,633,644,-1,1.17776,1.17864,1.176,8.8,SL,-1.0,0,-1.1625
2021-01-27,506,560,-1,1.21566,1.21613,1.21472,4.7,TP,2.0,0,1.695744680851064
2021-03-02,531,681,-1,1.20064,1.20182,1.19828,11.8,SL,-1.0,0,-1.1211864406779661
2021-05-14,509,637,1,1.21054,1.20938,1.21286,11.6,TP,2.0,0,1.8767241379310344
2022-06-01,504,549,1,1.07172,1.07091,1.07334,8.1,TP,2.0,0,1.8234567901234568
2022-06-01,560,606,-1,1.07291,1.07385,1.07103,9.4,SL,-1.0,0,-1.152127659574468
2022-07-28,520,563,-1,1.02205,1.02366,1.01883,16.1,TP,2.0,0,1.9111801242236024
2022-08-04,528,620,1,1.01695,1.01608,1.01869,8.7,TP,2.0,0,1.835632183908046
2022-08-26,489,530,1,0.9964,0.99565,0.9979,7.5,SL,-1.0,0,-1.1906666666666665
2022-08-26,565,601,1,0.99625,0.99565,0.99745,6.0,TP,2.0,0,1.7616666666666667
2022-08-26,643,666,1,0.99792,0.99724,0.99928,6.8,TP,2.0,0,1.7897058823529413
2023-06-19,483,690,-1,1.0935,1.09421,1.09208,7.1,cierre,1.51,0,1.3085915492957747
2023-12-19,491,607,1,1.09299,1.09229,1.09439,7.0,TP,2.0,0,1.7957142857142858
2024-03-11,493,590,1,1.09426,1.09366,1.09546,6.0,SL,-1.0,0,-1.2383333333333333
2024-03-11,610,690,1,1.09366,1.09325,1.09448,4.1,cierre,1.15,0,0.8012195121951218
2024-09-23,513,543,1,1.1159,1.11549,1.11672,4.1,SL,-1.0,0,-1.3487804878048781
2025-06-13,491,542,-1,1.15344,1.15454,1.15124,11.0,SL,-1.0,0,-1.13
2025-06-13,548,636,1,1.15502,1.15311,1.15884,19.1,SL,-1.0,0,-1.074869109947644
2025-12-15,480,533,1,1.17376,1.17299,1.1753,7.7,SL,-1.0,0,-1.1857142857142857
2025-12-15,544,573,-1,1.17287,1.1738,1.17101,9.3,SL,-1.0,0,-1.153763440860215
2026-01-29,550,557,1,1.19835,1.1973,1.20045,10.5,SL,-1.0,0,-1.1361904761904762
2026-04-15,521,619,-1,1.1787,1.1794,1.1773,7.0,SL,-1.0,0,-1.2042857142857142
2026-08-11,504,690,-1,1.15346,1.15418,1.15202,7.2,cierre,0.08,0,-0.1186111111111111
2020-04-08,481,483,-1,1.08668,1.08742,1.0852,7.4,TP,2.0,0,1.8067567567567568
2020-04-08,508,544,1,1.08401,1.08299,1.08605,10.2,TP,2.0,0,1.8598039215686275
2020-07-03,561,571,-1,1.12401,1.1246,1.12283,5.9,TP,2.0,0,1.7576271186440677
2021-02-26,645,666,-1,1.21372,1.21445,1.21226,7.3,TP,2.0,0,1.8041095890410959
2021-03-22,491,512,1,1.18823,1.1875,1.18969,7.3,TP,2.0,0,1.8041095890410959
2021-03-22,597,617,1,1.18986,1.18938,1.19082,4.8,TP,2.0,0,1.7020833333333334
2021-04-14,568,571,-1,1.19624,1.19671,1.1953,4.7,SL,-1.0,0,-1.304255319148936
2021-08-26,495,535,-1,1.17633,1.17662,1.17575,2.9,TP,2.0,0,1.506896551724138
2021-08-26,540,577,1,1.17617,1.17562,1.17727,5.5,TP,2.0,0,1.74
2021-08-26,585,618,-1,1.17698,1.17736,1.17622,3.8,TP,2.0,0,1.6236842105263158
2021-11-26,545,560,1,1.12374,1.12321,1.1248,5.3,TP,2.0,0,1.730188679245283
2022-04-08,485,546,-1,1.08642,1.08691,1.08544,4.9,TP,2.0,0,1.7081632653061225
2022-04-08,552,555,1,1.0859,1.08539,1.08692,5.1,SL,-1.0,0,-1.280392156862745
2022-04-08,561,570,1,1.08565,1.08505,1.08685,6.0,SL,-1.0,0,-1.2383333333333333
2022-04-08,589,603,1,1.08572,1.08493,1.0873,7.9,TP,2.0,0,1.8189873417721518
2022-08-22,510,539,-1,1.00284,1.00316,1.0022,3.2,TP,2.0,0,1.553125
2022-12-12,507,511,1,1.05231,1.05173,1.05347,5.8,TP,2.0,0,1.7534482758620689
2022-12-12,562,570,1,1.05297,1.05259,1.05373,3.8,TP,2.0,0,1.6236842105263158
2022-12-28,521,582,-1,1.065,1.06551,1.06398,5.1,TP,2.0,0,1.719607843137255
2023-04-26,493,518,1,1.099,1.0985,1.1,5.0,TP,2.0,0,1.714
2023-04-26,520,535,1,1.10011,1.09959,1.10115,5.2,TP,2.0,0,1.725
2023-04-26,554,561,1,1.10097,1.10039,1.10213,5.8,TP,2.0,0,1.7534482758620689
2023-05-26,550,559,1,1.07296,1.07245,1.07398,5.1,TP,2.0,0,1.719607843137255
2024-02-12,482,496,1,1.07939,1.07907,1.08003,3.2,SL,-1.0,0,-1.446875
2024-02-12,545,555,-1,1.07967,1.08007,1.07887,4.0,TP,2.0,0,1.6425
2024-07-15,495,551,-1,1.08918,1.08958,1.08838,4.0,TP,2.0,0,1.6425
2024-07-15,610,690,1,1.09009,1.08961,1.09105,4.8,cierre,1.67,0,1.3720833333333333
2024-10-02,493,557,1,1.10635,1.10591,1.10723,4.4,TP,2.0,0,1.675
2024-10-16,498,514,1,1.08828,1.08776,1.08932,5.2,SL,-1.0,0,-1.275
2024-10-16,526,541,1,1.08805,1.08757,1.08901,4.8,SL,-1.0,0,-1.2979166666666666
2024-10-16,548,677,1,1.08826,1.08763,1.08952,6.3,TP,2.0,0,1.773015873015873
2025-01-15,506,529,1,1.02951,1.02888,1.03077,6.3,TP,2.0,0,1.773015873015873
2025-01-22,485,597,1,1.04075,1.03996,1.04233,7.9,TP,2.0,0,1.8189873417721518
2021-04-08,525,537,1,1.18725,1.18684,1.18807,4.1,TP,2.0,0,1.6512195121951219
2021-04-08,545,553,1,1.18831,1.18799,1.18895,3.2,TP,2.0,0,1.553125
2021-04-13,515,537,-1,1.18962,1.19013,1.1886,5.1,TP,2.0,0,1.719607843137255
2021-04-13,547,570,1,1.18892,1.18841,1.18994,5.1,TP,2.0,0,1.719607843137255
2021-04-15,516,565,1,1.19753,1.1969,1.19879,6.3,TP,2.0,0,1.773015873015873
2021-05-03,500,536,1,1.20184,1.20126,1.203,5.8,TP,2.0,0,1.7534482758620689
2021-05-03,615,652,1,1.20355,1.20297,1.20471,5.8,TP,2.0,0,1.7534482758620689
2021-05-17,488,653,1,1.2133,1.21252,1.21486,7.8,TP,2.0,0,1.8166666666666667
2021-06-22,537,541,-1,1.18993,1.19031,1.18917,3.8,SL,-1.0,0,-1.3763157894736842
2021-08-17,542,610,1,1.17662,1.17602,1.17782,6.0,TP,2.0,0,1.7616666666666667
2021-08-17,614,625,-1,1.17796,1.17831,1.17726,3.5,SL,-1.0,0,-1.4085714285714286
2021-10-20,492,550,-1,1.16414,1.16465,1.16312,5.1,TP,2.0,0,1.719607843137255
2021-11-29,517,537,1,1.12703,1.12639,1.12831,6.4,SL,-1.0,0,-1.2234375
2021-11-29,565,619,1,1.12686,1.12591,1.12876,9.5,TP,2.0,0,1.8494736842105264
2021-12-22,520,619,1,1.12689,1.12635,1.12797,5.4,TP,2.0,0,1.7351851851851852
2021-12-22,644,683,1,1.12809,1.12745,1.12937,6.4,TP,2.0,0,1.7765625
2022-01-11,487,545,1,1.13389,1.13346,1.13475,4.3,TP,2.0,0,1.6674418604651162
2022-01-11,555,560,-1,1.13418,1.13465,1.13324,4.7,SL,-1.0,0,-1.304255319148936
2022-01-11,633,648,-1,1.13417,1.13476,1.13299,5.9,TP,2.0,0,1.7576271186440677
2022-02-22,525,562,1,1.13004,1.12919,1.13174,8.5,TP,2.0,0,1.831764705882353
