dia,ent_min,sal_min,lado,ent,sl,tp,rgo,mot,R,bloque,neta,cierre_min,c,ob_zona,ob_cuerpo,ocupada,res,cuerpo_pct,verde,envolvente,rompe_alto,rompe_bajo,pos_cierre
2020-01-15,487,518,-1,1.11347,1.11371,1.11299,2.4,TP,2.0,0,1.4041666666666668,490,1.11343,1,1,False,True,87.49999999993061,False,0,False,True,0.0
2020-01-15,520,546,-1,1.11293,1.11322,1.11235,2.9,TP,2.0,0,1.506896551724138,525,1.11293,0,0,False,True,100.0,False,-1,False,True,0.0
2020-01-15,562,629,1,1.11224,1.11178,1.11316,4.6,TP,2.0,0,1.6891304347826086,565,1.11219,0,0,False,True,94.44444444441018,True,0,True,False,0.9444444444441018
2020-03-16,490,510,1,1.1186,1.11742,1.12096,11.8,TP,2.0,0,1.8788135593220336,495,1.1186,0,0,False,True,31.50684931506641,False,0,True,True,0.5479452054794687
2020-03-16,570,617,-1,1.12079,1.12201,1.11835,12.2,TP,2.0,0,1.882786885245901,575,1.12032,0,0,False,True,96.29629629635417,False,0,False,True,0.03703703703645832
2020-05-01,570,597,-1,1.09536,1.09627,1.09354,9.1,SL,-1.0,0,-1.157142857142857,575,1.09496,1,0,False,True,26.31578947375187,False,0,True,True,0.4210526315783938
2020-11-10,630,647,-1,1.18299,1.18397,1.18103,9.8,TP,2.0,0,1.8540816326530611,635,1.182,1,0,False,True,86.95652173913882,False,-1,False,True,0.13043478260861172
2021-04-16,520,530,1,1.19655,1.19612,1.19741,4.3,SL,-1.0,0,-1.3325581395348838,525,1.19645,0,0,False,True,45.45454545461885,True,0,True,False,0.45454545454618855
2021-11-11,512,538,-1,1.14738,1.14789,1.14636,5.1,TP,2.0,0,1.719607843137255,515,1.14733,0,0,False,True,84.21052631569721,False,0,False,True,0.10526315789535193
2021-11-11,575,633,1,1.1466,1.14588,1.14804,7.2,SL,-1.0,0,-1.198611111111111,580,1.14692,-1,0,False,True,21.42857142854877,False,0,False,True,0.7857142857145123
2022-04-06,509,556,1,1.08826,1.08771,1.08936,5.5,TP,2.0,0,1.74,510,1.08826,0,0,False,True,41.66666666679003,True,0,True,False,1.0
2022-04-06,590,597,1,1.08954,1.08896,1.0907,5.8,SL,-1.0,0,-1.2465517241379311,595,1.08954,-1,-1,False,True,68.00000000003908,True,0,False,False,1.0
2022-05-04,489,528,1,1.05152,1.05078,1.053,7.4,SL,-1.0,0,-1.1932432432432432,490,1.05152,-1,0,False,True,36.8421052631825,True,0,True,False,0.8421052631579562
2022-05-04,553,554,1,1.05236,1.05191,1.05326,4.5,SL,-1.0,0,-1.3177777777777775,555,1.052,-1,-1,False,True,92.10526315790243,True,0,True,False,1.0
2022-09-16,505,509,1,0.99935,0.99848,1.00109,8.7,SL,-1.0,0,-1.164367816091954,510,0.99843,1,0,False,True,59.99999999999366,True,0,True,False,0.7714285714285125
2023-09-08,505,666,-1,1.07207,1.07287,1.07047,8.0,TP,2.0,0,1.82125,510,1.07209,0,0,False,True,64.2857142856463,False,0,False,True,0.0
2023-09-08,681,690,-1,1.07023,1.0706,1.06949,3.7,cierre,0.35,0,-0.0364864864864864,685,1.07019,0,0,False,False,70.0000000000222,False,0,False,True,0.19999999999911183
2024-03-25,506,519,-1,1.08184,1.08233,1.08086,4.9,TP,2.0,0,1.7081632653061225,510,1.08194,1,1,False,True,85.0000000000111,False,0,False,True,0.0
