instr,dia,lado,ent,stp,tp,sl_pips,rr,R,Rn,tipo
EURUSD,2020-01-03,1,1.11562,1.11541,1.11784,2.100000000000435,10.571428571425853,-1.0,-1.68095238095224,mecha
EURUSD,2020-01-08,1,1.113715,1.11315,1.11682,5.649999999999267,5.495575221239498,-1.0,-1.2530973451327763,mecha
EURUSD,2020-01-16,-1,1.1157750000000002,1.11586,1.11445,0.8499999999989072,15.588235294140542,-1.0,-2.6823529411786335,mecha
EURUSD,2020-01-21,1,1.108775,1.10864,1.10993,1.3499999999999623,8.555555555555921,-1.0,-2.0592592592592887,mecha
EURUSD,2020-01-22,1,1.107665,1.10753,1.10868,1.3499999999999623,7.518518518520285,7.518518518520285,6.459259259260996,mecha
EURUSD,2020-01-27,-1,1.10361,1.10371,1.10245,0.9999999999998899,11.600000000001776,11.600000000001776,10.170000000001618,mecha
EURUSD,2020-01-28,1,1.101465,1.10126,1.10252,2.0500000000001073,5.146341463414502,-1.0,-1.6975609756097194,mecha
EURUSD,2020-01-29,1,1.100365,1.10027,1.10276,0.9499999999995623,25.210526315800298,-1.0,-2.5052631578954303,mecha
EURUSD,2020-01-30,1,1.10099,1.10087,1.10172,1.1999999999989797,6.083333333339501,6.083333333339501,4.891666666671822,mecha
EURUSD,2020-02-03,1,1.1071849999999999,1.10704,1.1089,1.449999999998397,11.827586206910546,-1.0,-1.9862068965528143,mecha
EURUSD,2020-02-04,1,1.1055899999999999,1.10541,1.10641,1.7999999999984695,4.555555555559668,-1.0,-1.7944444444451197,mecha
EURUSD,2020-02-06,-1,1.100385,1.10048,1.0994,0.9499999999995623,10.3684210526365,10.3684210526365,8.863157894741068,mecha
EURUSD,2020-02-07,1,1.09707,1.09686,1.09849,2.100000000000435,6.761904761903251,-1.0,-1.68095238095224,mecha
EURUSD,2020-02-11,1,1.09069,1.09057,1.0917,1.1999999999989797,8.416666666673452,8.416666666673452,7.225000000005772,mecha
EURUSD,2020-02-12,-1,1.09234,1.09255,1.09049,2.0999999999982144,8.809523809531916,8.809523809531916,8.128571428578956,mecha
EURUSD,2020-02-13,-1,1.087745,1.08788,1.08652,1.3499999999999623,9.074074074074561,-1.0,-2.0592592592592887,mecha
EURUSD,2020-02-14,-1,1.0842100000000001,1.08432,1.08271,1.0999999999983245,13.636363636384923,-1.0,-2.30000000000198,mecha
EURUSD,2020-02-17,-1,1.08411,1.08424,1.08334,1.3000000000018552,5.923076923067989,-1.0,-2.0999999999984302,mecha
EURUSD,2020-02-18,-1,1.0836000000000001,1.08368,1.08229,0.7999999999985796,16.375000000030877,16.375000000030877,14.587500000027703,mecha
EURUSD,2020-02-19,-1,1.08033,1.08045,1.07913,1.1999999999989797,10.000000000009251,-1.0,-2.19166666666768,mecha
EURUSD,2020-02-21,-1,1.07973,1.07985,1.07871,1.1999999999989797,8.500000000007402,-1.0,-2.19166666666768,mecha
EURUSD,2020-03-03,1,1.111745,1.1115,1.11555,2.4500000000005073,15.530612244894982,-1.0,-1.5836734693876342,mecha
EURUSD,2020-03-06,-1,1.1275300000000001,1.12783,1.12112,2.9999999999996696,21.36666666666985,-1.0,-1.4766666666667192,mecha
EURUSD,2020-03-16,-1,1.12165,1.1224,1.10849,7.500000000000284,17.546666666666084,-1.0,-1.1906666666666594,mecha
EURUSD,2020-03-17,1,1.1104850000000002,1.1102,1.11891,2.8500000000009074,29.561403508762183,-1.0,-1.5017543859647526,mecha
EURUSD,2020-03-25,-1,1.0842399999999999,1.08465,1.07838,4.100000000000215,14.292682926828462,-1.0,-1.3487804878048597,mecha
EURUSD,2020-03-26,-1,1.0936400000000002,1.09399,1.08919,3.4999999999985043,12.714285714291334,-1.0,-1.4085714285716031,mecha
EURUSD,2020-04-08,1,1.0851,1.08483,1.09019,2.6999999999999247,18.851851851852523,-1.0,-1.5296296296296443,FVG
EURUSD,2020-04-13,-1,1.09641,1.09663,1.09249,2.1999999999988695,17.818181818191636,-1.0,-1.6500000000003339,mecha
EURUSD,2020-04-15,1,1.095965,1.09571,1.09879,2.5500000000011624,11.078431372543402,-1.0,-1.5607843137252346,mecha
EURUSD,2020-04-16,1,1.086865,1.08644,1.09072,4.249999999998977,9.070588235296164,-1.0,-1.3364705882353751,mecha
EURUSD,2020-04-17,1,1.08513,1.08487,1.08785,2.5999999999992696,10.461538461541615,-1.0,-1.5500000000001544,mecha
EURUSD,2020-04-27,-1,1.0855199999999998,1.08587,1.08112,3.5000000000007248,12.571428571425217,-1.0,-1.408571428571344,mecha
EURUSD,2020-04-28,1,1.0812149999999998,1.08099,1.0836,2.249999999999197,10.600000000004146,10.600000000004146,9.964444444448363,mecha
EURUSD,2020-05-01,-1,1.0962999999999998,1.09645,1.09344,1.500000000000945,19.066666666653738,-1.0,-1.9533333333327327,mecha
EURUSD,2020-05-05,1,1.088715,1.08859,1.09159,1.2500000000015277,22.99999999997158,22.99999999997158,21.855999999972976,mecha
EURUSD,2020-05-07,1,1.07901,1.07861,1.08045,3.9999999999995595,3.600000000000111,3.600000000000111,3.2425000000000717,mecha
EURUSD,2020-05-08,1,1.082935,1.08266,1.08547,2.7500000000002522,9.218181818180804,-1.0,-1.5199999999999523,mecha
