instr,dia,lado,ent,stp,tp,sl_pips,rr,R,Rn,tipo
EURUSD,2020-01-03,1,1.11562,1.11531,1.11784,3.100000000000435,7.161290322579282,-1.0,-1.4612903225805804,mecha
EURUSD,2020-01-08,1,1.113715,1.11305,1.11682,6.649999999999267,4.669172932331211,-1.0,-1.2150375939849862,mecha
EURUSD,2020-01-16,-1,1.1157750000000002,1.11596,1.11445,1.8499999999989072,7.162162162167704,-1.0,-1.7729729729734296,mecha
EURUSD,2020-01-21,1,1.108775,1.10854,1.10993,2.3499999999999623,4.914893617021428,4.914893617021428,4.306382978723546,mecha
EURUSD,2020-01-22,1,1.107665,1.10743,1.10868,2.3499999999999623,4.319148936171176,4.319148936171176,3.7106382978732944,mecha
EURUSD,2020-01-27,-1,1.10361,1.10381,1.10245,1.9999999999998899,5.800000000000568,5.800000000000568,5.085000000000528,mecha
EURUSD,2020-01-28,1,1.101465,1.10116,1.10252,3.0500000000001073,3.4590163934425937,-1.0,-1.468852459016377,mecha
EURUSD,2020-01-29,1,1.100365,1.10017,1.10276,1.9499999999995623,12.282051282053652,-1.0,-1.733333333333498,mecha
EURUSD,2020-01-30,1,1.10099,1.10077,1.10172,2.1999999999989797,3.3181818181839,3.3181818181839,2.6681818181835983,mecha
EURUSD,2020-02-03,1,1.1071849999999999,1.10694,1.1089,2.449999999998397,7.000000000005123,-1.0,-1.583673469388137,mecha
EURUSD,2020-02-06,-1,1.100385,1.10058,1.0994,1.9499999999995623,5.051282051283255,5.051282051283255,4.317948717949757,mecha
EURUSD,2020-02-07,1,1.09707,1.09676,1.09849,3.100000000000435,4.580645161289605,-1.0,-1.4612903225805804,mecha
EURUSD,2020-02-11,1,1.09069,1.09047,1.0917,2.1999999999989797,4.590909090911017,4.590909090911017,3.940909090910716,mecha
EURUSD,2020-02-12,-1,1.09234,1.09265,1.09049,3.0999999999982144,5.967741935487726,5.967741935487726,5.506451612906815,mecha
EURUSD,2020-02-13,-1,1.087745,1.08798,1.08652,2.3499999999999623,5.212765957447026,-1.0,-1.608510638297882,mecha
EURUSD,2020-02-14,-1,1.0842100000000001,1.08442,1.08271,2.0999999999983245,7.142857142863112,-1.0,-1.6809523809529243,mecha
EURUSD,2020-02-17,-1,1.08411,1.08434,1.08334,2.3000000000018552,3.3478260869535488,-1.0,-1.621739130434281,mecha
