instr,dia,lado,ent,stp,tp,sl_pips,rr,R,Rn,tipo
EURUSD,2020-03-03,1,1.111745,1.110545,1.11555,12.0,3.170833333333382,-1.0,-1.1191666666666666,mecha
EURUSD,2020-03-06,-1,1.1275300000000001,1.1287300000000002,1.12112,12.0,5.341666666666874,-1.0,-1.1191666666666666,mecha
EURUSD,2020-03-16,-1,1.12165,1.1228500000000001,1.10849,12.0,10.966666666666717,-1.0,-1.1191666666666666,mecha
EURUSD,2020-03-17,1,1.1104850000000002,1.109285,1.11891,12.0,7.020833333333253,-1.0,-1.1191666666666666,mecha
EURUSD,2020-03-25,-1,1.0842399999999999,1.08544,1.07838,12.0,4.883333333333313,-1.0,-1.1191666666666666,mecha
EURUSD,2020-03-26,-1,1.0936400000000002,1.0948400000000003,1.08919,12.0,3.708333333333387,-1.0,-1.1191666666666666,mecha
EURUSD,2020-04-08,1,1.0851,1.0838999999999999,1.09019,12.0,4.241666666666699,1.475000000000041,1.3558333333333743,FVG
EURUSD,2020-04-13,-1,1.09641,1.0976100000000002,1.09249,12.0,3.266666666666788,3.266666666666788,3.147500000000121,mecha
EURUSD,2020-04-16,1,1.086865,1.0856649999999999,1.09072,12.0,3.212499999999951,-1.0,-1.1191666666666666,mecha
EURUSD,2020-04-27,-1,1.0855199999999998,1.08672,1.08112,12.0,3.6666666666664476,3.324999999999763,3.2058333333330964,mecha
EURUSD,2020-05-12,-1,1.0823999999999998,1.0836,1.07843,12.0,3.3083333333331724,-1.0,-1.1191666666666666,mecha
EURUSD,2020-05-19,-1,1.0941649999999998,1.095365,1.09021,12.0,3.295833333333275,-1.0,-1.1191666666666666,mecha
EURUSD,2020-05-26,-1,1.0936499999999998,1.0948499999999999,1.08945,12.0,3.4999999999997993,-1.0,-1.1191666666666666,mecha
EURUSD,2020-06-03,-1,1.12094,1.1221400000000001,1.1169,12.0,3.3666666666667027,-1.0,-1.1191666666666666,mecha
EURUSD,2020-06-04,1,1.119895,1.118695,1.12365,12.0,3.129166666666627,3.129166666666627,3.0099999999999603,mecha
EURUSD,2020-06-05,-1,1.13734,1.13854,1.13258,12.0,3.9666666666667476,3.9666666666667476,3.847500000000081,mecha
EURUSD,2020-06-09,1,1.12644,1.12524,1.1315,12.0,4.216666666666535,-1.0,-1.1191666666666666,mecha
EURUSD,2020-06-12,-1,1.13135,1.1325500000000002,1.12765,12.0,3.0833333333333637,-1.0,-1.1191666666666666,mecha
EURUSD,2020-07-06,-1,1.1298750000000002,1.1310750000000003,1.12445,12.0,4.520833333333529,-1.0,-1.1191666666666666,mecha
EURUSD,2020-07-07,1,1.12832,1.12712,1.13325,12.0,4.108333333333417,-1.0,-1.1191666666666666,mecha
EURUSD,2020-07-15,-1,1.143535,1.144735,1.1391,12.0,3.6958333333333053,-1.0,-1.1191666666666666,mecha
EURUSD,2020-07-20,-1,1.1454149999999998,1.146615,1.14126,12.0,3.4624999999999235,-1.0,-1.1191666666666666,FVG
EURUSD,2020-07-28,1,1.17032,1.16912,1.17736,12.0,5.866666666666612,4.191666666666556,4.07249999999989,mecha
EURUSD,2020-07-30,1,1.17513,1.17393,1.17897,12.0,3.2000000000000544,-1.0,-1.1191666666666666,mecha
EURUSD,2020-08-13,-1,1.182915,1.184115,1.17854,12.0,3.6458333333333477,-1.0,-1.1191666666666666,mecha
EURUSD,2020-08-28,-1,1.18923,1.19043,1.18109,12.0,6.7833333333333625,-1.0,-1.1191666666666666,mecha
EURUSD,2020-09-02,1,1.1868500000000002,1.18565,1.19287,12.0,5.016666666666595,-1.0,-1.1191666666666666,mecha
EURUSD,2020-09-03,1,1.1798199999999999,1.1786199999999998,1.18546,12.0,4.700000000000074,4.700000000000074,4.580833333333407,mecha
EURUSD,2020-09-21,1,1.182505,1.1813049999999998,1.18717,12.0,3.8875000000001174,-1.0,-1.1191666666666666,mecha
EURUSD,2020-10-26,1,1.18093,1.17973,1.18493,12.0,3.333333333333336,-0.16666666666664828,-0.28583333333331495,mecha
EURUSD,2020-10-28,1,1.174495,1.173295,1.17879,12.0,3.5791666666666146,-1.0,-1.1191666666666666,mecha
EURUSD,2020-11-06,-1,1.183175,1.1843750000000002,1.17952,12.0,3.045833333333488,-1.0,-1.1191666666666666,mecha
EURUSD,2020-11-11,1,1.1789749999999999,1.1777749999999998,1.18327,12.0,3.5791666666667994,-1.0,-1.1191666666666666,mecha
EURUSD,2020-12-07,1,1.209365,1.208165,1.21402,12.0,3.8791666666667295,-1.0,-1.1191666666666666,mecha
EURUSD,2020-12-17,-1,1.2235800000000001,1.2247800000000002,1.21898,12.0,3.833333333333466,-1.0,-1.1191666666666666,mecha
EURUSD,2020-12-23,-1,1.21926,1.22046,1.21538,12.0,3.233333333333421,-1.0,-1.1191666666666666,mecha
EURUSD,2021-01-04,-1,1.228385,1.2295850000000002,1.22385,12.0,3.7791666666666295,-1.0,-1.1191666666666666,mecha
EURUSD,2021-01-06,-1,1.2332999999999998,1.2345,1.22755,12.0,4.791666666666601,-1.0,-1.1191666666666666,mecha
EURUSD,2021-01-07,1,1.230305,1.229105,1.23443,12.0,3.437499999999945,-1.0,-1.1191666666666666,mecha
EURUSD,2021-01-08,1,1.2224300000000001,1.22123,1.22724,12.0,4.008333333333317,4.008333333333317,3.8891666666666502,mecha
EURUSD,2021-01-19,-1,1.2113999999999998,1.2126,1.20772,12.0,3.066666666666588,-1.0,-1.1191666666666666,mecha
EURUSD,2021-02-04,1,1.2002950000000001,1.199095,1.20427,12.0,3.3124999999998663,-1.0,-1.1191666666666666,mecha
EURUSD,2021-02-25,-1,1.220035,1.221235,1.21559,12.0,3.7041666666666933,-1.0,-1.1191666666666666,mecha
EURUSD,2021-03-02,1,1.201075,1.1998749999999998,1.2049,12.0,3.1875000000001577,-1.0,-1.1191666666666666,mecha
EURUSD,2021-03-08,1,1.1888649999999998,1.1876649999999997,1.19321,12.0,3.6208333333335543,-1.0,-1.1191666666666666,FVG
EURUSD,2021-03-09,-1,1.188245,1.189445,1.18355,12.0,3.9124999999999113,-1.0,-1.1191666666666666,mecha
EURUSD,2021-03-12,1,1.1941,1.1928999999999998,1.19884,12.0,3.9499999999999718,-1.0,-1.1191666666666666,mecha
EURUSD,2021-03-18,1,1.19395,1.19275,1.19888,12.0,4.108333333333232,-1.0,-1.1191666666666666,mecha
EURUSD,2021-03-23,1,1.18889,1.18769,1.19369,12.0,3.999999999999929,-1.0,-1.1191666666666666,mecha
EURUSD,2021-04-19,-1,1.197845,1.1990450000000001,1.19424,12.0,3.0041666666667335,-1.0,-1.1191666666666666,mecha
EURUSD,2021-05-04,1,1.20107,1.19987,1.20598,12.0,4.091666666666641,-1.366666666666738,-1.4858333333334046,mecha
EURUSD,2021-05-14,-1,1.211155,1.212355,1.20708,12.0,3.3958333333333752,-1.0,-1.1191666666666666,mecha
EURUSD,2021-05-18,-1,1.22039,1.2215900000000002,1.21523,12.0,4.300000000000044,-1.0,-1.1191666666666666,mecha
EURUSD,2021-05-25,-1,1.225825,1.227025,1.22113,12.0,3.9124999999999113,0.9375000000000354,0.8183333333333688,mecha
EURUSD,2021-06-17,1,1.1952349999999998,1.1940349999999997,1.20062,12.0,4.487500000000162,-1.0,-1.1191666666666666,FVG
EURUSD,2021-09-23,-1,1.172115,1.173315,1.16834,12.0,3.1458333333334028,-1.0,-1.1191666666666666,mecha
EURUSD,2021-10-19,-1,1.16558,1.1667800000000002,1.16084,12.0,3.9499999999999718,-1.0,-1.1191666666666666,mecha
EURUSD,2021-11-04,1,1.155215,1.154015,1.16125,12.0,5.029166666666492,-1.0,-1.1191666666666666,mecha
EURUSD,2021-11-19,1,1.131485,1.130285,1.13692,12.0,4.529166666666547,-1.0,-1.1191666666666666,mecha
EURUSD,2021-11-26,-1,1.1274199999999999,1.12862,1.12067,12.0,5.624999999999843,-1.0,-1.1191666666666666,mecha
EURUSD,2021-11-30,-1,1.13367,1.13487,1.12847,12.0,4.333333333333226,-1.0,-1.1191666666666666,mecha
EURUSD,2022-01-21,-1,1.13371,1.13491,1.13009,12.0,3.01666666666663,-1.0,-1.1191666666666666,mecha
EURUSD,2022-01-27,1,1.119895,1.118695,1.12432,12.0,3.6874999999999174,-1.0,-1.1191666666666666,mecha
EURUSD,2022-02-01,-1,1.12597,1.12717,1.12209,12.0,3.233333333333236,-1.0,-1.1191666666666666,mecha
EURUSD,2022-02-15,-1,1.1348,1.1360000000000001,1.13031,12.0,3.7416666666667537,-1.0,-1.1191666666666666,mecha
EURUSD,2022-02-21,-1,1.1377199999999998,1.13892,1.1313,12.0,5.349999999999891,-1.0,-1.1191666666666666,mecha
EURUSD,2022-02-25,1,1.1173000000000002,1.1161,1.12285,12.0,4.624999999999768,4.624999999999768,4.5058333333331015,mecha
EURUSD,2022-03-02,1,1.1089,1.1077,1.11355,12.0,3.8750000000000355,-1.0,-1.1191666666666666,mecha
EURUSD,2022-03-04,1,1.10115,1.09995,1.10665,12.0,4.583333333333198,-1.0,-1.1191666666666666,mecha
EURUSD,2022-03-14,-1,1.095815,1.097015,1.09005,12.0,4.804166666666683,-1.0,-1.1191666666666666,mecha
EURUSD,2022-03-16,-1,1.09988,1.10108,1.09557,12.0,3.5916666666666965,-1.0,-1.1191666666666666,mecha
EURUSD,2022-03-18,1,1.10588,1.1046799999999999,1.11036,12.0,3.733333333333366,-1.0,-1.1191666666666666,mecha
EURUSD,2022-03-29,-1,1.100615,1.101815,1.0969,12.0,3.0958333333332604,-1.0,-1.1191666666666666,mecha
EURUSD,2022-04-14,-1,1.09204,1.09324,1.08826,12.0,3.149999999999912,3.149999999999912,3.0308333333332453,mecha
EURUSD,2022-04-25,1,1.071445,1.070245,1.08121,12.0,8.137500000000019,-1.0,-1.1191666666666666,mecha
EURUSD,2022-04-29,-1,1.0545200000000001,1.0557200000000002,1.04947,12.0,4.208333333333517,-1.0,-1.1191666666666666,mecha
EURUSD,2022-05-09,1,1.049885,1.0486849999999999,1.05388,12.0,3.329166666666642,3.329166666666642,3.2099999999999755,mecha
EURUSD,2022-05-12,1,1.04525,1.04405,1.05292,12.0,6.391666666666721,-1.0,-1.1191666666666666,mecha
EURUSD,2022-05-18,1,1.0518649999999998,1.0506649999999997,1.05636,12.0,3.7458333333334477,-1.0,-1.1191666666666666,mecha
EURUSD,2022-05-23,-1,1.0612599999999999,1.06246,1.05679,12.0,3.724999999999978,-1.0,-1.1191666666666666,mecha
EURUSD,2022-05-24,-1,1.07279,1.07399,1.06608,12.0,5.591666666666661,-1.0,-1.1191666666666666,mecha
EURUSD,2022-05-25,1,1.06867,1.06747,1.07386,12.0,4.325000000000023,-1.0,-1.1191666666666666,mecha
EURUSD,2022-06-02,-1,1.0689799999999998,1.07018,1.06447,12.0,3.7583333333331597,-1.0,-1.1191666666666666,mecha
EURUSD,2022-06-09,1,1.069635,1.0684349999999998,1.07337,12.0,3.1125000000000362,3.1125000000000362,2.9933333333333696,mecha
EURUSD,2022-06-14,-1,1.04462,1.0458200000000002,1.0397,12.0,4.100000000000029,-1.0,-1.1191666666666666,mecha
EURUSD,2022-06-15,-1,1.049015,1.0502150000000001,1.0424,12.0,5.51250000000003,-1.0,-1.1191666666666666,mecha
EURUSD,2022-06-16,1,1.039005,1.0378049999999999,1.04692,12.0,6.59583333333343,6.59583333333343,6.476666666666763,mecha
EURUSD,2022-06-17,1,1.0509249999999999,1.0497249999999998,1.0552,12.0,3.5625000000000235,-1.0,-1.1191666666666666,FVG
EURUSD,2022-06-22,1,1.04862,1.04742,1.05384,12.0,4.350000000000001,-1.0,-1.1191666666666666,mecha
EURUSD,2022-06-29,1,1.049015,1.047815,1.05354,12.0,3.7708333333332416,-1.0,-1.1191666666666666,mecha
EURUSD,2022-07-01,1,1.04369,1.04249,1.04793,12.0,3.533333333333351,-1.0,-1.1191666666666666,mecha
EURUSD,2022-07-12,1,1.000765,0.9995649999999999,1.00552,12.0,3.9625000000000536,3.9625000000000536,3.843333333333387,mecha
EURUSD,2022-07-14,1,1.0014,1.0002,1.00535,12.0,3.2916666666665813,-1.0,-1.1191666666666666,mecha
EURUSD,2022-07-18,-1,1.01452,1.0157200000000002,1.00801,12.0,5.425000000000012,-1.0,-1.1191666666666666,mecha
EURUSD,2022-07-19,-1,1.02199,1.02319,1.01195,12.0,8.366666666666706,-1.0,-1.1191666666666666,mecha
EURUSD,2022-07-28,-1,1.022495,1.023695,1.01803,12.0,3.720833333333284,3.720833333333284,3.6016666666666173,mecha
EURUSD,2022-08-15,1,1.02318,1.0219799999999999,1.02682,12.0,3.033333333333406,-1.0,-1.1191666666666666,mecha
EURUSD,2022-08-22,1,0.9998549999999999,0.998655,1.00466,12.0,4.0041666666668085,-1.0,-1.1191666666666666,mecha
