instr,dia,lado,ent,stp,tp,sl_pips,rr,R,Rn,tipo
EURUSD,2020-01-03,1,1.11562,1.11522,1.11784,4.0,5.549999999999722,-1.0,-1.3575,mecha
EURUSD,2020-01-08,1,1.113715,1.11315,1.11682,5.649999999999267,5.495575221239498,-1.0,-1.2530973451327763,mecha
EURUSD,2020-01-16,-1,1.1157750000000002,1.1161750000000001,1.11445,4.0,3.3125000000006066,-1.0,-1.3575,mecha
EURUSD,2020-01-29,1,1.100365,1.099965,1.10276,4.0,5.987499999999812,-1.0,-1.3575,mecha
EURUSD,2020-02-03,1,1.1071849999999999,1.106785,1.1089,4.0,4.287500000000333,-1.0,-1.3575,mecha
EURUSD,2020-02-07,1,1.09707,1.09667,1.09849,4.0,3.549999999999942,-1.0,-1.3575,mecha
EURUSD,2020-02-12,-1,1.09234,1.09274,1.09049,4.0,4.625000000000323,4.625000000000323,4.267500000000323,mecha
EURUSD,2020-02-13,-1,1.087745,1.088145,1.08652,4.0,3.062500000000079,-1.0,-1.3575,mecha
EURUSD,2020-02-14,-1,1.0842100000000001,1.08461,1.08271,4.0,3.750000000000142,-1.0,-1.3575,mecha
EURUSD,2020-02-18,-1,1.0836000000000001,1.084,1.08229,4.0,3.275000000000361,3.275000000000361,2.917500000000361,mecha
EURUSD,2020-02-19,-1,1.08033,1.08073,1.07913,4.0,3.0000000000002247,-1.0,-1.3575,mecha
EURUSD,2020-02-21,-1,1.080255,1.080655,1.07871,4.0,3.862499999999769,-1.0,-1.3575,mecha
EURUSD,2020-03-03,1,1.111745,1.111345,1.11555,4.0,9.512500000000145,-1.0,-1.3575,mecha
EURUSD,2020-03-06,-1,1.1275300000000001,1.12793,1.12112,4.0,16.02500000000062,-1.0,-1.3575,mecha
EURUSD,2020-03-16,-1,1.12165,1.1224,1.10849,7.500000000000284,17.546666666666084,-1.0,-1.1906666666666594,mecha
EURUSD,2020-03-17,1,1.1104850000000002,1.1100850000000002,1.11891,4.0,21.062499999999762,-1.0,-1.3575,mecha
EURUSD,2020-03-25,-1,1.0842399999999999,1.08465,1.07838,4.100000000000215,14.292682926828462,-1.0,-1.3487804878048597,mecha
