marco,nace,lado,base_bajo,base_alto,objetivo,tomas,reiniciado,fin,muere
12H,2026-06-02 09:59:00,bajista,1.16067,1.1651,1.16067,2,True,completado,2026-06-03 09:59:00
12H,2026-06-04 21:59:00,bajista,1.15945,1.16283,1.15945,1,True,descartado,2026-06-05 09:59:00
12H,2026-06-09 21:59:00,bajista,1.15269,1.15637,1.15269,2,True,completado,2026-06-11 09:59:00
12H,2026-06-16 09:59:00,alcista,1.15835,1.16204,1.16204,1,True,descartado,2026-06-17 21:59:00
12H,2026-06-24 21:59:00,alcista,1.13378,1.13835,1.13835,1,False,completado,2026-06-25 21:59:00
12H,2026-06-26 20:59:00,bajista,1.1354,1.1412,1.1354,2,True,descartado,2026-06-29 21:59:00
12H,2026-06-30 21:59:00,bajista,1.13825,1.14253,1.13825,1,False,completado,2026-07-01 21:59:00
1D,2026-06-08 21:59:00,alcista,1.15179,1.16442,1.16442,2,True,descartado,2026-06-17 21:59:00
1D,2026-06-19 20:59:00,alcista,1.14512,1.15282,1.15282,1,True,descartado,2026-06-22 21:59:00
1D,2026-06-25 21:59:00,bajista,1.13245,1.13835,1.13245,2,True,descartado,2026-06-29 21:59:00
1D,2026-06-30 21:59:00,bajista,1.13808,1.14306,1.13808,1,False,completado,2026-07-01 21:59:00
1H,2026-06-01 12:59:00,bajista,1.16415,1.1648,1.16415,1,False,completado,2026-06-01 13:59:00
1H,2026-06-01 14:59:00,alcista,1.16096,1.16481,1.16481,1,False,relevado,2026-06-01 19:59:00
1H,2026-06-01 19:59:00,alcista,1.16306,1.16352,1.16352,1,True,descartado,2026-06-01 20:59:00
1H,2026-06-02 05:59:00,bajista,1.1634,1.16387,1.1634,1,True,descartado,2026-06-02 06:59:00
1H,2026-06-02 14:59:00,alcista,1.16394,1.16523,1.16523,2,True,descartado,2026-06-02 16:59:00
1H,2026-06-02 20:59:00,bajista,1.16284,1.16328,1.16284,1,False,completado,2026-06-02 21:59:00
1H,2026-06-03 15:59:00,bajista,1.15947,1.16122,1.15947,1,False,relevado,2026-06-03 21:59:00
1H,2026-06-03 21:59:00,alcista,1.15965,1.16004,1.16004,1,False,completado,2026-06-03 22:59:00
1H,2026-06-04 00:59:00,bajista,1.16012,1.16108,1.16012,3,True,relevado,2026-06-04 04:59:00
1H,2026-06-04 04:59:00,bajista,1.16024,1.16101,1.16024,2,True,descartado,2026-06-04 06:59:00
1H,2026-06-04 12:59:00,bajista,1.16301,1.1645,1.16301,1,False,completado,2026-06-04 14:59:00
1H,2026-06-04 21:59:00,bajista,1.16081,1.16135,1.16081,2,True,relevado,2026-06-04 23:59:00
1H,2026-06-04 23:59:00,bajista,1.16107,1.16135,1.16107,2,True,completado,2026-06-05 01:59:00
1H,2026-06-05 05:59:00,bajista,1.16137,1.1617,1.16137,1,False,completado,2026-06-05 06:59:00
1H,2026-06-08 04:59:00,bajista,1.15259,1.15324,1.15259,1,False,completado,2026-06-08 05:59:00
1H,2026-06-08 07:59:00,bajista,1.15135,1.15248,1.15135,1,False,completado,2026-06-08 08:59:00
1H,2026-06-08 09:59:00,alcista,1.15078,1.15232,1.15232,1,False,completado,2026-06-08 10:59:00
1H,2026-06-08 13:59:00,bajista,1.1535,1.15437,1.1535,1,False,completado,2026-06-08 14:59:00
1H,2026-06-09 00:59:00,alcista,1.15277,1.1534,1.1534,1,False,completado,2026-06-09 01:59:00
1H,2026-06-09 02:59:00,bajista,1.15303,1.15396,1.15303,2,True,relevado,2026-06-09 03:59:00
1H,2026-06-09 03:59:00,alcista,1.15366,1.15403,1.15403,1,False,completado,2026-06-09 04:59:00
1H,2026-06-10 06:59:00,bajista,1.15451,1.15555,1.15451,2,True,descartado,2026-06-10 09:59:00
1H,2026-06-10 12:59:00,bajista,1.15354,1.15524,1.15354,1,True,descartado,2026-06-10 13:59:00
1H,2026-06-10 17:59:00,alcista,1.15486,1.15594,1.15594,1,True,descartado,2026-06-10 18:59:00
1H,2026-06-10 21:59:00,alcista,1.15345,1.15414,1.15414,1,True,descartado,2026-06-10 22:59:00
1H,2026-06-11 05:59:00,bajista,1.15424,1.15502,1.15424,1,False,completado,2026-06-11 06:59:00
1H,2026-06-11 07:59:00,bajista,1.15402,1.15473,1.15402,1,False,completado,2026-06-11 08:59:00
1H,2026-06-11 09:59:00,alcista,1.15305,1.15453,1.15453,3,True,descartado,2026-06-11 13:59:00
1H,2026-06-12 02:59:00,bajista,1.15614,1.15701,1.15614,1,True,descartado,2026-06-12 03:59:00
1H,2026-06-12 07:59:00,alcista,1.15575,1.15741,1.15741,1,False,completado,2026-06-12 08:59:00
1H,2026-06-12 13:59:00,bajista,1.15599,1.15724,1.15599,1,True,descartado,2026-06-12 14:59:00
1H,2026-06-12 15:59:00,bajista,1.15661,1.15789,1.15661,1,False,completado,2026-06-12 20:59:00
1H,2026-06-15 20:59:00,alcista,1.15843,1.15961,1.15961,1,False,relevado,2026-06-15 21:59:00
1H,2026-06-15 21:59:00,bajista,1.15835,1.159,1.15835,2,True,descartado,2026-06-15 23:59:00
1H,2026-06-16 09:59:00,bajista,1.15932,1.16064,1.15932,1,True,descartado,2026-06-16 10:59:00
1H,2026-06-16 12:59:00,alcista,1.15971,1.16117,1.16117,1,True,descartado,2026-06-16 13:59:00
1H,2026-06-16 16:59:00,bajista,1.15997,1.16185,1.15997,1,False,relevado,2026-06-16 23:59:00
1H,2026-06-16 23:59:00,bajista,1.16075,1.16127,1.16075,1,True,descartado,2026-06-17 00:59:00
1H,2026-06-17 03:59:00,alcista,1.16091,1.1615,1.1615,1,False,relevado,2026-06-17 05:59:00
1H,2026-06-17 05:59:00,bajista,1.16098,1.16135,1.16098,1,False,completado,2026-06-17 06:59:00
1H,2026-06-17 07:59:00,bajista,1.16037,1.16146,1.16037,1,False,completado,2026-06-17 08:59:00
1H,2026-06-17 13:59:00,bajista,1.15905,1.16026,1.15905,1,False,completado,2026-06-17 14:59:00
1H,2026-06-18 04:59:00,bajista,1.15177,1.15243,1.15177,1,False,completado,2026-06-18 05:59:00
1H,2026-06-18 06:59:00,bajista,1.15101,1.15247,1.15101,1,False,completado,2026-06-18 07:59:00
1H,2026-06-18 07:59:00,alcista,1.15104,1.15282,1.15282,1,True,descartado,2026-06-18 08:59:00
1H,2026-06-18 20:59:00,bajista,1.14512,1.14626,1.14512,2,True,descartado,2026-06-18 22:59:00
1H,2026-06-19 00:59:00,bajista,1.1457,1.14632,1.1457,1,False,completado,2026-06-19 01:59:00
1H,2026-06-19 02:59:00,alcista,1.14525,1.14633,1.14633,1,True,descartado,2026-06-19 03:59:00
1H,2026-06-19 05:59:00,alcista,1.14272,1.14433,1.14433,1,False,completado,2026-06-19 07:59:00
1H,2026-06-19 10:59:00,alcista,1.14583,1.14645,1.14645,1,False,completado,2026-06-19 11:59:00
1H,2026-06-19 11:59:00,bajista,1.14523,1.14633,1.14523,1,True,descartado,2026-06-19 12:59:00
1H,2026-06-19 13:59:00,alcista,1.14612,1.14748,1.14748,2,True,completado,2026-06-19 15:59:00
1H,2026-06-19 15:59:00,bajista,1.14579,1.14699,1.14579,1,True,descartado,2026-06-19 17:59:00
1H,2026-06-22 01:59:00,bajista,1.14576,1.14665,1.14576,2,True,relevado,2026-06-22 02:59:00
1H,2026-06-22 02:59:00,alcista,1.14635,1.14735,1.14735,1,True,descartado,2026-06-22 03:59:00
1H,2026-06-22 08:59:00,alcista,1.14442,1.14626,1.14626,1,False,completado,2026-06-22 09:59:00
1H,2026-06-22 10:59:00,bajista,1.14502,1.1463,1.14502,1,False,completado,2026-06-22 11:59:00
1H,2026-06-22 12:59:00,bajista,1.14474,1.14601,1.14474,1,False,completado,2026-06-22 13:59:00
1H,2026-06-22 14:59:00,alcista,1.14283,1.1455,1.1455,3,True,descartado,2026-06-22 18:59:00
1H,2026-06-22 19:59:00,alcista,1.14221,1.14315,1.14315,1,False,relevado,2026-06-22 21:59:00
1H,2026-06-22 21:59:00,alcista,1.14246,1.14292,1.14292,2,True,relevado,2026-06-23 00:59:00
1H,2026-06-23 00:59:00,alcista,1.14256,1.1429,1.1429,2,True,relevado,2026-06-23 01:59:00
1H,2026-06-23 01:59:00,bajista,1.14223,1.14277,1.14223,2,True,completado,2026-06-23 03:59:00
1H,2026-06-23 05:59:00,alcista,1.14195,1.143,1.143,1,False,completado,2026-06-23 06:59:00
1H,2026-06-23 06:59:00,bajista,1.14187,1.14256,1.14187,1,False,completado,2026-06-23 07:59:00
1H,2026-06-23 12:59:00,alcista,1.13842,1.14028,1.14028,1,True,descartado,2026-06-23 14:59:00
1H,2026-06-23 19:59:00,bajista,1.1376,1.13806,1.1376,1,True,descartado,2026-06-23 20:59:00
1H,2026-06-23 22:58:00,alcista,1.13791,1.13836,1.13836,1,True,descartado,2026-06-23 23:59:00
1H,2026-06-24 01:59:00,alcista,1.13731,1.1382,1.1382,1,True,descartado,2026-06-24 02:59:00
1H,2026-06-24 08:59:00,alcista,1.13513,1.13608,1.13608,1,True,descartado,2026-06-24 09:59:00
1H,2026-06-24 14:59:00,bajista,1.13245,1.13481,1.13245,2,True,descartado,2026-06-24 16:59:00
1H,2026-06-25 07:59:00,alcista,1.13522,1.13649,1.13649,1,False,completado,2026-06-25 08:59:00
1H,2026-06-25 09:59:00,bajista,1.13588,1.13724,1.13588,1,False,completado,2026-06-25 10:59:00
1H,2026-06-25 17:59:00,alcista,1.13732,1.13865,1.13865,1,True,descartado,2026-06-25 18:59:00
1H,2026-06-26 15:59:00,alcista,1.13934,1.14282,1.14282,1,True,descartado,2026-06-26 16:59:00
1H,2026-06-28 23:59:00,bajista,1.13808,1.13865,1.13808,1,True,descartado,2026-06-29 00:59:00
1H,2026-06-29 01:59:00,bajista,1.13833,1.13891,1.13833,2,True,relevado,2026-06-29 02:59:00
1H,2026-06-29 02:59:00,bajista,1.13845,1.13908,1.13845,1,False,completado,2026-06-29 03:59:00
1H,2026-06-29 19:59:00,alcista,1.14248,1.14291,1.14291,1,True,descartado,2026-06-29 20:59:00
1H,2026-06-29 21:59:00,alcista,1.1421,1.14274,1.14274,1,True,descartado,2026-06-29 23:59:00
1H,2026-06-30 07:59:00,bajista,1.13835,1.14037,1.13835,1,False,completado,2026-06-30 08:59:00
1H,2026-06-30 12:59:00,bajista,1.13863,1.14027,1.13863,2,True,descartado,2026-06-30 14:59:00
1H,2026-06-30 15:59:00,bajista,1.13908,1.14348,1.13908,1,False,relevado,2026-06-30 18:59:00
1H,2026-06-30 18:59:00,bajista,1.14141,1.14222,1.14141,1,True,descartado,2026-06-30 19:59:00
1H,2026-06-30 20:59:00,bajista,1.14154,1.14266,1.14154,1,False,completado,2026-06-30 23:59:00
4H,2026-06-01 05:59:00,alcista,1.1642,1.16584,1.16584,1,False,completado,2026-06-01 09:59:00
4H,2026-06-01 09:59:00,bajista,1.16415,1.16532,1.16415,1,False,completado,2026-06-01 13:59:00
4H,2026-06-01 17:59:00,alcista,1.16096,1.1651,1.1651,1,False,completado,2026-06-02 09:59:00
4H,2026-06-02 21:59:00,alcista,1.16201,1.16498,1.16498,2,True,descartado,2026-06-03 05:59:00
4H,2026-06-08 05:59:00,bajista,1.15089,1.15347,1.15089,1,False,completado,2026-06-08 09:59:00
4H,2026-06-15 13:59:00,bajista,1.1597,1.16178,1.1597,1,False,completado,2026-06-15 17:59:00
4H,2026-06-16 13:59:00,bajista,1.15748,1.16093,1.15748,1,True,descartado,2026-06-16 17:59:00
4H,2026-06-18 05:59:00,bajista,1.15,1.15223,1.15,1,False,completado,2026-06-18 09:59:00
4H,2026-06-19 20:59:00,bajista,1.14579,1.14764,1.14579,1,False,completado,2026-06-22 01:59:00
