dia,cierre_min,lado,ent,sl,tp,rgo,toque,arriba,R,mot,neta,examen
2020-01-07,485,1,1.11832,1.11782,1.1193199999999999,4.999999999999449,1,False,-1.0,SL,-1.2860000000000316,False
2020-01-09,530,-1,1.11167,1.11204,1.11093,3.6999999999998145,1,True,2.0,TP,1.6135135135134941,False
2020-01-09,550,1,1.11072,1.1106,1.1109599999999997,1.1999999999989797,0,False,-1.0,SL,-2.19166666666768,False
2020-01-13,610,-1,1.1129,1.11334,1.11202,4.3999999999999595,1,True,2.0,TP,1.6749999999999972,False
2020-01-13,665,1,1.1117,1.11125,1.1125999999999996,4.499999999998394,0,False,0.0888888888890095,cierre,-0.22888888888888168,False
2020-01-14,485,-1,1.11414,1.11444,1.1135399999999995,3.00000000000189,1,True,2.0,TP,1.5233333333336336,False
2020-01-14,605,1,1.11325,1.11311,1.1135300000000001,1.40000000000029,0,False,-1.0,SL,-2.02142857142836,False
2020-01-15,490,-1,1.11343,1.11365,1.1129899999999997,2.20000000000109,1,True,2.0,TP,1.350000000000322,True
2020-01-15,595,1,1.11278,1.11239,1.1135600000000003,3.900000000001125,1,False,0.7179487179480902,cierre,0.35128205128152934,True
2020-01-21,560,1,1.10893,1.10864,1.1095099999999998,2.8999999999990145,0,False,-1.0,SL,-1.4931034482760297,False
2020-01-21,665,-1,1.10967,1.11002,1.1089699999999998,3.5000000000007248,0,True,-1.0,SL,-1.408571428571344,False
2020-01-22,510,1,1.10791,1.1077,1.10833,2.100000000000435,1,False,2.0,TP,1.31904761904776,False
2020-01-23,635,1,1.10815,1.1079,1.1086499999999997,2.4999999999986144,0,False,2.0,TP,1.4279999999996829,False
2020-01-24,520,1,1.10453,1.10428,1.1050300000000002,2.500000000000835,1,False,2.0,TP,1.428000000000191,False
2020-01-24,575,-1,1.1055,1.10617,1.1041599999999996,6.700000000001705,0,True,2.0,TP,1.7865671641791587,False
2020-01-24,580,-1,1.10542,1.10564,1.1049800000000003,2.1999999999988695,1,True,2.0,TP,1.3499999999996661,False
2020-01-27,505,-1,1.10338,1.10358,1.10298,1.9999999999997797,0,True,-1.0,SL,-1.7150000000000787,False
2020-01-27,510,-1,1.10354,1.10367,1.10328,1.2999999999996348,1,True,2.0,TP,0.899999999999691,False
2020-01-28,490,1,1.10178,1.10157,1.1022,2.100000000000435,1,False,-1.0,SL,-1.68095238095224,False
2020-01-30,580,-1,1.10172,1.10188,1.1014000000000002,1.5999999999993797,0,True,-1.0,SL,-1.8937500000003464,False
2020-01-31,640,-1,1.10322,1.10341,1.1028400000000003,1.8999999999991246,0,True,2.0,TP,1.2473684210522848,False
2020-02-06,480,-1,1.10001,1.10021,1.09961,1.9999999999997797,0,True,-1.0,SL,-1.7150000000000787,False
2020-02-06,585,1,1.09969,1.09939,1.10029,2.9999999999996696,0,False,2.0,TP,1.5233333333332808,False
2020-02-11,510,1,1.09091,1.09059,1.0915500000000002,3.20000000000098,1,False,-1.0,SL,-1.4468749999998631,False
2020-02-12,485,1,1.09051,1.08972,1.0920900000000002,7.900000000000684,1,False,2.0,TP,1.8189873417721676,False
2020-02-13,510,-1,1.08761,1.08785,1.08713,2.4000000000001798,1,True,-1.0,SL,-1.5958333333332888,False
2020-02-17,540,-1,1.08406,1.08422,1.0837400000000001,1.5999999999993797,0,True,-1.0,SL,-1.8937500000003464,False
2020-02-17,555,-1,1.08399,1.0842,1.08357,2.100000000000435,1,True,-1.0,SL,-1.68095238095224,False
2020-02-18,515,-1,1.0835,1.08372,1.0830599999999997,2.20000000000109,0,True,-1.0,SL,-1.649999999999678,False
2020-02-18,665,1,1.08245,1.08212,1.0831099999999998,3.2999999999994145,0,False,-0.21212121212129367,cierre,-0.6454545454547038,False
2020-02-19,530,-1,1.08025,1.08045,1.07985,1.9999999999997797,0,True,2.0,TP,1.2849999999999213,False
2020-02-19,545,-1,1.07981,1.08039,1.0786499999999999,5.800000000000249,1,True,-1.0,SL,-1.2465517241379205,False
2020-02-20,480,1,1.07881,1.0787,1.0790300000000002,1.100000000000545,0,False,2.0,TP,0.7000000000006441,False
2020-02-24,510,1,1.08153,1.08142,1.0817500000000002,1.100000000000545,1,False,-1.0,SL,-2.299999999999356,False
2020-02-25,665,1,1.08457,1.08427,1.08517,2.9999999999996696,0,False,-1.0,SL,-1.4766666666667192,False
2020-02-26,565,-1,1.0878,1.08816,1.0870800000000003,3.5999999999991594,0,True,-1.0,SL,-1.397222222222315,False
2020-02-27,510,-1,1.09156,1.09179,1.0911000000000002,2.2999999999995246,0,True,-1.0,SL,-1.6217391304349111,False
2020-03-04,585,-1,1.11829,1.11875,1.1173700000000002,4.599999999999049,0,True,2.0,TP,1.6891304347825444,False
2020-03-11,595,1,1.13057,1.13013,1.13145,4.3999999999999595,0,False,2.0,TP,1.6749999999999972,False
2020-03-12,520,1,1.12632,1.12541,1.12814,9.099999999999664,1,False,-1.0,SL,-1.157142857142863,False
2020-03-13,670,1,1.11539,1.11512,1.1159300000000005,2.700000000002145,0,False,-1.0,SL,-1.5296296296292087,False
2020-03-17,505,1,1.11294,1.11255,1.1137200000000003,3.900000000001125,1,False,-1.0,SL,-1.366666666666561,False
2020-03-18,480,1,1.0968,1.09664,1.0971199999999999,1.5999999999993797,0,False,2.0,TP,1.1062499999996536,False
2020-03-18,485,1,1.0973,1.09662,1.09866,6.800000000000139,1,False,-1.0,SL,-1.2102941176470545,False
2020-03-19,480,1,1.08477,1.0845,1.08531,2.6999999999999247,0,False,2.0,TP,1.4703703703703557,False
2020-03-20,480,-1,1.08138,1.08309,1.0779599999999998,17.100000000001003,0,True,2.0,TP,1.916374269005853,False
2020-03-25,535,-1,1.08319,1.08428,1.0810100000000005,10.899999999998133,0,True,-1.0,SL,-1.1311926605504812,False
2020-03-25,550,-1,1.08399,1.08447,1.08303,4.8000000000003595,1,True,-1.0,SL,-1.2979166666666444,False
2020-03-26,495,-1,1.09317,1.09391,1.09169,7.399999999999629,1,True,-1.0,SL,-1.193243243243253,False
2020-03-27,540,1,1.10116,1.1001,1.1032799999999996,10.599999999998388,0,False,-1.0,SL,-1.134905660377379,False
2020-03-27,550,1,1.10094,1.1006,1.10162,3.4000000000000696,1,False,-1.0,SL,-1.420588235294109,False
2020-03-30,525,1,1.10712,1.1068,1.1077600000000003,3.20000000000098,0,False,2.0,TP,1.5531250000001369,False
2020-04-01,500,1,1.10081,1.10046,1.1015100000000002,3.5000000000007248,0,False,-1.0,SL,-1.408571428571344,False
2020-04-01,505,1,1.10069,1.0998,1.1024699999999996,8.899999999998354,1,False,-1.0,SL,-1.1606741573034005,False
2020-04-02,490,-1,1.09574,1.09607,1.0950799999999996,3.300000000001635,0,True,-1.0,SL,-1.4333333333331186,False
2020-04-02,605,1,1.09321,1.09273,1.09417,4.8000000000003595,0,False,-1.0,SL,-1.2979166666666444,False
2020-04-07,480,-1,1.08293,1.08406,1.0806699999999998,11.300000000000754,0,True,-1.0,SL,-1.1265486725663632,False
2020-04-08,545,1,1.08639,1.08537,1.08843,10.200000000000209,1,False,-1.0,SL,-1.1401960784313696,True
2020-04-09,595,-1,1.08789,1.08821,1.0872500000000003,3.1999999999987594,0,True,2.0,TP,1.553124999999827,False
2020-04-10,525,-1,1.0943,1.09441,1.09408,1.100000000000545,0,True,-1.0,SL,-2.299999999999356,False
2020-04-15,490,1,1.0967,1.09616,1.09778,5.399999999999849,1,False,-1.0,SL,-1.2648148148148222,False
2020-04-16,590,1,1.08667,1.08644,1.08713,2.2999999999995246,0,False,2.0,TP,1.3782608695650889,False
2020-04-20,655,-1,1.08731,1.08776,1.0864099999999999,4.500000000000615,1,True,-1.0,SL,-1.3177777777777344,False
2020-04-22,505,-1,1.08607,1.08628,1.0856500000000004,2.0999999999982144,1,True,-1.0,SL,-1.6809523809529598,False
2020-04-23,495,-1,1.08266,1.08343,1.08112,7.699999999999374,0,True,2.0,TP,1.8142857142856992,False
2020-04-24,485,1,1.07642,1.07601,1.07724,4.100000000000215,0,False,-1.0,SL,-1.3487804878048597,False
2020-04-27,480,-1,1.08466,1.08538,1.0832199999999998,7.200000000000539,0,True,-1.0,SL,-1.1986111111110962,False
2020-05-01,530,-1,1.09541,1.09579,1.09465,3.8000000000004697,1,True,-1.0,SL,-1.3763157894736378,True
2020-05-04,490,1,1.0931,1.09249,1.09432,6.099999999999994,1,False,2.0,TP,1.765573770491803,False
2020-05-05,615,-1,1.0915,1.09258,1.0893399999999995,10.80000000000192,0,True,2.0,TP,1.867592592592616,False
2020-05-06,540,1,1.08328,1.08287,1.0841,4.100000000000215,1,False,-1.0,SL,-1.3487804878048597,False
2020-05-07,480,1,1.07923,1.07895,1.0797899999999996,2.7999999999983594,0,False,2.0,TP,1.489285714285415,False
2020-05-07,490,-1,1.08014,1.08046,1.0795000000000003,3.1999999999987594,0,True,-1.0,SL,-1.446875000000173,False
2020-05-07,495,-1,1.08029,1.08055,1.0797700000000001,2.5999999999992696,1,True,2.0,TP,1.4499999999998456,False
2020-05-08,585,1,1.08321,1.08266,1.08431,5.5000000000005045,1,False,-1.0,SL,-1.2599999999999763,False
2020-05-11,560,1,1.08322,1.08264,1.0843800000000001,5.800000000000249,0,False,-1.0,SL,-1.2465517241379205,False
2020-05-12,520,-1,1.08156,1.08173,1.08122,1.7000000000000348,0,True,-1.0,SL,-1.841176470588218,False
2020-05-12,525,-1,1.08165,1.08177,1.0814100000000002,1.1999999999989797,1,True,-1.0,SL,-2.19166666666768,False
2020-05-13,540,1,1.0845,1.08437,1.08476,1.2999999999996348,0,False,-1.0,SL,-2.1000000000003087,False
2020-05-13,545,1,1.08447,1.08409,1.0852300000000001,3.8000000000004697,1,False,-1.0,SL,-1.3763157894736378,False
2020-05-15,490,-1,1.08061,1.08096,1.0799100000000004,3.4999999999985043,1,True,2.0,TP,1.5914285714283969,False
2020-05-15,540,1,1.07992,1.07955,1.08066,3.6999999999998145,1,False,-1.0,SL,-1.3864864864865059,False
2020-05-18,540,-1,1.08195,1.08284,1.0801699999999999,8.900000000000574,0,True,2.0,TP,1.8393258426966397,False
2020-05-18,575,1,1.08146,1.0813,1.0817800000000004,1.6000000000016001,0,False,-1.0,SL,-1.893749999999106,False
2020-05-18,580,1,1.08144,1.08124,1.08184,1.9999999999997797,1,False,-1.0,SL,-1.7150000000000787,False
2020-05-20,485,-1,1.09463,1.09491,1.0940699999999999,2.80000000000058,0,True,2.0,TP,1.48928571428582,False
2020-05-20,530,-1,1.09457,1.09481,1.09409,2.4000000000001798,1,True,-1.0,SL,-1.5958333333332888,False
2020-05-21,480,1,1.09547,1.09523,1.09595,2.4000000000001798,0,False,2.0,TP,1.4041666666667112,False
2020-05-27,520,1,1.09551,1.09511,1.09631,3.9999999999995595,1,False,2.0,TP,1.6424999999999605,False
2020-05-27,690,-1,1.09769,1.09861,1.09585,9.200000000000319,0,True,-0.09782608695643517,cierre,-0.25326086956512545,False
2020-05-28,555,1,1.10147,1.10033,1.1037499999999998,11.399999999999189,0,False,-1.0,SL,-1.125438596491237,False
2020-05-28,565,1,1.10071,1.10016,1.1018100000000002,5.5000000000005045,1,False,-1.0,SL,-1.2599999999999763,False
2020-05-29,570,-1,1.11075,1.11138,1.1094899999999996,6.300000000001305,0,True,2.0,TP,1.77301587301592,False
2020-05-29,640,-1,1.11071,1.11109,1.1099500000000004,3.7999999999982492,1,True,-1.0,SL,-1.3763157894738576,False
2020-06-02,545,1,1.11234,1.11175,1.1135200000000003,5.9000000000009045,1,False,2.0,TP,1.757627118644105,False
2020-06-02,610,-1,1.11337,1.11386,1.1123899999999998,4.900000000001015,0,True,-1.0,SL,-1.291836734693817,False
2020-06-02,615,-1,1.11365,1.11389,1.11317,2.4000000000001798,1,True,-1.0,SL,-1.5958333333332888,False
2020-06-03,485,-1,1.12065,1.12135,1.1192499999999996,7.0000000000014495,0,True,-1.0,SL,-1.204285714285672,False
2020-06-03,520,-1,1.12106,1.12125,1.1206799999999997,1.900000000001345,1,True,-1.0,SL,-1.7526315789468356,False
2020-06-04,540,1,1.12117,1.12051,1.1224900000000002,6.6000000000010495,1,False,-1.0,SL,-1.2166666666666321,False
2020-06-05,480,-1,1.1369,1.1374,1.1359000000000001,4.999999999999449,0,True,-1.0,SL,-1.2860000000000316,False
2020-06-05,485,-1,1.13718,1.13778,1.1359800000000002,5.999999999999339,1,True,-1.0,SL,-1.2383333333333595,False
2020-06-08,490,1,1.12859,1.12822,1.12933,3.6999999999998145,1,False,-1.0,SL,-1.3864864864865059,False
2020-06-11,670,-1,1.13869,1.13957,1.13693,8.799999999999919,1,True,0.2840909090910066,cierre,0.12159090909100512,False
2020-06-12,495,-1,1.13072,1.13143,1.1293,7.099999999999884,1,True,-1.0,SL,-1.2014084507042286,False
2020-06-16,550,-1,1.13473,1.13532,1.1335499999999998,5.9000000000009045,0,True,2.0,TP,1.757627118644105,False
2020-06-16,555,-1,1.13459,1.13491,1.1339499999999998,3.20000000000098,1,True,2.0,TP,1.5531250000001369,False
2020-06-17,660,1,1.12575,1.12509,1.1270700000000002,6.6000000000010495,0,False,-1.0,SL,-1.2166666666666321,False
2020-06-19,480,-1,1.12145,1.12169,1.12097,2.4000000000001798,0,True,2.0,TP,1.4041666666667112,False
2020-06-22,535,-1,1.12035,1.12047,1.1201099999999997,1.2000000000012,0,True,-1.0,SL,-2.191666666665475,False
2020-06-22,540,-1,1.1194,1.12065,1.1169,12.499999999999734,1,True,-1.0,SL,-1.1144000000000025,False
2020-06-24,560,1,1.13076,1.13065,1.13098,1.100000000000545,0,False,-1.0,SL,-2.299999999999356,False
2020-06-25,515,1,1.12408,1.12364,1.12496,4.3999999999999595,1,False,-1.0,SL,-1.3250000000000028,False
2020-06-26,540,1,1.12082,1.12059,1.1212799999999998,2.2999999999995246,0,False,2.0,TP,1.3782608695650889,False
2020-06-26,545,1,1.12108,1.12078,1.12168,2.9999999999996696,1,False,-1.0,SL,-1.4766666666667192,False
2020-06-26,590,-1,1.1225,1.12279,1.1219200000000003,2.8999999999990145,1,True,-1.0,SL,-1.4931034482760297,False
