ses,min,lado,rgo,si,mot,R,neta,res
1,0,1,1.9,True,TP,2.0,1.2473684210526317,True
1,12,1,8.8,False,TP,2.0,1.8375,True
1,38,1,10.7,True,SL,-1.0,-1.1336448598130842,True
1,40,-1,4.8,True,SL,-1.0,-1.2979166666666666,True
1,42,1,7.7,False,SL,-1.0,-1.1857142857142857,True
1,46,1,12.7,True,SL,-1.0,-1.1125984251968504,True
1,50,1,10.1,True,SL,-1.0,-1.1415841584158415,True
1,69,1,6.1,True,SL,-1.0,-1.2344262295081967,True
1,91,-1,5.5,True,TP,2.0,1.74,True
1,108,-1,4.4,True,TP,2.0,1.675,True
1,112,-1,9.7,True,TP,2.0,1.852577319587629,True
1,121,1,2.9,False,TP,2.0,1.506896551724138,True
1,122,-1,3.2,True,SL,-1.0,-1.446875,True
1,123,1,4.6,False,SL,-1.0,-1.3108695652173914,True
1,127,1,4.9,True,SL,-1.0,-1.2918367346938775,True
1,131,1,7.6,True,SL,-1.0,-1.188157894736842,True
1,135,1,2.7,True,SL,-1.0,-1.5296296296296297,True
1,139,1,1.7,False,SL,-1.0,-1.8411764705882354,True
1,144,-1,7.7,True,TP,2.0,1.8142857142857143,True
1,159,-1,3.7,True,TP,2.0,1.6135135135135137,True
1,167,-1,19.3,True,cierre,-0.33,-0.4040932642487047,False
1,181,1,11.9,True,cierre,0.55,0.42983193277310927,False
1,187,1,11.5,True,cierre,0.25,0.12565217391304348,False
1,191,1,3.1,False,cierre,1.35,0.888709677419355,False
1,195,-1,3.9,False,SL,-1.0,-1.3666666666666667,True
2,25,-1,2.7,True,SL,-1.0,-1.5296296296296297,True
2,36,1,2.4,True,SL,-1.0,-1.5958333333333332,True
2,40,1,1.7,False,SL,-1.0,-1.8411764705882354,True
2,53,-1,2.2,True,SL,-1.0,-1.65,True
2,69,-1,3.8,True,SL,-1.0,-1.3763157894736842,True
2,74,1,1.8,False,SL,-1.0,-1.7944444444444443,True
2,82,1,2.1,True,SL,-1.0,-1.6809523809523808,True
2,86,1,1.5,False,SL,-1.0,-1.9533333333333331,True
2,94,-1,1.9,True,TP,2.0,1.2473684210526317,True
2,98,-1,3.1,True,TP,2.0,1.538709677419355,True
2,104,-1,1.9,True,TP,2.0,1.2473684210526317,True
2,108,-1,5.3,True,cierre,0.34,0.07018867924528305,False
2,112,-1,7.5,True,cierre,-0.05,-0.24066666666666664,False
2,117,-1,5.3,True,cierre,-0.55,-0.8198113207547171,False
2,121,-1,6.0,False,SL,-1.0,-1.2383333333333333,True
2,128,-1,3.1,True,SL,-1.0,-1.461290322580645,True
2,133,-1,2.1,True,SL,-1.0,-1.6809523809523808,True
2,137,-1,2.8,False,SL,-1.0,-1.5107142857142857,True
2,144,1,2.0,True,TP,2.0,1.2850000000000001,True
2,153,-1,1.9,False,SL,-1.0,-1.7526315789473683,True
2,177,1,4.5,True,cierre,0.67,0.35222222222222227,False
2,181,1,3.3,True,cierre,0.7,0.2666666666666666,False
2,185,1,3.3,False,cierre,0.39,-0.043333333333333335,False
2,189,1,5.5,True,cierre,-0.29,-0.55,False
2,195,-1,1.6,False,cierre,0.06,-0.83375,False
3,15,-1,2.3,False,SL,-1.0,-1.6217391304347828,True
3,20,-1,2.7,False,SL,-1.0,-1.5296296296296297,True
3,39,-1,2.6,False,SL,-1.0,-1.5499999999999998,True
3,55,1,3.2,True,SL,-1.0,-1.446875,True
3,59,1,2.7,False,SL,-1.0,-1.5296296296296297,True
3,60,-1,2.5,False,SL,-1.0,-1.572,True
3,63,1,4.8,True,SL,-1.0,-1.2979166666666666,True
3,69,1,6.3,True,SL,-1.0,-1.226984126984127,True
3,74,1,3.1,False,SL,-1.0,-1.461290322580645,True
3,77,-1,2.3,True,TP,2.0,1.3782608695652172,True
3,87,-1,1.8,False,SL,-1.0,-1.7944444444444443,True
3,91,-1,3.6,True,SL,-1.0,-1.3972222222222221,True
3,100,-1,1.7,True,SL,-1.0,-1.8411764705882354,True
3,121,1,5.4,False,TP,2.0,1.7351851851851852,True
3,125,1,7.7,True,cierre,1.19,1.0042857142857142,False
3,138,1,3.3,True,TP,2.0,1.5666666666666667,True
3,154,1,4.8,True,SL,-1.0,-1.2979166666666666,True
