divisa,par,momento,carry,senal,direccion
China,USDCNH,-1.0,-1.0,-1.0,COMPRAR
Sweden,USDSEK,1.0,1.0,1.0,VENDER
United Kingdom,GBPUSD,1.0,1.0,1.0,COMPRAR
Brazil,USDBRL,0.5,1.0,0.75,VENDER
Norway,USDNOK,-0.5,-1.0,-0.75,COMPRAR
Singapore,USDSGD,-0.5,-1.0,-0.75,COMPRAR
Japan,USDJPY,1.0,0.0,0.5,VENDER
Malaysia,USDMYR,0.0,-1.0,-0.5,COMPRAR
Mexico,USDMXN,-1.0,0.0,-0.5,COMPRAR
New Zealand,NZDUSD,0.0,1.0,0.5,COMPRAR
South Korea,USDKRW,-1.0,0.0,-0.5,COMPRAR
Australia,AUDUSD,-0.5,1.0,0.25,COMPRAR
Canada,USDCAD,0.5,0.0,0.25,VENDER
Denmark,USDDKK,0.5,-1.0,-0.25,COMPRAR
Euro,EURUSD,-0.5,1.0,0.25,COMPRAR
India,USDINR,0.5,0.0,0.25,VENDER
South Africa,USDZAR,-0.5,1.0,0.25,VENDER
Thailand,USDTHB,0.5,0.0,0.25,VENDER
