variante,operaciones,win rate %,R total,R medio,profit factor,R:R medio del plan,riesgo medio (pips),TP / SL / tiempo,equity final,max drawdown %
BASE M15 · KZ UTC · coste 1.2,1343,41.85,-92.14,-0.0686,0.889,1.47,21.32,561 / 781 / 1,3609.89,65.15
sin coste (spread = 0),1343,41.85,-4.46,-0.0033,0.994,1.47,21.32,561 / 781 / 1,8680.51,38.94
coste 0.6 pips,1343,41.85,-48.3,-0.036,0.94,1.47,21.32,561 / 781 / 1,5598.28,50.14
sin filtro de kill zone,2073,39.12,-222.3,-0.1072,0.835,1.6,20.04,808 / 1261 / 4,921.46,91.13
KZ en hora de Nueva York,1269,39.32,-70.25,-0.0554,0.914,1.73,22.59,492 / 767 / 10,4448.48,62.52
grafico M5,1675,40.6,-138.53,-0.0827,0.87,1.52,20.2,679 / 995 / 1,2205.04,78.68
grafico M30,1019,42.39,-61.97,-0.0608,0.901,1.44,22.27,431 / 587 / 1,5004.56,49.95
grafico H1,621,39.94,-70.01,-0.1127,0.823,1.44,23.24,246 / 373 / 2,4753.08,53.11
"rango D1 (htf 24h), grafico H1",390,42.31,-16.08,-0.0412,0.924,1.54,51.06,121 / 200 / 69,8303.21,30.22
R:R minimo 1.5,626,32.43,-85.32,-0.1363,0.811,1.93,20.39,202 / 423 / 1,4017.79,59.82
R:R minimo 2.0,240,27.92,-32.4,-0.135,0.825,2.43,20.31,66 / 173 / 1,7034.98,34.76
colchon SL 0.25 ATR,1912,36.09,-248.06,-0.1297,0.815,1.9,15.13,689 / 1222 / 1,701.85,93.61
colchon SL 1.00 ATR,411,45.99,-8.47,-0.0206,0.963,1.24,35.5,186 / 219 / 6,8961.0,27.58
rango minimo 0.8 ATR,1203,41.15,-82.05,-0.0682,0.891,1.52,21.75,494 / 708 / 1,4024.25,62.96
sin tope diario,1363,41.75,-96.27,-0.0706,0.886,1.48,21.37,568 / 794 / 1,3458.94,66.25
varias direcciones por rango,1290,42.17,-87.07,-0.0675,0.891,1.46,20.95,543 / 746 / 1,3815.44,63.55
