variante,operaciones,win rate %,R total,R medio,profit factor,riesgo medio (pips),riesgo mediano (pips),TP / SL / tiempo,equity final (1.0%/op),max drawdown %
"BASE (KZ, H4, 1R, coste 1.2)",1237,50.04,-176.84,-0.143,0.749,11.69,9.2,614 / 613 / 10,1601.48,83.99
sin coste (spread = 0),1237,50.04,1.21,0.001,1.002,11.69,9.2,614 / 613 / 10,9518.48,18.71
coste 0.6 pips,1237,50.04,-87.82,-0.071,0.867,11.69,9.2,614 / 613 / 10,3905.95,60.94
sin filtro horario,2595,49.63,-508.57,-0.196,0.671,9.5,7.4,1283 / 1301 / 11,53.98,99.47
sin confirmacion H4,1430,50.35,-196.65,-0.1375,0.757,11.63,9.2,715 / 704 / 11,1300.95,86.99
solo niveles de DIA,560,49.64,-82.84,-0.1479,0.742,11.96,9.4,276 / 280 / 4,4243.85,58.42
solo niveles de SESION,955,49.42,-148.06,-0.155,0.73,11.65,9.2,468 / 479 / 8,2166.4,78.34
envolvente con cuerpo >=50%,998,50.1,-136.38,-0.1367,0.758,11.98,9.55,495 / 494 / 9,2429.67,75.8
envolvente con cuerpo >=70%,660,51.52,-66.08,-0.1001,0.816,12.45,10.2,336 / 317 / 7,4995.73,52.08
TP 2R,1129,33.75,-169.26,-0.1499,0.801,11.55,9.0,360 / 738 / 31,1646.98,83.84
TP 3R,1088,27.02,-134.58,-0.1237,0.851,11.53,9.0,255 / 780 / 53,2225.62,79.91
TP 0.5R,1367,66.93,-188.05,-0.1376,0.633,11.72,9.3,914 / 449 / 4,1471.74,85.34
SL buffer 3 pips,1158,49.57,-138.13,-0.1193,0.786,13.78,11.2,568 / 579 / 11,2369.65,76.44
H4 anclado a las 17:00 NY,1239,50.69,-159.94,-0.1291,0.77,11.68,9.2,624 / 605 / 10,1896.44,81.04
