variante,operaciones,win rate %,R total,R medio,profit factor,R:R medio,riesgo medio,max drawdown %,R bruto
"BASE (ancla 01 UTC, TP rango, 06:30-16)",997,36.41,-103.92,-0.1042,0.852,2.0,13.77,69.29,1.38
TP fijo 2R,1466,36.08,-30.87,-0.0211,0.97,2.0,16.19,55.27,107.09
TP fijo 3R,1338,29.0,15.63,0.0117,1.015,3.0,16.11,58.31,141.96
rejilla H4 estandar (00 UTC),981,36.19,-124.41,-0.1268,0.82,1.89,13.61,78.27,-21.13
sin filtro horario,2063,32.91,-340.89,-0.1652,0.785,2.41,11.15,97.46,-49.11
solo Londres (06:30-11),520,37.88,-39.04,-0.0751,0.892,2.0,11.96,42.56,23.06
solo Nueva York (12-16),445,36.4,-43.54,-0.0978,0.859,1.95,15.94,44.91,-3.55
OB medido contra la apertura,1318,34.45,-159.83,-0.1213,0.835,2.2,12.62,82.46,-5.12
margen OB 4 velas,886,36.34,-93.52,-0.1055,0.85,2.0,13.61,66.66,1.44
margen OB 32 velas,997,36.41,-103.92,-0.1042,0.852,2.0,13.77,69.29,1.38
rango minimo 0.5 ATR,976,36.27,-99.78,-0.1022,0.855,2.02,13.9,67.62,2.14
R:R minimo 2,390,27.18,-44.5,-0.1141,0.86,2.95,11.89,47.34,3.04
colchon SL 3 pips,871,39.04,-53.53,-0.0615,0.907,1.8,15.89,49.99,22.6
varias por rango,1046,35.76,-125.81,-0.1203,0.831,2.01,13.84,74.85,-15.81
