dia,asia_hi,asia_lo,i_inicio
2024-01-09,1.09663,1.0948,1562
2024-01-11,1.09885,1.09709,2149
2024-01-29,1.0849,1.08392,5526
2024-01-30,1.08422,1.08139,5813
2024-01-31,1.08481,1.0815,6105
2024-02-01,1.08217,1.07938,6395
2024-02-02,1.08825,1.08701,6677
2024-02-15,1.07354,1.07246,9268
2024-02-20,1.07799,1.07615,10154
2024-02-21,1.08191,1.08055,10436
2024-02-27,1.08553,1.08454,11578
2024-02-28,1.08455,1.0822,11860
2024-03-11,1.09473,1.09353,14188
2024-03-12,1.09393,1.09267,14476
2024-03-18,1.08965,1.08805,15628
2024-03-20,1.0872,1.08582,16204
2024-04-15,1.06589,1.06341,21352
2024-04-17,1.06355,1.06097,21934
2024-04-26,1.07302,1.07185,23944
2024-04-30,1.07223,1.06951,24522
2024-05-06,1.07715,1.07553,25694
2024-05-09,1.07515,1.07421,26535
2024-05-28,1.088,1.08562,30278
2024-06-10,1.07814,1.07479,32878
2024-06-25,1.07441,1.07308,36044
2024-07-26,1.08607,1.08434,42684
2024-07-30,1.08251,1.08142,43244
2024-07-31,1.08302,1.08123,43533
2024-08-02,1.08042,1.07818,44098
2024-08-06,1.09631,1.09437,44674
2024-09-03,1.10727,1.10538,50435
2024-09-04,1.10598,1.1039,50734
2024-09-12,1.1022,1.10059,52462
2024-09-18,1.11303,1.1113,53619
2024-09-23,1.11672,1.11558,54467
2024-09-26,1.11519,1.1129,55331
2024-10-01,1.11439,1.11271,56203
2024-10-14,1.09335,1.09153,58820
2024-10-15,1.09103,1.08882,59074
2024-10-17,1.0865,1.08512,59657
2024-11-08,1.08046,1.07727,64254
2024-11-11,1.07277,1.07077,64534
2024-11-14,1.05686,1.05339,65417
2024-11-21,1.05548,1.05418,66857
2024-11-22,1.04782,1.04615,67127
2024-11-27,1.04964,1.04744,67992
2024-12-05,1.05297,1.05077,69719
2024-12-06,1.05876,1.05659,70015
2024-12-09,1.05692,1.0532,70312
2024-12-10,1.0568,1.05452,70590
2024-12-12,1.05141,1.04962,71166
2024-12-16,1.05228,1.04953,71748
2024-12-19,1.03909,1.03473,72600
2025-01-07,1.04041,1.03761,75877
2025-01-21,1.04343,1.03528,78760
2025-01-23,1.04158,1.03967,79320
2025-01-24,1.04708,1.04115,79618
2025-02-17,1.05062,1.04846,84220
2025-03-03,1.04231,1.03997,87108
2025-03-04,1.04959,1.04708,87388
2025-03-10,1.08711,1.08107,88566
2025-03-11,1.09014,1.08354,88848
2025-03-24,1.08499,1.08169,91440
2025-04-10,1.09954,1.09427,95159
2025-04-28,1.13805,1.13398,98611
2025-04-30,1.13955,1.13547,99183
2025-05-12,1.12426,1.12083,101492
2025-05-19,1.11988,1.11711,102924
2025-05-21,1.13398,1.12801,103504
2025-06-06,1.14572,1.14306,106957
2025-06-10,1.14355,1.13859,107541
2025-06-23,1.15142,1.14702,110132
2025-06-30,1.17385,1.17115,111568
2025-07-14,1.16978,1.16629,114447
2025-08-01,1.14344,1.14047,118476
2025-08-06,1.1586,1.15642,119342
2025-08-11,1.16754,1.16417,120241
2025-08-18,1.17157,1.16935,121651
2025-08-19,1.16746,1.1639,121940
2025-08-21,1.16551,1.16409,122508
2025-08-27,1.16475,1.16119,123670
2025-09-05,1.16775,1.16476,125693
2025-09-08,1.17208,1.17036,125965
2025-09-09,1.17799,1.17611,126256
2025-09-16,1.17866,1.17572,127691
2025-09-25,1.17535,1.17384,129724
2025-09-26,1.16818,1.16579,130003
2025-10-02,1.17418,1.17237,131150
2025-10-06,1.17307,1.1706,131727
2025-10-13,1.16275,1.15918,133163
2025-10-21,1.1655,1.16242,134891
2025-10-24,1.16215,1.16016,135769
2025-11-13,1.15945,1.15789,139789
2025-11-25,1.15301,1.15114,142094
2025-11-27,1.16132,1.1591,142674
2025-12-05,1.16614,1.16409,144403
2025-12-16,1.1759,1.17463,146419
2025-12-23,1.17803,1.17588,147858
2025-12-25,1.17835,1.17707,148394
2025-12-29,1.17862,1.17537,148817
