n,dia,hora,avance,accion,lado,entrada,stop,rgo,obj,nota,R,motivo,fav,neto
1,2024-01-09,09:30,4,COMPRA,1.0,1.09447,1.09247,20.0,1.09847,,-1.0,SL,False,-1.0715
2,2024-01-11,11:30,17,COMPRA,1.0,1.09661,1.09461,20.0,1.10061,,-1.0,SL,False,-1.0715
3,2024-01-29,08:40,2,VENTA,-1.0,1.08469,1.08669,20.0,1.08069,,2.0,TP,False,1.9285
4,2024-01-30,08:45,4,COMPRA,1.0,1.08199,1.08119,8.0,1.08359,,2.0,TP,False,1.82125
5,2024-01-31,09:05,4,VENTA,-1.0,1.08104,1.08184,8.0,1.07944,,-1.0,SL,False,-1.17875
6,2024-02-01,09:40,9,VENTA,-1.0,1.0786,1.0791,5.0,1.0776,,-1.0,SL,False,-1.286
7,2024-02-02,08:25,0,VENTA,-1.0,1.08804,1.08854,5.0,1.08704,,-1.0,SL,False,-1.286
8,2024-02-15,08:20,0,COMPRA,1.0,1.07355,1.07255,10.0,1.07555,,2.0,TP,True,1.857
10,2024-02-21,09:40,0,VENTA,-1.0,1.08063,1.08163,10.0,1.07863,,-1.0,SL,True,-1.143
11,2024-02-27,09:00,2,VENTA,-1.0,1.08541,1.08641,10.0,1.08341,,-1.0,SL,False,-1.143
12,2024-02-28,08:20,0,VENTA,-1.0,1.08205,1.08305,10.0,1.08005,,2.0,TP,True,1.857
13,2024-03-11,08:55,7,COMPRA,1.0,1.09445,1.09365,8.0,1.09605,,-1.0,SL,True,-1.17875
14,2024-03-12,08:20,0,VENTA,-1.0,1.0927,1.0937,10.0,1.0907,,2.0,TP,True,1.857
15,2024-03-18,08:25,1,VENTA,-1.0,1.08957,1.09057,10.0,1.08757,,-1.0,SL,False,-1.143
16,2024-03-20,08:25,1,VENTA,-1.0,1.08573,1.08673,10.0,1.08373,,2.0,TP,True,1.857
17,2024-04-15,08:20,0,COMPRA,1.0,1.06603,1.06503,10.0,1.06803,,-1.0,SL,True,-1.143
18,2024-04-17,09:15,5,VENTA,-1.0,1.06253,1.06353,10.0,1.06053,,-1.0,SL,False,-1.143
19,2024-04-26,08:30,2,COMPRA,1.0,1.07328,1.07228,10.0,1.07528,,-1.0,SL,False,-1.143
20,2024-04-30,08:35,0,COMPRA,1.0,1.06953,1.06853,10.0,1.07153,,2.0,TP,False,1.857
21,2024-05-06,10:20,1,COMPRA,1.0,1.0773,1.0763,10.0,1.0793,,-0.5599999999999556,cierre,False,-0.7029999999999557
22,2024-05-09,08:30,2,VENTA,-1.0,1.07409,1.07509,10.0,1.07209,,-1.0,SL,True,-1.143
23,2024-05-28,09:10,10,VENTA,-1.0,1.0873,1.088,7.0,1.0859,,-1.0,SL,True,-1.2042857142857142
24,2024-06-10,09:10,2,COMPRA,1.0,1.07529,1.07429,10.0,1.07729,,-1.0,SL,False,-1.143
25,2024-06-25,09:00,0,VENTA,-1.0,1.07314,1.07414,10.0,1.07114,,2.0,TP,True,1.857
26,2024-07-26,10:45,3,COMPRA,1.0,1.08483,1.08433,5.0,1.08583,,2.0,TP,False,1.714
27,2024-07-30,09:20,2,VENTA,-1.0,1.0824,1.0829,5.0,1.0814,,-1.0,SL,False,-1.286
28,2024-07-31,09:20,1,COMPRA,1.0,1.08174,1.08114,6.0,1.08294,,-1.0,SL,False,-1.2383333333333333
29,2024-08-02,08:20,0,COMPRA,1.0,1.08052,1.08002,5.0,1.08152,,-1.0,SL,True,-1.286
30,2024-08-06,09:40,16,COMPRA,1.0,1.09274,1.09224,5.0,1.09374,,-1.0,SL,False,-1.286
31,2024-09-03,08:25,0,COMPRA,1.0,1.1056,1.1051,5.0,1.1066,,-1.0,SL,False,-1.286
32,2024-09-04,09:50,6,COMPRA,1.0,1.10574,1.10524,5.0,1.10674,,-1.0,SL,True,-1.286
33,2024-09-12,09:25,1,COMPRA,1.0,1.10136,1.10046,9.0,1.10316,,2.0,TP,False,1.8411111111111111
34,2024-09-18,09:55,2,COMPRA,1.0,1.11311,1.11261,5.0,1.11411,,-1.0,SL,True,-1.286
35,2024-09-23,08:30,1,COMPRA,1.0,1.11594,1.11544,5.0,1.11694,,-1.0,SL,False,-1.286
36,2024-09-26,08:25,0,COMPRA,1.0,1.11522,1.11472,5.0,1.11622,,-1.0,SL,True,-1.286
37,2024-10-01,09:25,4,VENTA,-1.0,1.112,1.1128,8.0,1.1104,,2.0,TP,True,1.82125
