R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.0941765905248955,212.36699999999473,-1,19,21,False,True,0.8172364924712134,2023
-1.0,-1.0946288655891545,211.35200000001078,1,20,0,False,True,0.4849750244469676,2023
-1.0,-1.0688966206207575,290.2900000000045,1,11,14,False,True,0.1132447665056314,2023
-1.0,-1.0603742600379749,331.26700000000255,-1,13,14,False,True,0.7085253456221167,2023
2.4482758620689093,2.3048964083446286,139.4900000000007,-1,1,4,True,True,0.5389882924674149,2023
-1.0,-1.1369178424486375,146.07300000000123,-1,7,9,False,True,0.8360291785600991,2023
-1.0,-1.058594322210179,341.32999999999356,-1,10,13,False,True,0.6632716049382676,2023
-1.0,-1.079116114765837,252.79299999999694,1,12,14,False,True,0.13951749095295285,2023
2.4482758620690905,2.3741193919170667,269.6999999999889,1,14,15,True,True,0.07611872146119346,2023
-1.0,-1.0835945663531896,239.24999999999272,1,14,15,False,True,0.06378995433790667,2023
-1.0,-1.0686224052153006,291.4500000000089,1,14,16,False,True,-0.11828246156603822,2023
-1.0,-1.2004811547714676,99.75999999999203,-1,1,3,False,True,0.5725026852846357,2023
2.4482758620687983,2.22363248343239,89.03000000000247,-1,7,9,True,True,0.8626907073509009,2023
-1.0,-1.1474567398789304,135.6330000000071,-1,12,13,False,True,0.8797048219159646,2023
-1.0,-1.1926411096127987,103.81999999999607,1,17,20,False,True,0.12368257904525716,2023
-1.0,-1.148312940304035,134.85000000000582,-1,17,19,False,True,0.9331237392552736,2023
2.4482758620690466,2.3686665844038255,251.2269999999944,-1,12,14,True,True,0.8260405253595562,2023
-1.0,-1.084620266553842,236.3499999999931,-1,17,18,False,True,0.6674441852715755,2023
-1.0,-1.0993739441518424,201.26000000000204,-1,19,20,False,True,0.6698267244251914,2023
-1.0,-1.1038637307852082,192.56000000000313,-1,19,20,False,True,0.6717760746417852,2023
-1.0,-1.0301501780368012,663.3460000000014,-1,14,16,False,True,0.5307676476641288,2023
2.4482758620688183,2.3309875674406295,170.52000000001044,1,19,19,True,True,0.24121013900245633,2024
-1.0,-1.1354921753268667,147.61000000000877,-1,16,17,False,True,0.5874840357599006,2024
-1.0,-1.2386350077556547,83.80999999999403,1,20,1,False,True,0.24104683195592316,2024
-1.0,-1.2411381721726322,82.94000000000779,1,20,1,False,True,0.23725895316804,2024
-1.0,-1.1043824992301865,191.60299999998642,-1,8,9,False,True,0.9473985412836197,2024
-1.0,-1.0410264825945126,487.49000000002525,-1,11,14,False,True,0.9570519683489032,2024
-1.0,-1.0872981230903471,229.10000000001673,-1,14,14,False,True,0.8463687150838012,2024
2.4482758620686296,2.3508806957907433,205.3490000000238,-1,2,5,True,True,0.9595513126491639,2024
-1.0,-1.0638569604086834,313.2000000000062,-1,0,2,False,True,0.8815331010452966,2024
2.4482758620688925,2.42231970202321,770.5300000000079,-1,14,16,True,True,0.7830497013411474,2024
2.4482758620690412,2.424724478248606,849.2069999999785,1,11,15,True,True,0.4042555800833972,2024
-1.0,-1.0342039960528577,584.7270000000208,-1,14,16,False,True,0.5216948736816315,2024
2.4482758620690883,2.3700215590606,255.57699999999386,-1,5,7,True,True,0.8892632868739466,2024
2.4482758620691327,2.381578069766056,299.85999999998967,1,10,12,True,True,0.25170412120335917,2024
-1.0,-1.0779183337943545,256.67899999998554,-1,12,14,False,True,0.7897860801446235,2024
-1.0,-1.0345466699601147,578.9270000000215,-1,17,18,False,True,0.936362290957523,2024
-1.0,-1.1260795561999672,158.62999999999374,-1,9,11,False,True,0.9887283372732001,2024
-1.0,-1.041728999359461,479.2829999999867,-1,16,17,False,True,0.7562486648152094,2024
-1.0,-1.063393250520613,315.49100000002,-1,11,14,False,True,0.7535310608360294,2024
-1.0,-1.0382929024105367,522.2900000000209,-1,13,14,False,True,0.9859690588740913,2024
-1.0,-1.0414381525214083,482.6469999999972,-1,15,16,False,True,0.9741512677266873,2024
2.4482758620689653,2.3931034482758617,362.5,-1,14,16,True,True,0.9066411094824699,2024
-1.0,-1.0934492103541802,214.01999999998225,1,17,18,False,True,0.2504204398447581,2024
-1.0,-1.099431253231505,201.14400000002206,1,17,18,False,True,0.2455692108667621,2024
-1.0,-1.1119570085087354,178.63999999999578,-1,2,4,False,True,0.8087744912489433,2025
-1.0,-1.1154621082226495,173.2169999999769,-1,18,19,False,True,1.0934342938972466,2025
-1.0,-1.1014198782961353,197.20000000002074,1,11,14,False,True,0.486581307870371,2025
2.4482758620688223,2.406730369754741,481.40000000003056,1,20,21,True,True,0.19763934426229723,2025
-1.0,-1.0550403170322282,363.36999999998625,-1,17,18,False,True,0.7833333333333287,2025
-1.0,-1.0394991507682585,506.34000000000015,-1,14,15,False,True,0.5461956521739136,2025
-1.0,-1.0380394469064411,525.7700000000114,1,9,10,False,True,-0.01584042241126327,2025
2.4482758620689737,2.413532528446112,575.649999999996,-1,7,9,True,True,0.5123190246380526,2025
-1.0,-1.035585922209175,562.0199999999841,-1,6,9,False,True,0.7862686567164222,2025
-1.0,-1.1282602143228144,155.93300000000454,-1,20,22,False,True,0.9722603680307631,2025
