R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.0672528122884315,22.303900000000795,-1,18,21,False,True,0.5334910009219566,2020
-1.0,-1.0387156721040671,38.7440000000006,-1,14,17,False,True,0.9412778227082504,2020
2.4482758620687695,2.3441822055362054,14.410100000000966,-1,5,8,True,True,0.7379401699966812,2020
-1.0,-1.1829647609870335,8.198300000000017,-1,18,20,False,True,1.100201570125193,2020
-1.0,-1.0363409948226194,41.27570000000014,-1,11,13,False,True,0.7359114139693349,2020
-1.0,-1.0771886851679378,19.43289999999979,-1,22,2,False,True,0.5143356222141917,2020
-1.0,-1.0998150095156987,15.027799999999843,-1,5,7,False,True,0.8672635266640727,2020
-1.0,-1.0244847990206079,61.26250000000073,-1,15,17,False,True,1.0539731104024845,2020
-1.0,-1.0343021008893387,43.72910000000047,1,5,9,False,True,0.010027640290545052,2020
-1.0,-1.0597414390517825,25.10820000000058,-1,13,16,False,True,0.9071678716674175,2020
2.448275862069,2.389605106702581,25.566399999999703,-1,9,11,True,True,0.8604269293924482,2020
-1.0,-1.054659344743776,27.442699999999604,-1,12,16,False,True,0.8932917372527492,2021
2.4482758620692153,2.3094563829198917,10.805399999999281,-1,3,6,True,True,0.9508427774262206,2021
2.4482758620689165,2.4174307681867324,48.63010000000031,1,19,2,True,True,0.031699128249429706,2021
-1.0,-1.0512831032431456,29.249399999998786,-1,9,13,False,True,0.6519203761372696,2021
2.4482758620689706,2.385458108934365,23.878600000000006,-1,3,10,True,True,0.8903043947797105,2021
2.4482758620688245,2.3750744214644763,20.491400000000795,1,7,11,True,True,0.1667006733319738,2021
-1.0,-1.0705938828047443,21.24829999999929,-1,8,16,False,True,0.8490783070343602,2021
2.448275862068941,2.4190346823783826,51.29752000000008,-1,14,15,True,True,0.9124489116430775,2021
-1.0,-1.061220691614235,24.5015199999998,-1,9,13,False,True,0.9982161969318551,2021
-1.0,-1.0883871119805735,16.970800000000963,-1,15,17,False,True,0.8220208498135407,2021
-1.0,-1.0709541248470948,21.14041999999972,-1,18,21,False,True,0.7232569669296546,2021
2.4482758620691225,2.3440143463847116,14.386899999999514,-1,17,0,True,True,0.9523783458317394,2021
-1.0,-1.0696340036766765,21.541199999999662,-1,13,15,False,True,1.0816688473964569,2021
-1.0,-1.0698125765029483,21.48610000000008,1,18,21,False,True,0.25457065938040047,2021
-1.0,-1.0286005739181834,52.446500000000015,1,17,20,False,True,-0.1473126196436468,2022
-1.0,-1.022219226741284,67.50909999999931,1,19,21,False,True,0.3138183512354833,2022
2.4482758620690417,2.409597825778729,38.781699999999546,1,1,4,True,True,0.30175095547062464,2022
-1.0,-1.0323579217585452,46.35649999999987,-1,1,7,False,True,0.687221654971649,2022
-1.0,-1.083399125977158,17.98580000000038,-1,17,22,False,True,0.8122851329544652,2022
-1.0,-1.0202126369406155,74.21099999999933,1,18,20,False,True,-0.007486887936902732,2022
2.4482758620689635,2.4258902748054676,67.00740000000042,1,14,18,True,True,0.15680931773254125,2022
-1.0,-1.029884526190799,50.193199999999706,-1,17,22,False,True,0.5983864935620022,2022
2.4482758620689378,2.420752481874909,54.4991200000004,-1,16,19,True,True,0.5146218981479245,2022
2.4482758620689524,2.4368185272741725,130.92050000000017,-1,11,13,True,True,0.5014272927401616,2022
-1.0,-1.0389371709809048,38.52360000000044,-1,18,22,False,True,0.9049169519462402,2022
-1.0,-1.049586940783274,30.249900000000707,1,16,21,False,True,0.27033872837332895,2022
