ts,R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2020-08-14 06:00:00,-1.0,-1.1098225942707955,13.020999999999727,-1,0,8,False,False,0.5891574134552623,2020
2020-09-24 14:00:00,-1.0,-1.0951937158833704,15.02200000000009,1,20,16,False,False,0.13447842480100242,2020
2021-01-08 08:00:00,-1.0,-1.0691589689026453,20.677000000000056,1,1,9,False,False,0.06490179333901616,2021
2021-03-17 06:00:00,2.4482758620689915,2.286070780399307,8.816000000000379,1,1,7,True,False,0.15117370892017987,2021
2021-05-19 06:00:00,-1.0,-1.0578081416501617,24.73699999999912,-1,20,8,False,True,0.9215205395462941,2021
2021-06-15 00:00:00,-1.0,-1.146756978653524,9.744000000000419,1,20,2,False,True,0.25392156862746035,2021
2021-06-15 02:00:00,-1.0,-1.1585541634327317,9.01900000000122,1,20,4,False,False,0.30000000000000654,2021
2021-06-15 12:00:00,-1.0,-1.147635762956847,9.685999999999861,1,2,14,False,False,0.3372549019607955,2021
2021-07-14 00:00:00,-1.0,-1.0624972684760308,22.88099999999904,1,20,2,False,True,0.08325624421830731,2021
2021-07-30 10:00:00,2.4482758620689755,2.3554126891356706,15.399000000000385,-1,0,12,True,False,0.902943516308673,2021
2021-08-30 04:00:00,-1.0,-1.2020915771622616,7.075999999999194,-1,16,6,False,False,0.8733572281959304,2021
2021-09-14 10:00:00,-1.0,-1.107664508357166,13.282000000001126,1,2,12,False,True,0.4864197530864267,2021
2021-09-21 14:00:00,-1.0,-1.163279287508567,8.757999999999821,1,8,16,False,False,0.21492007104796435,2021
2021-10-11 06:00:00,2.448275862068645,2.305760414590086,10.034000000000987,-1,2,8,True,False,0.6065128900949863,2021
2021-11-02 22:00:00,-1.0,-1.215329016714332,6.641000000000563,1,15,23,False,True,0.2845321451304864,2021
2021-11-30 14:00:00,-0.2527438312446662,-0.2898471757349485,38.54100000000082,1,15,15,False,False,0.3217703349282381,2021
2021-12-13 08:00:00,-1.0,-1.0772889417360276,18.50200000000024,1,11,9,False,True,0.035714285714296336,2021
2021-12-13 10:00:00,-1.0,-1.0804410192945995,17.77699999999882,1,11,11,False,True,0.10156250000002014,2021
2021-12-28 12:00:00,2.4482758620692318,2.335178740905038,12.643999999999433,-1,1,13,True,False,0.5853658536585326,2021
2022-03-14 22:00:00,-1.0,-1.0552806556363075,25.868000000000002,1,13,23,False,True,0.22519256909832955,2022
2022-03-22 06:00:00,-1.0,-1.0580805003858489,24.621000000000226,1,23,7,False,True,0.16741214057507056,2022
2022-05-16 02:00:00,2.4482758620689546,2.348051583964101,14.267999999999503,1,22,4,True,False,0.2061538461538416,2022
2022-06-07 14:00:00,-1.0,-1.12420741770172,11.513000000000773,1,16,16,False,False,0.4094076655052224,2022
2022-07-12 10:00:00,-1.0,-1.072836550705449,19.6329999999989,1,20,12,False,False,0.16918844566712474,2022
2022-07-13 12:00:00,-1.0,-1.039670430271591,36.04699999999905,1,8,14,False,False,0.11111111111111241,2022
2022-07-21 12:00:00,2.448275862068898,2.415047866902061,43.03600000000074,-1,8,14,True,True,0.6838810641627588,2022
2022-08-24 16:00:00,2.4482758620689107,2.3928086575384433,25.781000000000276,1,20,18,True,True,0.3322834645669281,2022
2022-08-31 10:00:00,-1.0,-1.0457424349049953,31.26200000000079,1,16,12,False,False,0.4951622083096217,2022
2022-09-08 12:00:00,-1.0,-1.0497581683426704,28.738999999999848,-1,0,14,False,False,0.6096676737160056,2022
2022-12-02 08:00:00,-1.0,-1.0422177609825207,33.87200000000146,-1,23,9,False,False,0.9492868462757463,2022
2022-12-09 08:00:00,-1.0,-1.0666356011183604,21.459999999999813,-1,17,9,False,False,0.7855172413793134,2022
2022-12-21 18:00:00,-1.0,-1.074262567511422,19.256000000000828,1,5,19,False,True,0.46795646916566386,2022
2023-01-18 14:00:00,-1.0,-1.0468729513570207,30.5080000000002,-1,9,15,False,True,0.6194444444444362,2023
2023-01-20 08:00:00,-1.0,-1.0872749465975042,16.38499999999876,-1,1,9,False,True,0.5338283828382858,2023
2023-02-13 00:00:00,2.4482758620687046,2.304931836407123,9.976000000000429,1,17,1,True,False,0.005617977528091089,2023
2023-04-20 12:00:00,-1.0,-1.0957482423836602,14.935000000000365,-1,16,14,False,False,0.7480136208853697,2023
2023-04-20 14:00:00,-1.0,-1.116024340770794,12.324999999999697,-1,16,16,False,False,0.6560726447219215,2023
2023-04-28 12:00:00,-1.0,-1.0791498311839292,18.06699999999939,1,14,14,False,False,0.29170090386195585,2023
2023-05-16 06:00:00,-1.0,-1.1179673321234016,12.122000000001076,1,22,8,False,False,0.2701264138389877,2023
2023-06-20 08:00:00,-1.0,-1.1093355761143795,13.079000000000285,-1,16,10,False,True,0.7484586929716367,2023
2023-07-05 06:00:00,2.448275862068953,2.329741379310337,12.064000000000519,-1,2,8,True,False,0.5197568389057582,2023
2023-07-07 06:00:00,-1.0,-1.1480791135963444,9.657000000000693,-1,0,8,False,False,0.5108958837772437,2023
2023-07-28 08:00:00,-1.0,-1.0494091631538929,28.94200000000069,1,22,10,False,True,0.1492015968063892,2023
2023-08-23 12:00:00,-1.0,-1.0667257710792757,21.431000000000644,1,16,14,False,True,0.2668250197941326,2023
2023-08-25 14:00:00,2.448275862069028,2.3833083458271473,22.01099999999956,1,10,16,True,True,0.12241169305723873,2023
2023-10-27 12:00:00,2.4482758620691416,2.368096439585259,17.83499999999938,1,2,14,True,False,0.3358512492736731,2023
2023-11-27 06:00:00,-1.0,-1.1446051167964302,9.889000000000703,-1,19,7,False,True,0.97843942505133,2023
2023-12-07 06:00:00,2.44827586206856,2.279981169824251,8.497000000000643,1,21,7,True,False,0.16226138032305806,2023
2024-02-08 06:00:00,-1.0,-1.1042502004811565,13.716999999999757,-1,13,7,False,True,0.9040880503144677,2024
2024-03-04 18:00:00,-1.0,-1.2568247126436671,5.568000000000239,-1,9,19,False,False,0.8952802359882024,2024
2024-04-05 08:00:00,-1.0,-1.0896551724137924,15.95000000000013,-1,2,10,False,False,0.751810401579984,2024
2024-07-19 18:00:00,-1.0,-1.1819569919837372,7.85899999999895,1,10,20,False,True,0.10196078431372674,2024
