R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2.4482758620688787,2.0061892130856522,3.3929999999998017,-1,7,10,True,False,0.6133455210237673,2020
-1.0,-1.2841985600606372,5.2779999999998495,-1,12,14,False,False,0.9732381801962525,2020
-1.0,-1.3617072582590724,4.146999999998968,-1,10,14,False,False,0.8102345415778286,2020
2.448275862068946,2.249336870026511,7.540000000000191,-1,17,19,True,False,0.8491620111731804,2020
2.4482758620688525,2.244637523757704,7.366000000000383,-1,17,19,True,False,0.8692737430167563,2020
-1.0,-1.394840747565216,3.798999999999353,-1,11,14,False,True,0.5884615384615417,2020
-1.0,-1.3471418653089404,4.321000000000197,-1,12,15,False,False,0.6932270916334509,2020
-1.0,-1.8917954815697926,1.6819999999995616,-1,12,14,False,False,0.7868525896414397,2020
-1.0,-1.9074410163337712,1.6530000000003042,-1,12,15,False,False,0.7948207171314607,2020
2.448275862069171,2.078817733990333,4.059999999999775,1,1,2,True,False,0.3405797101449279,2020
-1.0,-1.2905850445563747,5.161999999999978,-1,10,12,False,False,1.0421052631578887,2020
-1.0,-1.2625590757920495,5.713000000000079,-1,14,16,False,False,1.0338983050847472,2020
-1.0,-1.3273679615887817,4.582000000000619,-1,21,22,False,False,0.9817708333333387,2020
2.448275862068641,2.187042842214966,5.742000000000758,1,16,20,True,False,0.038340099233195216,2020
-1.0,-1.1795977011494405,8.351999999999293,1,14,15,False,True,0.25502101821578943,2020
-1.0,-1.1631676275426868,9.193000000000495,1,23,0,False,False,0.2948678071539634,2020
2.448275862068935,2.136684669713329,4.814000000000362,1,4,6,True,False,0.18823112371499187,2020
2.44827586206938,2.1309498624924643,4.726999999999748,1,4,6,True,False,0.19283941864586931,2020
2.448275862068923,2.3616357650320148,17.313000000000045,1,15,18,True,False,0.15102103017372753,2020
2.448275862068862,2.3794021764083655,21.779000000000792,1,8,11,True,True,0.12787892081596813,2020
-1.0,-1.2693965517241608,5.567999999999529,1,10,11,False,True,0.21192052980132497,2020
-1.0,-1.3358710255262487,4.465999999999326,1,10,11,False,False,0.12061068702290151,2020
2.448275862069153,2.160919540230068,5.219999999999914,1,8,9,True,False,0.4189526184538674,2020
-1.0,-1.0744232200446548,20.154999999999745,1,14,15,False,False,0.21257485029939757,2020
-1.0,-1.3471418653089404,4.321000000000197,1,0,2,False,True,0.22306959008580304,2020
-1.0,-1.2889616644191504,5.191000000000656,1,21,23,False,False,0.10156971375807904,2020
2.4482758620695018,1.9509283819633199,3.015999999999508,-1,4,6,True,True,0.7745336577453416,2020
2.4482758620695018,1.9509283819633199,3.015999999999508,-1,4,6,True,True,0.7672343876723485,2020
-1.0,-1.1944516463572725,7.713999999999999,1,7,8,False,False,0.04813664596273469,2020
-1.0,-1.247483913545632,6.060999999999694,-1,9,10,False,True,0.6047582501918637,2020
-1.0,-1.218245307725877,6.873000000000218,-1,0,2,False,False,0.6265402843601953,2020
2.4482758620692535,1.860501567398412,2.552000000000021,1,20,22,True,False,0.3084967320261305,2020
2.4482758620696576,1.8250934773582617,2.4069999999994707,1,20,23,True,False,0.3058823529411693,2020
-1.0,-1.975927130773961,1.5370000000004325,-1,20,21,False,False,0.8078317621464915,2020
-1.0,-1.311591192355606,4.814000000000362,-1,21,22,False,False,0.8223350253807165,2020
-1.0,-1.4239683436969617,3.538000000000352,1,11,12,False,True,0.3266331658291375,2020
-1.0,-1.3294531078409881,4.55299999999994,-1,12,15,False,False,0.6080729166666645,2020
-1.0,-1.4879635653869805,3.074000000000865,-1,4,6,False,False,0.5554259043173856,2020
-1.0,-1.4926108374383935,3.0450000000001864,-1,4,7,False,False,0.5624270711785294,2020
-1.0,-1.2736726874657742,5.481000000000336,1,8,9,False,False,0.23946994794131582,2020
-1.0,-1.1783590963138981,8.41000000000065,1,12,13,False,False,0.051585423568383665,2020
-1.0,-1.4274722143061098,3.5089999999996735,-1,5,6,False,False,0.9821428571428601,2020
-1.0,-1.228867866951485,6.55399999999986,-1,4,7,False,True,0.8009188361408948,2020
2.4482758620688823,2.346255866149683,14.703000000000088,1,12,14,True,True,0.05266380894059936,2020
-1.0,-1.2340458729910795,6.409000000000731,1,23,0,False,True,0.10853835021708041,2020
-1.0,-1.2922267679719053,5.13300000000072,-1,12,13,False,False,0.5520134228187908,2020
2.448275862068931,2.2979149959903475,9.97600000000034,1,19,20,True,True,0.06578947368420962,2020
2.4482758620692535,1.860501567398412,2.552000000000021,-1,12,13,True,True,0.8130081300813001,2020
2.448275862068989,1.7397260273972137,2.1169999999997913,-1,15,17,True,True,0.8463949843260217,2020
2.4482758620695018,1.9509283819633199,3.015999999999508,1,19,21,True,True,0.07338444687841546,2020
-1.0,-1.663129973474701,2.2620000000003415,1,19,22,False,False,0.11719605695509278,2020
-1.0,-1.6896551724138797,2.174999999999727,1,18,21,False,False,0.20403825717322716,2020
2.4482758620686584,2.08656860380971,4.147000000000389,1,21,23,True,True,0.21679064824653876,2020
-1.0,-1.2068965517241232,7.250000000000512,-1,13,15,False,False,0.6506172839506281,2020
-1.0,-1.0987101868912856,15.196000000000254,1,14,15,False,True,0.05904059040590433,2020
2.4482758620688823,2.2523510971786016,7.656000000000063,-1,14,16,True,False,0.8474301902063905,2020
-1.0,-1.474533375514069,3.161000000000058,1,9,10,False,False,0.478260869565214,2020
2.448275862069395,2.149292405820607,5.0169999999994275,1,9,11,True,True,0.4351515151515072,2020
-1.0,-1.497347480106182,3.015999999999508,1,17,18,False,False,0.19219790675546888,2020
2.4482758620697793,1.8097062579828074,2.348999999999535,1,20,22,True,False,0.4277511961722371,2020
2.448275862069027,2.134796238244555,4.784999999999684,1,0,1,True,False,0.44641101278268963,2020
2.448275862069221,2.013619240799991,3.4509999999997376,-1,15,16,True,False,0.6377049180327806,2020
2.4482758620694045,2.112404836543156,4.465999999999326,-1,18,19,True,True,0.642622950819666,2020
-1.0,-1.4458977407847078,3.3640000000005443,1,2,3,False,True,0.16969050160086066,2020
