ts,R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2023-01-17 08:00:00,-1.0,-1.2445585717779444,6.133499999999913,-1,17,9,False,False,0.930663282094674,2023
2023-01-23 08:30:00,2.4482758620690066,2.2022047967453435,6.095800000000054,1,8,9,True,True,0.3201432070849827,2023
2023-03-22 17:30:00,2.4482758620690115,2.372744118594954,19.859199999999873,-1,14,18,True,False,0.9005302771125547,2023
2023-05-11 08:00:00,-1.0,-1.0847381027703695,17.701600000000326,-1,15,10,False,True,0.7739510881759056,2023
2023-05-11 08:30:00,-1.0,-1.0975743028316043,15.3729000000003,-1,15,10,False,True,0.7069777877496066,2023
2023-05-11 14:30:00,2.448275862068994,2.362298239178311,17.446399999999812,1,20,16,True,True,0.44895669733004023,2023
2023-10-02 18:30:00,2.448275862069124,2.103678007765086,4.352899999999863,1,18,20,True,False,0.11721419185282562,2023
2023-10-02 19:00:00,2.448275862068677,2.103448275861809,4.350000000000364,1,18,21,True,False,0.14454664914586002,2023
2023-11-07 08:30:00,-1.0,-1.1912874923485066,7.841599999999744,-1,21,9,False,True,0.7715497211895908,2023
2023-11-15 13:00:00,2.448275862069196,2.2236812553343346,6.6786999999994805,-1,12,14,True,True,0.9812926041720074,2023
2023-12-04 08:30:00,-1.0,-1.0755096904102632,19.8650000000016,-1,8,9,False,True,0.9994704370010046,2023
2023-12-07 08:00:00,-1.0,-1.1186333438785172,12.644000000000233,-1,4,9,False,False,0.6781300068665602,2023
2023-12-29 15:30:00,-1.0,-1.0594872201622054,25.21549999999843,-1,14,16,False,False,0.751714159904379,2023
2024-01-04 12:00:00,-1.0,-1.0407597619629907,36.800999999999476,1,6,13,False,True,0.16084132384781913,2024
2024-01-17 09:00:00,-1.0,-1.0708123020796168,21.18275999999969,1,8,10,False,False,0.03942105263157275,2024
2024-01-30 12:00:00,-1.0,-1.0649164611700062,23.106619999998657,-1,11,13,False,True,0.8269538161707445,2024
2024-01-30 20:00:00,-1.0,-1.0706401599670035,21.234379999998055,-1,17,21,False,True,0.8329842976690053,2024
2024-02-02 06:30:00,-1.0,-1.1008484040067679,14.873810000000958,-1,6,7,False,False,0.7837036654042168,2024
2024-02-28 18:30:00,-1.0,-1.0879004451278484,17.064760000001115,-1,18,19,False,True,1.017436048572421,2024
2024-03-01 08:00:00,2.448275862069007,2.3859576235978803,24.06999999999971,-1,5,9,True,False,0.9320511977145166,2024
2024-03-13 06:30:00,2.4482758620687606,2.3575842660961976,16.539570000000822,-1,23,7,True,False,0.944542266081827,2024
2024-03-19 22:30:00,-1.0,-1.0916379737988637,16.368760000001203,-1,17,23,False,True,0.7719315717257501,2024
2024-03-20 06:30:00,-1.0,-1.1003494838022614,14.947759999999107,-1,3,7,False,False,0.6127480457005392,2024
2024-03-26 13:30:00,-1.0,-1.0770725185603391,19.46219000000201,-1,13,14,False,True,0.984106301677178,2024
2024-04-03 19:00:00,2.4482758620690293,2.389845033652325,25.671379999999772,1,18,21,True,True,0.26568336292939326,2024
2024-04-03 19:30:00,-1.0,-1.0675938134536918,22.19138000000021,1,18,21,False,True,0.28790847672116704,2024
2024-04-04 07:00:00,2.4482758620692078,2.386683376024007,24.353619999998045,1,3,9,True,True,0.3297511889453568,2024
2024-04-16 13:30:00,2.448275862069031,2.4047736434558815,34.48099999999977,1,11,15,True,True,0.040746924157860444,2024
2024-05-03 08:00:00,2.448275862068851,2.4197585457840574,52.59962000000087,1,7,10,True,True,0.45706525899193295,2024
2024-06-21 13:30:00,2.4482758620690546,2.410277494478926,39.47537999999986,1,14,15,True,True,0.3757519534051968,2024
2024-06-21 15:00:00,-1.0,-1.054306977794967,27.620759999997972,-1,13,17,False,False,0.6222300857872427,2024
2024-06-24 00:30:00,-1.0,-1.0619206037506586,24.224569999998494,-1,1,2,False,False,0.6881150715850167,2024
2024-07-31 19:00:00,2.448275862068808,2.4012539184951427,31.900000000001455,-1,19,21,True,False,0.7289330077432616,2024
2024-08-14 02:00:00,-1.0,-1.1065993527287485,14.071379999997589,-1,1,4,False,False,0.9101556104826444,2024
2024-08-15 08:00:00,-1.0,-1.0600438079622923,24.981759999998758,-1,6,10,False,False,0.8006584663487609,2024
2024-08-22 14:00:00,2.4482758620691643,2.3857481935758535,23.989379999999073,-1,11,16,True,False,0.9507063467534569,2024
2024-09-04 07:00:00,2.4482758620689244,2.41772608211899,49.10019000000102,1,3,9,True,False,0.015410262945790384,2024
2024-10-03 15:00:00,-1.0,-1.0616174329684491,24.343759999999747,1,9,17,False,True,0.028982934908550934,2024
2024-10-10 12:30:00,-1.0,-1.0402453571614485,37.27137999999832,-1,12,14,False,False,0.7905652216307852,2024
2024-12-12 13:30:00,2.448275862068867,2.3576906818043644,16.559000000001106,-1,12,14,True,False,0.7516728452270616,2024
2025-01-16 08:00:00,-1.0,-1.0408241025501472,36.742999999998574,-1,4,9,False,True,0.8601340340614905,2025
2025-01-16 16:30:00,-1.0,-1.0795217666979806,18.86275999999998,-1,15,17,False,False,0.9372219541280242,2025
2025-01-16 17:00:00,-1.0,-1.0839078222228227,17.876759999999194,-1,15,18,False,False,0.9313871161261809,2025
2025-01-28 05:00:00,-1.0,-1.0386162410642021,38.84375999999975,-1,4,6,False,False,0.5826697341013745,2025
2025-02-13 16:30:00,-1.0,-1.0267939629986094,55.98275999999896,-1,12,17,False,True,0.9891092085418575,2025
2025-02-14 03:00:00,-1.0,-1.1161192033293674,12.917760000000271,-1,0,4,False,True,0.8317573200309745,2025
2025-03-07 13:30:00,-1.0,-1.020401343387659,73.5245700000014,-1,12,14,False,False,0.5266065756717304,2025
2025-03-24 17:00:00,-1.0,-1.0452134072823736,33.175999999999476,1,13,18,False,True,0.15021663535894222,2025
2025-03-24 17:30:00,-1.0,-1.046004409676016,32.605569999999716,1,13,18,False,False,0.22275585565299774,2025
2025-04-07 13:30:00,-1.0,-1.0040069300656873,374.3514299999988,1,13,15,False,False,0.3034470007680606,2025
2025-05-01 15:30:00,2.4482758620689937,2.406117120917761,35.57980999999927,-1,12,17,True,False,0.9077346941395955,2025
2025-05-02 18:30:00,-1.0,-1.0323680462647271,46.34200000000055,-1,18,20,False,True,1.0256209373930898,2025
2025-05-19 02:30:00,-1.0,-1.0473230905132975,31.697000000000116,-1,2,4,False,True,0.7493914304794612,2025
2025-05-21 08:00:00,-1.0,-1.0277871636641716,53.98175999999876,-1,7,10,False,False,0.832753545624832,2025
2025-05-26 07:00:00,-1.0,-1.0449775112443798,33.349999999998545,-1,4,9,False,True,0.7515301974643414,2025
2025-06-05 13:00:00,2.448275862068909,2.423274949535602,59.997810000000754,-1,10,15,True,False,0.8112373205626481,2025
2025-06-06 07:00:00,-1.0,-1.0456253918080518,32.876430000000255,-1,7,9,False,False,0.6255539417209551,2025
2025-06-23 11:30:00,2.4482758620689924,2.4266771607557045,69.44861999999921,1,8,13,True,True,0.35435960303799946,2025
2025-07-11 00:00:00,2.4482758620688854,2.423034971422184,59.427380000000994,-1,21,2,True,False,0.5601537282877603,2025
2025-07-15 01:00:00,-1.0,-1.046393938353591,32.33180999999968,1,1,3,False,False,0.3277367882853988,2025
