R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.1092609588741722,13.72860000000037,-1,11,15,False,False,0.9140439037291721,2020
-1.0,-1.0597552425266115,25.10239999999976,-1,13,15,False,False,0.5017615890365362,2020
2.4482758620688725,2.3373036716997833,13.516900000000533,1,9,11,True,False,0.16992023088948383,2020
2.4482758620692002,2.32078230049405,11.765299999999115,1,9,11,True,False,0.15853609652462972,2020
-1.0,-1.0672528122884315,22.303900000000795,-1,18,21,False,True,0.5334910009219566,2020
-1.0,-1.0387156721040671,38.7440000000006,-1,14,17,False,True,0.9412778227082504,2020
-1.0,-1.0559119424181538,26.827900000000227,-1,21,0,False,False,0.7344140089313959,2020
2.4482758620687695,2.3441822055362054,14.410100000000966,-1,5,8,True,True,0.7379401699966812,2020
-1.0,-1.1829647609870335,8.198300000000017,-1,18,20,False,True,1.100201570125193,2020
-1.0,-1.0363409948226194,41.27570000000014,-1,11,13,False,True,0.7359114139693349,2020
2.4482758620689915,2.41085696752292,40.08669999999984,1,9,11,True,False,0.2752849002849008,2020
-1.0,-1.023933064006586,62.67480000000069,-1,19,0,False,False,0.6058162267839686,2020
2.4482758620688365,2.37123663369375,19.47060000000056,-1,4,7,True,False,0.9493818270954287,2020
-1.0,-1.0584057564713585,25.68239999999969,-1,13,14,False,False,0.702733227919584,2020
-1.0,-1.0771886851679378,19.43289999999979,-1,22,2,False,True,0.5143356222141917,2020
-1.0,-1.0998150095156987,15.027799999999843,-1,5,7,False,True,0.8672635266640727,2020
-1.0,-1.0488655058394278,30.696500000000015,-1,5,9,False,False,0.9911348398311405,2020
-1.0,-1.0465396238357325,32.23060000000078,-1,11,15,False,False,0.6071507556210851,2020
-1.0,-1.0805421020414765,18.62379999999939,-1,0,3,False,False,0.5028103616813296,2020
-1.0,-1.0244847990206079,61.26250000000073,-1,15,17,False,True,1.0539731104024845,2020
-1.0,-1.0343021008893387,43.72910000000047,1,5,9,False,True,0.010027640290545052,2020
-1.0,-1.0273152397185439,54.91439999999966,-1,18,20,False,False,0.9637847038797906,2020
-1.0,-1.0570906599680305,26.273999999999432,-1,12,13,False,False,0.5527353421726519,2020
-1.0,-1.0452015537280737,33.18469999999979,-1,14,15,False,False,0.955721670266008,2020
-1.0,-1.0597414390517825,25.10820000000058,-1,13,16,False,True,0.9071678716674175,2020
-1.0,-1.0552561083785945,27.146319999999832,-1,20,1,False,False,0.7338662205285498,2020
2.448275862069,2.389605106702581,25.566399999999703,-1,9,11,True,True,0.8604269293924482,2020
2.448275862069032,2.4000122267876702,31.07929999999942,-1,13,15,True,False,0.8631191188270457,2020
2.4482758620689653,2.3444538268802164,14.447799999999916,-1,18,19,True,False,0.7993323723541412,2020
-1.0,-1.2007924609123968,7.470400000000154,-1,1,3,False,False,0.745646056734349,2020
-1.0,-1.208902011030047,7.180399999999281,-1,1,3,False,False,0.7186478059167951,2020
-1.0,-1.0669568128557076,22.402500000000146,1,5,9,False,False,0.4131477149012073,2021
-1.0,-1.1366194874036812,10.979400000000169,-1,8,9,False,False,0.8289069647937629,2021
