R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.2972651605231436,1.6820000000002437,-1,11,13,False,False,0.9641147542771187,2020
2.4482758620689973,2.321155171142618,3.933269999999993,-1,19,1,True,True,0.9110153785326565,2020
2.4482758620691163,2.3281101294907387,4.160919999999805,-1,21,4,True,True,0.6388753744910793,2020
-1.0,-1.142455418576762,3.5098699999998644,1,8,10,False,True,0.3571672316127159,2020
-1.0,-1.2026966765853033,2.466739999999845,-1,18,20,False,True,0.9728725280091151,2020
-1.0,-1.0401756479327622,12.445349999999962,-1,11,13,False,False,0.7317719607615397,2020
-1.0,-1.011907029910459,41.991999999999734,-1,15,19,False,True,0.6996299993064371,2020
2.448275862068913,2.4152426028622136,15.13626000000022,1,3,7,True,False,0.3192179303767292,2020
2.448275862068919,2.4137910343585673,14.49913000000015,1,9,11,True,False,0.30491177873152175,2020
-1.0,-1.1133853696589808,4.409740000000056,-1,5,7,False,True,0.796744245811849,2020
-1.0,-1.0689241627437316,7.254350000000159,-1,19,2,False,False,0.9571626275304963,2020
-1.0,-1.0456012571354567,10.964609999999993,-1,18,20,False,False,0.8408229211546759,2020
-1.0,-1.0474969127006744,10.527000000000044,-1,18,20,False,False,0.828746230073244,2020
2.448275862068906,2.37495509102768,6.819350000000213,1,6,8,True,False,0.17001877550454814,2020
2.448275862069019,2.3478016236637465,4.976400000000012,-1,9,12,True,False,0.970052696180216,2020
-1.0,-1.0890567113137657,5.614399999999932,-1,14,16,False,True,0.880208857229072,2020
-1.0,-1.0984715249891224,5.077609999999822,-1,0,2,False,True,0.7425260957640305,2020
2.448275862068851,2.233777487966534,2.3310200000000805,-1,4,8,True,False,0.9667192133431788,2020
-1.0,-1.1140453718107235,4.384219999999914,-1,16,22,False,False,0.6692194507968574,2020
2.4482758620689147,2.377507158254341,7.065270000000055,-1,17,19,True,False,0.8846948326501639,2020
2.4482758620688547,2.355320398890375,5.378920000000107,1,7,10,True,True,0.258954681949323,2020
-1.0,-1.0606642247294091,8.242089999999735,-1,17,21,False,True,0.6737416178081712,2020
-1.0,-1.1263752789734258,3.956470000000081,-1,5,10,False,False,0.5456861119745788,2020
-1.0,-1.1891539145402739,2.6433499999998276,1,2,4,False,True,0.05191768892927163,2020
-1.0,-1.0328939794149474,15.200350000000071,-1,9,10,False,True,0.5148652671387651,2020
-1.0,-1.0670635937233843,7.455609999999979,-1,18,21,False,True,0.7606112054329388,2020
-1.0,-1.0852900287427414,5.8623499999998785,-1,6,9,False,False,0.6256439911681229,2020
-1.0,-1.0502444391966927,9.95134999999982,1,8,15,False,True,0.22295935197741737,2020
-1.0,-1.0857396156464483,5.8316100000001825,-1,11,14,False,True,0.9152685728712999,2020
-1.0,-1.0407049113731959,12.283530000000155,-1,10,14,False,True,0.7434617799216471,2020
-1.0,-1.0652563465059772,7.662090000000262,-1,15,20,False,True,0.7981277366752243,2020
-1.0,-1.0402215725991337,12.431140000000141,-1,17,19,False,True,0.950675907270705,2021
2.448275862068894,2.3744780650807304,6.775270000000091,-1,13,15,True,False,0.944510035419128,2021
2.4482758620688623,2.2985461242456418,3.339350000000195,-1,20,4,True,False,0.9056924384027203,2021
-1.0,-1.1638758607579622,3.051089999999931,-1,7,9,False,True,0.907630029440628,2021
-1.0,-1.1638758607579622,3.051089999999931,-1,7,10,False,True,0.8975915930650967,2021
2.448275862068897,2.3487010465312426,5.021349999999984,-1,13,16,True,False,0.8905906544706784,2021
-1.0,-1.036632344601931,13.649139999999989,1,11,14,False,False,0.2735655994978037,2021
-1.0,-1.155833146333556,3.208560000000034,-1,3,9,False,False,0.9201311866428158,2021
-1.0,-1.1383405224291476,3.614270000000033,-1,4,6,False,False,0.7773249947329318,2021
-1.0,-1.0836229474747519,5.9792200000001685,-1,19,21,False,True,0.9279894931288892,2021
