R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.1023606934936958,15.631000000000395,1,16,4,False,False,0.16618911174784257,2020
-1.0,-1.1088213289804776,14.703000000000355,1,16,5,False,False,0.17263610315184857,2020
-1.0,-1.1549786904300758,10.323999999999334,1,9,15,False,False,0.16658278812279392,2020
-1.0,-1.0954540031022604,16.761999999999055,1,4,9,False,False,0.12239747634068394,2020
-1.0,-1.0646804382099713,24.73699999999912,1,13,16,False,True,0.07724034495687862,2020
-1.0,-1.066794689822161,23.953999999999365,1,13,17,False,False,0.2840605520926025,2020
-1.0,-1.0515630035449552,31.03000000000078,1,2,9,False,False,0.28096557182429405,2020
-1.0,-1.0621310966138526,25.752000000001107,1,22,2,False,False,0.06577119036590907,2020
2.4482758620691616,2.3311369792812493,13.6589999999992,1,9,12,True,False,0.1526946107784458,2020
-1.0,-1.0401545951914883,39.84599999999894,-1,21,2,False,True,0.975823259691537,2020
-1.0,-1.098346548650809,16.268999999999867,1,11,16,False,False,0.3723723723723742,2020
-1.0,-1.1101245784293414,14.529000000000902,1,11,17,False,False,0.30158730158729674,2020
-1.0,-1.074456698776114,21.4890000000012,1,2,9,False,False,0.41520136131593754,2020
2.4482758620688965,2.394865974563473,29.957000000000455,1,2,11,True,True,0.05353046138159535,2020
-1.0,-1.0481434675332495,33.23399999999976,1,3,10,False,False,0.3881167477414911,2020
2.4482758620688654,2.3931585655722594,29.029000000000416,1,8,12,True,False,0.1417437895762288,2020
2.4482758620689173,2.3809102774619557,23.751000000000744,-1,9,17,True,False,0.8586956521739153,2020
2.4482758620690754,2.218390804597821,6.960000000000299,-1,20,23,True,False,0.8932038834951356,2020
-1.0,-1.0813752415827473,19.66200000000029,-1,4,8,False,False,0.6179305912596348,2020
2.4482758620690004,2.3262129996948726,13.107999999999453,-1,9,15,True,True,0.929853181076671,2021
2.448275862069168,2.316284441511492,12.121999999998856,-1,9,16,True,True,0.9434475258292585,2021
-1.0,-1.076734928780396,20.85099999999951,-1,14,2,False,True,0.9878934624697403,2021
-1.0,-1.1411059176294318,11.3389999999991,1,21,2,False,False,0.1445707070707143,2021
-1.0,-1.1603849238171544,9.976000000000429,1,21,3,False,False,0.22601010101010868,2021
-1.0,-1.1348958772447553,11.860999999999677,-1,9,12,False,False,0.7050222504767978,2021
-1.0,-1.1646937725167432,9.71499999999903,1,23,3,False,False,0.062417871222076586,2021
-1.0,-1.1316764052341344,12.151000000000245,1,5,11,False,False,0.34076433121019856,2021
-1.0,-1.0643035125793763,24.881999999999405,1,4,10,False,False,0.4058234758871598,2021
-1.0,-1.1096867073421597,14.58699999999924,-1,3,9,False,False,0.8762177650429831,2021
-1.0,-1.1135234851709943,14.094000000000051,-1,20,9,False,False,0.7326923076923082,2021
2.44827586206887,2.3370411568408436,14.384000000000619,1,13,16,True,True,0.04020100502512843,2021
2.4482758620689653,2.342378714673372,15.108999999999817,1,21,3,True,True,0.21898417985013452,2021
2.448275862069343,2.2874233437220868,9.94699999999904,1,18,2,True,True,0.47558309037901053,2021
2.448275862068951,2.3871768434719365,26.18699999999974,-1,11,16,True,True,0.6708357021034573,2021
-1.0,-1.133266699983342,12.005999999999961,-1,8,14,False,False,0.8502604166666684,2021
-1.0,-1.1301236174365592,12.296000000000529,-1,1,4,False,False,0.6547515257192735,2022
-1.0,-1.1083937402615096,14.760999999998692,1,14,18,False,True,0.352888356779407,2022
2.4482758620690124,2.339023557528212,14.644999999999797,-1,22,8,True,True,0.5498721227621426,2022
-1.0,-1.0476034631519442,33.611000000000054,-1,8,12,False,False,0.5198952879581178,2022
-1.0,-1.08372141698498,19.111000000000544,1,4,9,False,False,0.36370839936609084,2022
2.4482758620689236,2.4169634819366292,51.09800000000053,1,17,20,True,False,0.3440782325244497,2022
2.448275862068985,2.3670204662028507,19.69099999999946,1,21,3,True,False,0.304504504504509,2022
-1.0,-1.1090363908954526,14.674000000001186,1,23,3,False,False,0.13901228116017736,2022
-1.0,-1.0729793833242114,21.923999999999833,1,10,19,False,True,0.11244487996080561,2022
-1.0,-1.101794121389489,15.71800000000012,-1,19,0,False,False,0.8731397901927327,2022
-1.0,-1.0668756530825492,23.925000000000196,1,8,11,False,True,0.3780931586608413,2022
2.4482758620691105,2.3361368096440995,14.267999999999503,1,2,8,True,False,0.04576043068640756,2022
-1.0,-1.066472787702533,24.07000000000048,1,18,11,False,False,0.06744666207845736,2022
2.4482758620691105,2.3361368096440995,14.267999999999503,1,17,0,True,True,0.20954692556633378,2022
-1.0,-1.056413511035894,28.361999999999554,1,10,14,False,False,0.4037216828479029,2022
