R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
2.4482758620689538,2.3774208786017836,21.170000000000073,-1,14,18,True,False,0.9005302771125547,2023
2.4482758620688942,2.3383414562643603,13.644500000000335,-1,12,10,True,False,0.7404715762273878,2023
-1.0,-1.1359372875979912,11.034499999999753,1,19,9,False,True,0.06948853615520345,2023
2.4482758620690324,2.3544877606528294,15.993499999999585,1,19,10,True,True,0.18483018867924364,2023
2.448275862069196,2.2236812553343346,6.6786999999994805,-1,9,14,True,False,0.9326533750192229,2023
-1.0,-1.067569089393909,22.199499999998807,-1,5,9,False,False,0.9994704370010046,2023
-1.0,-1.0514975487166813,29.127599999999802,-1,0,8,False,False,0.6955992424925544,2023
-1.0,-1.0661011347361433,22.69250000000102,-1,16,19,False,True,0.7249941162626529,2024
2.4482758620690923,2.400904663568294,31.664809999998397,-1,1,9,True,True,0.7934010086249135,2024
-1.0,-1.0380475614810531,39.42434000000139,-1,23,8,False,True,0.8575484466318019,2024
2.4482758620688547,2.410351881446493,39.552810000001045,1,10,16,True,True,0.2724035447596972,2024
2.4482758620689795,2.4069001927830485,36.25318999999945,1,10,17,True,True,0.2868709845576812,2024
2.4482758620690546,2.410277494478926,39.47537999999986,1,12,15,True,False,0.3757519534051968,2024
2.448275862068913,2.415229940133956,45.391380000000936,-1,5,10,True,False,0.8272124622367341,2024
-1.0,-1.0600438079622923,24.981759999998758,-1,4,10,False,False,0.829653070179254,2024
2.4482758620691643,2.3857481935758535,23.989379999999073,-1,11,16,True,False,0.8723333502861711,2024
-1.0,-1.042269678860341,35.48643000000084,-1,14,19,False,False,0.9297112927950977,2024
-1.0,-1.0344496869212452,43.54176000000007,-1,8,16,False,False,0.8203663166454741,2024
-1.0,-1.0616174329684491,24.343759999999747,1,9,17,False,False,0.10148713786288323,2024
2.448275862069045,2.4226783434583683,58.59942999999839,-1,11,15,True,True,0.8539545852851139,2024
-1.0,-1.0402243877244837,37.2908099999986,-1,11,16,False,True,0.7868818763049361,2024
2.448275862068895,2.422037668600002,57.16857000000164,1,13,20,True,True,0.4303803566144394,2024
-1.0,-1.0233529150120473,64.23181000000113,-1,4,10,False,False,0.7276029965104488,2024
-1.0,-1.0513931659423648,29.186760000000504,-1,12,0,False,False,0.9552096427510904,2025
2.4482758620688148,2.410712944181354,39.9330000000009,-1,12,17,True,False,0.9077346941395955,2025
2.448275862068841,2.413654618473772,43.32600000000093,-1,1,15,True,False,0.9668161267570904,2025
-1.0,-1.0480310318890818,31.229810000000725,-1,21,2,False,False,0.7353905727543766,2025
2.4482758620690284,2.4231548625881953,59.71099999999933,-1,2,8,True,False,0.5762251671142211,2025
2.4482758620689653,2.4194011500220314,51.94857000000047,1,7,14,True,True,0.46880986774031175,2025
-1.0,-1.0203603068488278,73.67275999999765,1,11,15,False,True,0.3674142404151093,2025
-1.0,-1.0215937419608299,69.4645700000001,1,11,16,False,True,0.49575670221965534,2025
-1.0,-1.0304578546543048,49.24838000000091,-1,17,2,False,True,0.8256814132311763,2025
-1.0,-1.055844332805422,26.86037999999826,-1,16,2,False,False,0.921818397308061,2025
-1.0,-1.021516848911986,69.7128100000009,1,4,9,False,True,0.3258484909054516,2025
-1.0,-1.0313542332290908,47.8404300000002,-1,19,9,False,False,0.5588067265607053,2025
2.4482758620688916,2.4187903141153657,50.8723800000007,-1,5,8,True,False,0.6865077356799856,2025
-1.0,-1.0303406527123933,49.43862000000081,-1,5,9,False,False,0.6718049252087951,2025
