lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
compra,2020-01-02 13:15:00,1.11952,1.11829,1.1219800000000002,12.300000000000644,True,0,-1,-1.11626016260162,2020
venta,2020-01-03 18:45:00,1.11666,1.11798,1.11402,13.199999999999878,False,0,-1,-1.1083333333333343,2020
compra,2020-01-07 18:15:00,1.11489,1.11335,1.1179699999999997,15.399999999998748,True,0,-1,-1.0928571428571503,2020
compra,2020-01-08 06:15:00,1.1153,1.1145,1.1168999999999998,7.999999999999119,True,0,-1,-1.1787500000000197,2020
venta,2020-01-13 06:00:00,1.11258,1.11306,1.1116199999999998,4.8000000000003595,False,0,-1,-1.2979166666666444,2020
compra,2020-01-21 03:00:00,1.10967,1.10887,1.1112699999999998,7.999999999999119,True,0,-1,-1.1787500000000197,2020
venta,2020-01-21 07:45:00,1.10921,1.10993,1.10777,7.200000000000539,False,0,-1,-1.1986111111110962,2020
venta,2020-01-23 00:45:00,1.10872,1.10967,1.10682,9.500000000000064,False,0,-1,-1.1505263157894727,2020
compra,2020-01-24 07:45:00,1.10511,1.10447,1.10639,6.399999999999739,True,0,-1,-1.223437500000009,2020
compra,2020-01-24 19:15:00,1.10304,1.1022,1.10472,8.399999999999519,True,0,-1,-1.170238095238105,2020
compra,2020-01-27 19:00:00,1.10159,1.10107,1.1026300000000002,5.20000000000076,True,0,-1,-1.27499999999996,2020
venta,2020-01-29 03:15:00,1.10141,1.10276,1.09871,13.499999999999623,False,0,-1,-1.1059259259259289,2020
venta,2020-01-30 19:45:00,1.10301,1.10385,1.1013300000000001,8.399999999999519,False,0,-1,-1.170238095238105,2020
compra,2020-02-06 06:45:00,1.10001,1.0994,1.10123,6.099999999999994,True,1,2,1.765573770491803,2020
venta,2020-02-10 07:45:00,1.09466,1.09573,1.0925199999999997,10.700000000001264,False,1,2,1.8663551401869316,2020
venta,2020-02-13 03:00:00,1.08688,1.08748,1.0856800000000002,5.999999999999339,False,0,-1,-1.2383333333333595,2020
venta,2020-02-13 10:45:00,1.08739,1.08887,1.0844300000000002,14.799999999999258,False,1,2,1.9033783783783735,2020
venta,2020-02-17 11:15:00,1.08415,1.08509,1.0822699999999996,9.40000000000163,False,1,2,1.8478723404255584,2020
venta,2020-02-19 11:00:00,1.07949,1.08059,1.0772900000000003,10.999999999998789,False,0,-1,-1.1300000000000143,2020
venta,2020-02-20 02:30:00,1.0797,1.08132,1.0764600000000002,16.199999999999548,False,0,-1,-1.0882716049382741,2020
venta,2020-02-21 06:15:00,1.07914,1.07948,1.07846,3.4000000000000696,False,0,-1,-1.420588235294109,2020
venta,2020-02-26 13:45:00,1.08654,1.09086,1.0779000000000003,43.199999999998795,False,0,-1,-1.0331018518518529,2020
compra,2020-03-03 02:15:00,1.11425,1.11202,1.1187099999999999,22.299999999999542,True,0,-1,-1.064125560538118,2020
venta,2020-03-04 10:30:00,1.11503,1.11875,1.10759,37.199999999999456,False,0,-1,-1.0384408602150543,2020
compra,2020-03-09 11:00:00,1.14298,1.13653,1.1558800000000002,64.50000000000067,True,0,-1,-1.0221705426356587,2020
venta,2020-03-09 12:45:00,1.14014,1.14385,1.1327199999999997,37.10000000000102,False,0,-1,-1.03854447439353,2020
venta,2020-03-11 13:00:00,1.13202,1.13513,1.1258000000000001,31.09999999999946,False,1,2,1.9540192926045008,2020
compra,2020-03-18 01:30:00,1.10159,1.09847,1.10783,31.200000000000117,True,0,-1,-1.0458333333333332,2020
compra,2020-03-19 19:00:00,1.06946,1.06575,1.0768800000000003,37.10000000000102,True,0,-1,-1.03854447439353,2020
venta,2020-03-23 06:30:00,1.07085,1.07684,1.0588700000000002,59.899999999999395,False,0,-1,-1.0238731218697832,2020
compra,2020-03-23 11:00:00,1.07499,1.06671,1.0915499999999996,82.79999999999842,True,1,2,1.9827294685990335,2020
venta,2020-03-24 23:00:00,1.07927,1.0815,1.07481,22.299999999999542,False,0,-1,-1.064125560538118,2020
venta,2020-03-25 03:30:00,1.08046,1.08237,1.0766399999999998,19.100000000000783,False,0,-1,-1.0748691099476408,2020
compra,2020-03-25 15:45:00,1.085,1.07848,1.0980399999999997,65.1999999999986,True,1,2,1.9780674846625763,2020
compra,2020-03-27 14:00:00,1.10231,1.09533,1.1162699999999999,69.79999999999986,True,0,-1,-1.020487106017192,2020
compra,2020-04-01 19:15:00,1.09451,1.09026,1.1030100000000003,42.50000000000087,True,0,-1,-1.0336470588235287,2020
compra,2020-04-02 01:00:00,1.0959,1.09457,1.0985600000000002,13.300000000000534,True,0,-1,-1.107518796992477,2020
compra,2020-04-06 13:45:00,1.08023,1.07831,1.0840699999999999,19.199999999999218,True,0,-1,-1.0744791666666698,2020
compra,2020-04-08 18:15:00,1.08689,1.08508,1.0905099999999996,18.099999999998673,True,0,-1,-1.0790055248618842,2020
compra,2020-04-08 22:15:00,1.08605,1.08501,1.0881299999999998,10.399999999999299,True,0,-1,-1.1375000000000093,2020
venta,2020-04-09 10:30:00,1.08659,1.08821,1.08335,16.199999999999548,False,0,-1,-1.0882716049382741,2020
venta,2020-04-09 18:45:00,1.09222,1.09516,1.08634,29.399999999999427,False,0,-1,-1.0486394557823138,2020
compra,2020-04-10 01:45:00,1.09283,1.09192,1.09465,9.099999999999664,True,1,2,1.842857142857137,2020
compra,2020-04-20 13:30:00,1.0868,1.08497,1.09046,18.299999999999983,True,0,-1,-1.0781420765027323,2020
compra,2020-04-27 18:30:00,1.08326,1.08165,1.0864799999999997,16.099999999998893,True,0,-1,-1.0888198757764036,2020
compra,2020-04-28 23:15:00,1.083,1.08183,1.0853399999999997,11.699999999998933,True,1,2,1.8777777777777667,2020
venta,2020-04-29 09:30:00,1.08602,1.08741,1.08324,13.900000000000023,False,0,-1,-1.1028776978417265,2020
compra,2020-05-01 02:45:00,1.09446,1.09366,1.0960599999999998,7.999999999999119,True,1,2,1.8212499999999803,2020
compra,2020-05-04 18:45:00,1.09069,1.08957,1.09293,11.200000000000099,True,0,-1,-1.1276785714285702,2020
compra,2020-05-05 06:15:00,1.09111,1.08994,1.0934500000000003,11.700000000001154,True,0,-1,-1.1222222222222102,2020
compra,2020-05-06 22:30:00,1.0798,1.07906,1.0812800000000005,7.4000000000018495,True,0,-1,-1.193243243243195,2020
compra,2020-05-07 12:30:00,1.07975,1.07797,1.0833099999999998,17.799999999998928,True,0,-1,-1.0803370786516902,2020
venta,2020-05-07 23:30:00,1.08335,1.08408,1.0818900000000002,7.299999999998974,False,0,-1,-1.1958904109589317,2020
venta,2020-05-08 12:30:00,1.08336,1.08468,1.0807200000000001,13.199999999999878,False,0,-1,-1.1083333333333343,2020
compra,2020-05-13 00:15:00,1.08527,1.08463,1.08655,6.399999999999739,True,0,-1,-1.223437500000009,2020
venta,2020-05-14 11:00:00,1.07873,1.08129,1.0736099999999997,25.600000000001177,False,0,-1,-1.0558593749999974,2020
compra,2020-05-14 14:00:00,1.08116,1.07748,1.0885199999999997,36.79999999999905,True,1,2,1.9611413043478252,2020
compra,2020-05-15 07:15:00,1.08101,1.08031,1.0824099999999999,6.999999999999229,True,0,-1,-1.2042857142857368,2020
venta,2020-05-15 11:15:00,1.08034,1.08188,1.0772600000000003,15.399999999998748,False,0,-1,-1.0928571428571503,2020
venta,2020-05-15 14:45:00,1.08191,1.08509,1.0755499999999996,31.800000000001827,False,0,-1,-1.0449685534591169,2020
compra,2020-05-19 23:15:00,1.09258,1.09186,1.0940200000000002,7.200000000000539,True,1,2,1.8013888888889038,2020
compra,2020-05-21 22:30:00,1.09519,1.09417,1.0972300000000001,10.200000000000209,True,0,-1,-1.1401960784313696,2020
venta,2020-05-22 02:00:00,1.09397,1.09535,1.0912100000000002,13.799999999999368,False,1,2,1.8963768115941981,2020
venta,2020-05-28 03:30:00,1.10127,1.10351,1.09679,22.400000000000198,False,0,-1,-1.063839285714285,2020
compra,2020-05-29 18:45:00,1.10993,1.10809,1.1136100000000002,18.400000000000638,True,1,2,1.9222826086956548,2020
venta,2020-06-02 01:45:00,1.11257,1.11384,1.1100300000000003,12.699999999998823,False,0,-1,-1.1125984251968608,2020
venta,2020-06-02 15:30:00,1.11751,1.11959,1.1133499999999998,20.800000000000818,False,0,-1,-1.0687499999999972,2020
compra,2020-06-05 03:45:00,1.1339,1.13258,1.1365399999999999,13.199999999999878,True,1,2,1.8916666666666657,2020
venta,2020-06-08 09:30:00,1.12935,1.13157,1.1249100000000003,22.199999999998887,False,0,-1,-1.0644144144144176,2020
venta,2020-06-09 02:15:00,1.12844,1.1315,1.1223200000000004,30.599999999998406,False,0,-1,-1.0467320261437933,2020
venta,2020-06-10 10:00:00,1.13508,1.13756,1.1301200000000005,24.799999999998157,False,0,-1,-1.0576612903225848,2020
compra,2020-06-12 19:45:00,1.12527,1.12125,1.1333099999999998,40.19999999999912,True,1,2,1.9644278606965166,2020
venta,2020-06-19 14:30:00,1.11947,1.12542,1.1075699999999997,59.500000000001215,False,0,-1,-1.0240336134453776,2020
venta,2020-06-22 11:00:00,1.1208,1.12265,1.1171000000000002,18.499999999999073,False,0,-1,-1.0772972972973012,2020
