instr,F,obj,n,ac,R,neta,z
GBPUSD,0.5,1:2,16211,30.196225471816025,-0.08830894336051702,-0.30313639396621583,-28.077308074878363
GBPUSD,0.5,extremo,15729,42.860795091397165,-0.09321076810573851,-0.31096614468550365,-33.49480614821374
GBPUSD,0.618,1:2,15250,31.754212091179383,-0.044474108670317244,-0.31499186725921785,-27.814766854368795
GBPUSD,0.618,extremo,15118,37.15538430877566,-0.045331791412577815,-0.3172001628598325,-28.16370926970139
GBPUSD,0.705,1:2,14446,32.524339360222534,-0.02226615764806665,-0.35521654377253914,-30.21549866004288
GBPUSD,0.705,extremo,14410,31.344947735191635,-0.019714084191800846,-0.3531710678279475,-26.24982296814439
GBPUSD,0.79,1:2,13652,33.06670580465253,-0.007830272523563926,-0.4361838452092588,-35.743570414628174
GBPUSD,0.79,extremo,13645,25.19488160023533,0.010288078789443012,-0.4182017452323468,-25.378802837900288
USDJPY,0.5,1:2,15453,30.469675042757533,-0.07926415651305922,-0.29053448158831774,-26.210349366524216
USDJPY,0.5,extremo,14915,42.04131227217497,-0.10204741299382543,-0.3171786186879063,-33.10296511871026
USDJPY,0.618,1:2,14440,31.567529741077678,-0.04837927687580963,-0.31486582498560123,-27.065306872747986
USDJPY,0.618,extremo,14268,35.89417989417989,-0.06458481357083615,-0.3329265693638514,-28.60552135618046
USDJPY,0.705,1:2,13629,31.95685897909433,-0.03839447003117569,-0.3667284916733954,-30.365560122374273
USDJPY,0.705,extremo,13561,30.590592075975664,-0.03300015103970307,-0.3624852931094487,-26.10010088099336
USDJPY,0.79,1:2,12754,31.924771797293044,-0.04049107437568658,-0.46532122050114355,-37.03163215412676
USDJPY,0.79,extremo,12733,24.235963041933193,-0.026385066309007145,-0.45180202163196326,-26.905967471731387
XAUUSD,0.5,1:2,7785,28.957629321549263,-0.12410615808083543,-0.19320744024999836,-12.560045542172185
XAUUSD,0.5,extremo,7555,41.30463664142421,-0.12776493464627003,-0.1979284458196757,-14.894507183836343
XAUUSD,0.618,1:2,7302,30.168136714443218,-0.09153233558740832,-0.1787657434301531,-11.107626071966298
XAUUSD,0.618,extremo,7229,35.28186614829214,-0.09192218899349183,-0.17968880713774213,-11.170493735549192
XAUUSD,0.705,1:2,6871,30.953423857497448,-0.06962635964333665,-0.17734179279350798,-10.602106699065502
XAUUSD,0.705,extremo,6851,29.485864948000582,-0.0790055283324421,-0.18692074009899165,-9.786374450035382
XAUUSD,0.79,1:2,6476,30.870304529293552,-0.07328411956954861,-0.21231852028124665,-12.323009544496697
XAUUSD,0.79,extremo,6470,23.461001705690805,-0.05680695854808332,-0.19590872773330226,-8.386027062159458
NSXUSD,0.5,1:2,14008,29.41473623439417,-0.11300881055224421,-0.19363670482017803,-16.810976512255582
NSXUSD,0.5,extremo,13488,42.023375269857816,-0.1263967629112003,-0.2085004933627001,-21.266817864920903
NSXUSD,0.618,1:2,13184,30.61426936283861,-0.07948394978243435,-0.1811506578684543,-15.056719444527213
NSXUSD,0.618,extremo,13022,36.03207649009176,-0.09413915073206688,-0.19651640771036671,-16.72171174419838
NSXUSD,0.705,1:2,12476,30.818116000321776,-0.07416408889832764,-0.19977927943442678,-16.099915198686723
NSXUSD,0.705,extremo,12438,30.29055690072639,-0.07494947309432995,-0.20083955264489436,-14.392435544080008
NSXUSD,0.79,1:2,11772,30.206027583858337,-0.09288109773839694,-0.25439148917971977,-19.985203903756
NSXUSD,0.79,extremo,11767,23.773778043163013,-0.0745680784209816,-0.2361296758138968,-14.011998303214181
SPXUSD,0.5,1:2,14276,29.906146355232515,-0.09885452351690227,-0.21872007568416,-19.041746186872224
SPXUSD,0.5,extremo,13805,42.51596980255517,-0.11775486571879736,-0.23964500453900137,-24.733450433720083
SPXUSD,0.618,1:2,13388,30.860956952152392,-0.07222439010483307,-0.2233681233251163,-18.630946407948578
SPXUSD,0.618,extremo,13232,35.95880036352621,-0.08789543540784875,-0.2401040574643704,-20.485531250106327
SPXUSD,0.705,1:2,12671,31.164004428277714,-0.06480093189898013,-0.25066886629025814,-20.23474054256148
SPXUSD,0.705,extremo,12617,30.397140587768067,-0.071455002788875,-0.2578777122425423,-18.665054513446655
SPXUSD,0.79,1:2,11911,30.96638655462185,-0.07093922963187688,-0.31074096055841727,-24.27339107764519
SPXUSD,0.79,extremo,11898,23.960262670483246,-0.07553192130651143,-0.315533088565826,-19.01768255438159
GRXEUR,0.5,1:2,6530,27.884166277440446,-0.15388567707398887,-0.24331044941525531,-14.641871727769491
GRXEUR,0.5,extremo,6271,40.58785737230967,-0.1487313618833276,-0.23975669653654746,-16.647984060247786
GRXEUR,0.618,1:2,6090,29.004975124378106,-0.12450847602021708,-0.23750335881383913,-13.592296526722853
GRXEUR,0.618,extremo,6003,35.44813695871098,-0.09997681783865775,-0.21362784458229153,-12.283556874821596
GRXEUR,0.705,1:2,5773,30.355276907001045,-0.08692938500644334,-0.22628744628397635,-12.40600586083274
GRXEUR,0.705,extremo,5744,30.20851585771859,-0.07029808551579135,-0.20997935513870813,-10.196640062270893
GRXEUR,0.79,1:2,5408,30.782060785767236,-0.07623700635702957,-0.256122201624677,-13.48599368668768
GRXEUR,0.79,extremo,5404,24.00967082015994,-0.06868506295627333,-0.24867317665552272,-10.043068979629034
