dia,largo,riesgo_u,motivo,dias,bruto,R,instr
2020-03-19 21:00:00,False,309.5899999999996,SL,5,-1.0,-1.0038760941890887,EURUSD
2020-06-03 21:00:00,True,154.22000000000045,SL,78,3.2732460121903584,3.2654649202437884,EURUSD
2020-11-29 22:00:00,True,151.44999999999962,SL,35,0.6424562561901643,0.6345328491251264,EURUSD
2021-03-07 22:00:00,False,139.21999999999989,SL,30,-0.5186036489010206,-0.5272231001292925,EURUSD
2021-05-18 21:00:00,True,135.80999999999844,SL,21,-1.0,-1.0088358736470069,EURUSD
2021-07-07 21:00:00,False,130.33000000000072,SL,42,-0.9092304151001189,-0.9184378117087278,EURUSD
2021-09-29 21:00:00,False,98.33999999999898,SL,67,2.1751067724222333,2.1629042098841005,EURUSD
2022-01-27 22:00:00,False,140.93000000000131,SL,4,-1.0,-1.0085148655360816,EURUSD
2022-03-06 22:00:00,False,188.36999999999992,SL,4,-1.0,-1.0063704411530499,EURUSD
2022-04-25 21:00:00,False,173.6699999999991,tiempo,120,5.811020901710164,5.8041112454655615,EURUSD
2022-11-10 22:00:00,True,257.3599999999998,SL,70,1.7562946844886602,1.7516319552378055,EURUSD
2023-04-13 21:00:00,True,163.78000000000003,SL,21,-1.0,-1.0073269019416289,EURUSD
2023-07-12 21:00:00,True,142.3799999999997,SL,11,-1.0,-1.0084281500210703,EURUSD
2023-09-05 21:00:00,False,145.34000000000046,SL,43,0.18714737856061972,0.17889087656529845,EURUSD
2023-11-19 22:00:00,True,156.10000000000122,SL,15,-1.0,-1.0076873798846893,EURUSD
2023-12-26 22:00:00,True,143.5199999999992,SL,5,-1.0,-1.0083612040133778,EURUSD
2024-02-13 22:00:00,False,126.69999999999959,SL,5,-1.0,-1.009471191791634,EURUSD
2024-04-14 21:00:00,False,119.6599999999992,SL,15,-1.0,-1.0100284138392113,EURUSD
2024-07-17 21:00:00,True,95.36999999999907,SL,5,-1.0,-1.0125825731362066,EURUSD
2024-08-05 21:00:00,True,103.53000000000056,SL,44,0.5013039698638075,0.48971312662996236,EURUSD
2024-10-22 21:00:00,False,116.19999999999963,SL,9,-1.0,-1.0103270223752152,EURUSD
2024-11-06 22:00:00,False,127.72999999999922,SL,57,1.611211148516415,1.6018163313238993,EURUSD
2025-03-04 22:00:00,True,157.7600000000001,SL,106,5.2478448275861975,5.240238336713987,EURUSD
2025-09-16 21:00:00,True,154.37000000000145,SL,7,-1.0,-1.0077735311265141,EURUSD
2025-11-02 22:00:00,False,125.53000000000036,SL,9,-1.0,-1.0095594678562894,EURUSD
2026-01-25 22:00:00,True,115.47999999999891,SL,19,-1.0,-1.0103914097679254,EURUSD
2026-03-15 21:00:00,False,158.14999999999912,SL,4,-1.0,-1.007587733164717,EURUSD
2026-06-18 21:00:00,False,118.38999999999932,SL,30,-0.21201114959033926,-0.2221471408058136,EURUSD
2020-03-18 21:00:00,False,372.99999999999886,SL,5,-1.0,-1.0040214477211797,GBPUSD
2020-06-07 21:06:00,True,231.09999999999962,SL,9,-1.0,-1.006490696668109,GBPUSD
2020-07-27 21:00:00,True,201.7599999999997,SL,31,0.5020816812053919,0.49464710547184704,GBPUSD
2020-11-23 22:00:00,True,230.5400000000013,SL,85,1.9558428038518183,1.9493363407651523,GBPUSD
2021-05-18 21:00:00,True,178.59999999999985,SL,21,-1.0,-1.0083986562150056,GBPUSD
2021-07-19 21:00:00,False,180.82999999999848,SL,6,-1.0,-1.0082950837803462,GBPUSD
2021-09-28 21:00:00,False,171.4100000000007,SL,12,-1.0,-1.0087509480193688,GBPUSD
2021-11-10 22:00:00,False,189.31999999999948,SL,35,-0.3211493767166638,-0.3290724698922396,GBPUSD
2022-03-07 22:00:00,False,206.0799999999996,tiempo,120,6.497961956521751,6.490683229813676,GBPUSD
2022-08-29 21:00:00,False,240.56999999999994,SL,41,0.8737581577087767,0.8675229662884002,GBPUSD
2022-11-15 22:00:00,True,401.80000000000103,SL,35,0.0960676953708359,0.0923344947735238,GBPUSD
2023-03-07 22:04:00,False,238.96000000000137,SL,3,-1.0,-1.0062772012052226,GBPUSD
2023-04-04 23:00:00,True,212.82000000000022,SL,37,-0.671929329950191,-0.6789775397049133,GBPUSD
2023-06-15 21:00:00,True,187.0499999999997,SL,42,-0.8596631916599903,-0.8676824378508483,GBPUSD
2023-09-06 21:00:00,False,192.2899999999994,SL,42,0.876800665661237,0.8689999479952117,GBPUSD
2023-11-26 22:00:00,True,189.109999999999,SL,50,-0.003172756596687076,-0.011104648088411512,GBPUSD
2024-03-10 21:00:00,True,135.25999999999925,SL,6,-1.0,-1.011089753068165,GBPUSD
2024-04-14 21:02:00,False,155.40000000000109,SL,15,-1.0,-1.0096525096525095,GBPUSD
2024-06-03 21:00:00,True,128.98999999999992,SL,9,-1.0,-1.0116288084347624,GBPUSD
2024-07-11 21:00:00,True,126.60000000000115,SL,15,-1.0,-1.0118483412322274,GBPUSD
2024-08-21 21:00:00,True,159.32999999999973,SL,40,-0.5297181949413178,-0.5391326178371942,GBPUSD
2024-11-12 22:00:00,False,191.33999999999983,SL,67,0.9302811748719584,0.9224417267691049,GBPUSD
2025-03-04 22:00:00,True,184.71000000000126,SL,96,3.1265226571381937,3.1184018190677047,GBPUSD
2025-07-30 21:00:00,False,174.5200000000002,SL,6,-1.0,-1.0085950034380013,GBPUSD
2025-10-29 21:00:00,False,167.06000000000108,SL,26,-1.0,-1.00897881000838,GBPUSD
2025-12-23 22:00:00,True,154.90000000000003,SL,18,-1.0,-1.0096836668818592,GBPUSD
2026-01-25 22:00:00,True,155.28999999999903,SL,10,-1.0,-1.009659347028141,GBPUSD
2026-03-15 21:00:00,False,200.3100000000013,SL,4,-1.0,-1.007488392990864,GBPUSD
2026-03-30 21:00:00,False,235.49999999999957,SL,7,-1.0,-1.0063694267515924,GBPUSD
2020-07-27 21:00:00,False,112.91000000000082,SL,11,-1.0,-1.0106279337525461,USDJPY
2020-11-05 22:00:00,False,109.26000000000045,SL,2,-1.0,-1.0109829763866007,USDJPY
2020-12-17 22:00:00,False,100.18000000000029,SL,15,-1.0,-1.0119784388101418,USDJPY
2021-02-04 22:00:00,True,88.04999999999978,SL,3,-1.0,-1.0136286201022147,USDJPY
2021-02-16 22:00:00,True,93.82999999999981,SL,4,-1.0,-1.012789086646062,USDJPY
2021-02-28 22:00:00,True,108.29999999999984,SL,36,1.7303785780240186,1.7192982456140464,USDJPY
2021-06-23 21:00:00,True,110.03000000000043,SL,11,-1.0,-1.0109061165136781,USDJPY
2021-09-27 21:00:00,True,102.50000000000057,SL,47,1.6975609756097416,1.685853658536571,USDJPY
2022-01-04 22:00:00,True,99.41000000000031,SL,4,-1.0,-1.012071220199175,USDJPY
2022-03-13 21:00:00,True,133.29999999999984,SL,99,12.698424606151558,12.689422355588917,USDJPY
2022-09-01 21:00:00,True,286.869999999999,SL,50,1.1580158259838902,1.1538327465402398,USDJPY
2022-12-01 22:00:00,False,432.89000000000044,SL,54,0.4488438171359953,0.4460717503291853,USDJPY
2023-03-08 23:00:00,True,252.71000000000186,SL,2,-1.0,-1.0047485259783941,USDJPY
2023-05-18 22:00:00,True,247.42999999999995,SL,39,0.06547306308855279,0.060623206563474995,USDJPY
2023-08-14 21:00:00,True,284.18000000000063,SL,70,1.1225279752269655,1.1183052994580867,USDJPY
2023-12-07 22:00:00,False,287.6900000000006,SL,27,-1.0,-1.0041711564531266,USDJPY
2024-02-13 22:00:00,True,228.35000000000036,SL,17,-1.0,-1.0052550908692797,USDJPY
2024-03-20 21:00:00,True,196.16000000000042,SL,86,2.3022022838499234,2.2960848287112614,USDJPY
2024-07-31 21:00:00,False,360.77999999999975,SL,46,0.7578025389434034,0.7544764122179752,USDJPY
2024-10-21 21:00:00,True,326.5699999999981,SL,28,-0.10258137612150837,-0.10625593287809963,USDJPY
2024-12-19 22:00:00,True,315.25000000000034,SL,26,-1.0,-1.003806502775575,USDJPY
2025-02-23 22:00:00,False,312.59000000000015,SL,86,0.7760964842125516,0.7722575898141384,USDJPY
2025-07-15 21:00:00,True,252.97999999999945,SL,5,-1.0,-1.004743457980868,USDJPY
2025-07-30 21:00:00,True,259.89000000000146,SL,3,-1.0,-1.0046173381045826,USDJPY
2025-10-07 21:00:00,True,237.5,SL,8,-1.0,-1.0050526315789474,USDJPY
2025-10-30 21:00:00,True,265.25000000000034,SL,61,0.17530631479736203,0.17078228086710756,USDJPY
2026-01-27 22:01:00,False,234.53999999999837,SL,3,-1.0,-1.0051163980557687,USDJPY
2026-03-15 21:00:00,True,221.56999999999982,SL,34,-0.905357223450829,-0.9107731191045727,USDJPY
2026-06-18 21:00:00,True,112.69000000000062,SL,30,-0.7631555594994947,-0.7738042417250691,USDJPY
2020-05-20 22:00:00,True,471.16699999999946,SL,87,2.94326640023601,2.9400828156471066,NAS100
2020-12-01 23:00:00,True,484.6342999999997,SL,61,0.5740617203528502,0.570966603065444,NAS100
2021-04-13 22:00:00,True,477.22359999999935,SL,15,-1.0,-1.003143180680922,NAS100
2021-06-14 22:00:00,True,354.45340000000033,SL,76,1.9717457922536479,1.9675139242563315,NAS100
2021-10-28 22:00:00,True,465.34139999999934,SL,37,-0.3336904904657116,-0.3369139302886029,NAS100
2022-01-19 23:00:00,False,609.4159999999993,SL,46,0.5906507213463378,0.5881893484910139,NAS100
2022-04-26 22:00:00,False,778.967200000001,SL,61,0.7594183683215406,0.7574927416712786,NAS100
2022-07-31 22:00:00,True,646.784599999999,SL,22,-1.0,-1.0023191646801732,NAS100
2022-09-25 22:00:00,False,635.0770000000011,SL,35,-0.6011082120750701,-0.6034701303936363,NAS100
2023-02-01 23:00:00,True,539.6427000000003,SL,17,-1.0,-1.0027796169576648,NAS100
2023-03-30 23:00:00,True,518.0636000000013,SL,98,3.8131843271752635,3.8102889297761795,NAS100
2023-10-25 22:00:00,False,568.4319999999989,SL,6,-1.0,-1.0026388380668225,NAS100
2023-11-14 23:00:00,True,522.4776000000002,SL,106,3.699435152818036,3.6965642163415247,NAS100
2024-04-21 22:08:00,False,567.9321999999993,SL,3,-1.0,-1.002641160335688,NAS100
2024-05-15 22:07:00,True,549.7514999999985,SL,50,1.5594136623547243,1.5566851568390505,NAS100
2024-08-05 22:00:00,False,966.3411000000015,SL,7,-1.0,-1.00155224692399,NAS100
2024-10-14 22:03:00,True,591.5466000000015,SL,62,0.4654426210885121,0.4629068952471329,NAS100
2025-02-16 23:00:00,True,768.3659999999982,SL,6,-1.0,-1.0019521946572336,NAS100
2025-03-10 21:05:00,False,898.9357000000018,SL,12,-1.0035567616237693,-1.0052254015498507,NAS100
2025-04-03 22:06:00,False,1026.5132999999987,SL,17,-1.0,-1.0014612572482013,NAS100
2025-06-10 22:04:00,True,670.4529000000002,SL,117,3.458457708214849,3.4562204145884063,NAS100
2026-01-27 23:00:00,True,703.9080999999969,SL,4,-1.0,-1.002130959993215,NAS100
2026-03-22 21:00:00,False,1018.2321000000011,SL,12,-1.0,-1.001473141536198,NAS100
2026-04-16 22:00:00,True,1071.2229000000007,SL,66,1.8015186195141988,1.8001183507186007,NAS100
2026-07-26 22:00:00,False,1251.4012000000002,tiempo,5,0.13053927069911708,0.12934061434494384,NAS100
2020-03-23 21:00:00,False,391.32069999999976,SL,3,-1.0,-1.0015332692597148,SP500
2020-05-26 22:00:00,True,135.05830000000014,SL,83,2.2183012817427703,2.213858755811376,SP500
2020-12-06 23:00:00,True,102.4344000000001,SL,112,3.5612938622181574,3.5554364549409145,SP500
2021-06-14 22:00:00,True,73.80500000000029,SL,4,-1.0,-1.0081295305196123,SP500
2021-06-24 22:00:00,True,70.60419999999976,SL,62,1.128743049280364,1.1202449712623426,SP500
2021-10-25 22:00:00,True,120.24130000000059,SL,27,-0.3543873860312544,-0.35937735204126925,SP500
2021-12-27 23:00:00,True,166.10040000000026,SL,10,-1.0,-1.003612273058945,SP500
2022-01-20 23:00:00,False,125.41409999999996,SL,9,-1.0,-1.004784151064354,SP500
2022-05-09 22:00:00,False,216.97660000000042,SL,52,0.24121956008159331,0.23845428493210716,SP500
2022-08-10 22:00:00,True,143.62350000000015,SL,12,-1.0,-1.0041775893220817,SP500
2022-09-25 22:00:00,False,173.1498999999999,SL,23,-1.0,-1.0034652055819842,SP500
2022-11-30 23:00:00,True,145.79480000000012,SL,4,-1.0,-1.0041153731134442,SP500
2023-02-02 23:00:00,True,130.57420000000002,SL,13,-1.0,-1.0045950884631114,SP500
2023-05-21 22:00:00,True,95.92479999999978,SL,63,2.3438985538671986,2.3376436541957895,SP500
2023-09-21 22:00:00,False,86.27580000000034,SL,36,-0.8144694108892638,-0.8214238523432984,SP500
2023-11-20 23:00:00,True,106.02250000000004,SL,102,4.981395458511158,4.975736282392881,SP500
2024-05-15 22:00:00,True,118.20049999999992,SL,50,0.9559265823748636,0.9508504617154755,SP500
2024-09-19 22:00:00,True,151.10940000000028,SL,66,0.7831081322538493,0.7791374990569735,SP500
2025-01-23 23:00:00,True,159.14379999999983,SL,2,-1.0,-1.00377017514977,SP500
2025-02-18 23:00:00,True,138.02859999999964,SL,4,-1.0,-1.004346925202458,SP500
2025-03-10 21:00:00,False,188.89769999999953,SL,42,-0.5404406723851057,-0.5436169948072421,SP500
2025-06-08 22:00:00,True,169.15030000000024,SL,119,3.118622905191417,3.115075763980317,SP500
2025-12-25 23:00:00,True,122.83250000000044,SL,17,-1.0,-1.0048847007103168,SP500
2026-03-22 21:00:00,False,233.1823000000004,SL,12,-1.0,-1.00257309409848,SP500
2026-04-15 22:00:00,True,250.5003000000006,tiempo,77,1.895646432359556,1.8932512256472287,SP500
