etiqueta,n,wr,bruto,z,p,Rneto,pf,dd,eq,h1,h2,riesgo
A · ruptura Asia rr1.0 slmid,949,50.26343519494204,0.005268703898840885,0.16222358268523918,0.8711297894709076,-74.68478767958186,0.8542841356488204,60.94316009200931,4516.101627179402,-0.016877637130801686,0.02736842105263158,18.154847207587007
A · ruptura Asia rr1.0 slopuesto,853,51.81711606096131,0.03561641608522858,1.0423296854512667,0.2972588538840877,-10.600989376934146,0.9753527979097287,28.215128504584158,8619.536736350114,0.014243546734562757,0.05693923187769612,30.492731535756217
B · fade Asia rr1.0 sl0.25,961,50.052029136316335,0.001040582726326743,0.03224129401095805,0.9742796254248822,-158.7042138105292,0.7168317037359735,80.76570084506713,1945.607834025902,0.041666666666666664,-0.0395010395010395,8.974583766909454
B · fade Asia rr1.0 sl0.5,958,50.20876826722338,0.0041753653444674445,0.12916779231336836,0.8972248806881955,-88.03156167279369,0.8313561854023878,63.432551486692645,3950.931088912707,-0.006263048016701462,0.01461377870563635,15.084655532359111
C · barrido PDH/PDL rr1.0 buf1.0,618,50.0,0.0007835655749778317,0.019486674064351516,0.9844528675821895,-62.489797666702586,0.8166391229585823,48.13552884708226,5186.447115291774,-0.027559082442277037,0.0291262135922327,18.029126213592093
C · barrido PDH/PDL rr1.0 buf3.0,616,49.83766233766234,-0.0024934653779202067,-0.061912079716866596,0.9506328477309429,-51.87275795981803,0.8446900091436348,42.29951723532507,5770.048276467493,-0.011480437249346618,0.006493506493506205,20.05146103896068
D · ORB Londres rr1.0 30min,992,49.899193548387096,-0.0020161290322580645,-0.06346817834168933,0.949393698143165,-79.93351332807498,0.8508077354072742,62.968150922497955,4276.856161382617,0.016129032258064516,-0.020161290322580645,19.49495967741939
G · ORB compresion rr1.0 30min,977,49.53940634595701,-0.009211873080859774,-0.2878003264033831,0.7734995874996433,-85.2573266393223,0.8395008203843044,64.40870332011359,4057.998269609936,0.004098360655737705,-0.022494887525562373,19.389662231320404
D · ORB Londres rr1.0 60min,908,50.0,-0.000787818538588436,-0.023738313236319013,0.9810613450650056,-54.76583351495442,0.886275265969408,49.15703342786007,5524.590625335735,-0.013215859030837005,0.011640221953660131,24.95308370044053
G · ORB compresion rr1.0 60min,883,49.49037372593432,-0.010192525481313648,-0.30271828792358574,0.7621045595908837,-61.81866356986686,0.8693888085389253,50.69506582346526,5154.244683300318,-0.02947845804988662,0.00904977375565622,24.19524348810873
F · fade extension rr1.0 k0.8,415,51.80722891566265,0.03614457831325301,0.7359142391894998,0.46178289110042714,-0.6768258740500768,0.9967420679879074,13.916592066574921,9728.324156859477,0.024154589371980676,0.04807692307692308,34.14123063683304
F · fade extension rr1.0 k1.2,153,49.01960784313725,-0.0196078431372549,-0.2417882099307955,0.8089442750145279,-8.966153490409763,0.8894338678638495,18.602585557446627,9072.353240702496,-0.07894736842105263,0.03896103896103896,33.36132119514468
A · ruptura Asia rr2.0 slmid,892,33.6322869955157,0.007197817820256674,0.15187734731987637,0.8792836752279318,-68.94928191744272,0.892634141295262,58.45580997395864,4589.056511362903,0.005427025775042703,0.008968609865470645,18.097421524663744
A · ruptura Asia rr2.0 slopuesto,670,36.268656716417915,0.05750589618248935,1.057481553489117,0.29029186898766146,6.214573548051767,1.0140247363423571,28.63966783202296,9962.029104073408,0.06929098758354138,0.04572080478143731,30.463731343283637
B · fade Asia rr2.0 sl0.25,959,33.68091762252346,0.010427528675703799,0.2276311439011716,0.8199330061532335,-149.30032580820802,0.7984518856868694,81.27718351749294,2038.6710999098868,0.05845511482254697,-0.03750000000000012,8.979692387904056
B · fade Asia rr2.0 sl0.5,931,32.975295381310424,-0.012281343007317579,-0.2660916430768504,0.7901686309232083,-101.07873786971419,0.8519583207409696,69.08531189489253,3318.4961844517316,0.017101894521249338,-0.04160152637809787,15.075295381310443
C · barrido PDH/PDL rr2.0 buf1.0,578,31.4878892733564,-0.06375344001357716,-1.112253089953337,0.2660293471225732,-94.87443903287566,0.7810096808306328,63.634146152774285,3662.2705148007553,-0.11718007046839156,-0.01032680955876278,18.16730103806212
C · barrido PDH/PDL rr2.0 buf3.0,567,31.569664902998234,-0.06537290138918984,-1.132630877379969,0.2573692962572034,-83.05952202978817,0.8004534260671193,58.709235853166554,4129.076414683344,-0.0669027496096765,-0.06384843995821193,20.22239858906487
D · ORB Londres rr2.0 30min,908,32.268722466960355,-0.033639567910339105,-0.7242093288896178,0.46893723216711214,-101.56519384448065,0.8465605194820371,73.0927662573762,3312.8925457560003,-0.07027547837624491,0.002996342555566707,19.611233480176253
G · ORB compresion rr2.0 30min,897,31.88405797101449,-0.04563313982201992,-0.9794237529244749,0.3273706454656746,-110.46757376943106,0.8320247563492558,74.777469544316,3035.1740747213003,-0.09800238210449819,0.006619467176978438,19.53032329988855
D · ORB Londres rr2.0 60min,774,33.0749354005168,-0.02766100589029869,-0.5534109877265738,0.5799820167273342,-67.019768593415,0.8775277702949054,61.206157192788325,4747.187830426144,-0.04907626842366694,-0.006245743356930444,25.335658914728683
G · ORB compresion rr2.0 60min,765,32.287581699346404,-0.042757615073385255,-0.8495579108069871,0.3955709206517559,-77.91943746718229,0.8579489166017823,64.22873882259539,4259.5691399129355,-0.06066607089447868,-0.0248959176225819,24.550457516339875
F · fade extension rr2.0 k0.8,386,32.12435233160622,-0.05390008403904839,-0.7702960034883092,0.44112432653219313,-35.382344041255884,0.8685965453978101,35.53584490471182,6769.132158173297,-0.05293265641245459,-0.054867511665642195,34.212814581791264
F · fade extension rr2.0 k1.2,153,33.33333333333333,-0.03357605121662828,-0.3032909969236273,0.7616681066922002,-11.10328932655389,0.8929793319528299,21.069356717271194,8822.654953863932,-0.17558376608718396,0.10658740761664745,33.36132119514468
A · ruptura Asia rr3.0 slmid,805,24.472049689440993,-0.043576661449199375,-0.7317292144297541,0.46433386132600685,-103.19932402554507,0.8430611420192242,72.40958281714256,3177.877449628426,-0.019236537879024036,-0.06785638769041645,18.154223602484535
A · ruptura Asia rr3.0 slopuesto,578,31.314878892733567,0.08258729303174335,1.1905088004095725,0.23384647316302276,20.33834889362531,1.0495208249433416,31.80145799957184,11320.588722346047,0.08734956194972236,0.07782502411376437,30.97214532871979
B · fade Asia rr3.0 sl0.25,949,26.870389884088514,0.0756138838330619,1.3132243248548405,0.1891073696530574,-86.0649617605987,0.8933856154790213,66.8715602259335,3648.0005137343787,0.1308016877637131,0.020542264752791046,8.972444678609053
B · fade Asia rr3.0 sl0.5,896,23.995535714285715,-0.0440110829685409,-0.773402397297245,0.4392842716523535,-125.54822803500034,0.8314429900807758,79.5106893341213,2504.3492437818186,-0.04921343537414969,-0.03880873056293212,15.107533482142875
C · barrido PDH/PDL rr3.0 buf1.0,545,23.853211009174313,-0.0998144133006727,-1.425859067422157,0.15390902678244278,-109.1527791403513,0.7594274888117347,69.98309394479821,3120.1890311077323,-0.11446626405638141,-0.08521623232795193,18.332293577981474
C · barrido PDH/PDL rr3.0 buf3.0,532,24.06015037593985,-0.09426035937152007,-1.3285471325362659,0.18399742386442464,-93.05633842481252,0.785222305154209,63.275356849340966,3672.464315065903,-0.05131292480526431,-0.13720779393777582,20.448872180450728
D · ORB Londres rr3.0 30min,822,25.91240875912409,0.0021868862524876175,0.036603790498931144,0.9708009211762851,-63.18646383616522,0.9035775691455863,70.3124308422955,4717.565470221134,-0.045537745896136496,0.049911518401111736,19.546350364963555
G · ORB compresion rr3.0 30min,811,25.64734895191122,-0.009017637398391584,-0.1503884240626038,0.8804581736658552,-70.79273606212902,0.891006051895278,71.5266588873929,4381.727930535104,-0.07021910922268773,0.05203309188446541,19.47570900123308
D · ORB Londres rr3.0 60min,677,26.73559822747415,-0.015211139844173814,-0.23717574236944927,0.8125204542572675,-49.546063638981366,0.9051301491085808,63.11768650259852,5549.42342506691,-0.10264065768640418,0.0719604738156311,25.645642540620408
G · ORB compresion rr3.0 60min,672,25.595238095238095,-0.043385344630231644,-0.6762500758350247,0.4988818839939251,-68.10724644177704,0.8709290817636591,67.56795678667535,4614.634276313898,-0.12407715201603915,0.03730646275557586,24.898363095238125
