ins,ventana,stop,k,ts,lado,rgo,R,mot,neta
EURUSD,londres,A,1,2020-01-02 10:25:00,-1,1.80000000000069,1.0,TP,0.20555555555586014
EURUSD,londres,A,1,2020-01-03 08:55:00,1,1.8999999999991246,-1.0,SL,-1.7526315789477152
EURUSD,londres,A,1,2020-01-03 09:45:00,-1,3.9999999999995595,1.0,TP,0.6424999999999607
EURUSD,londres,A,1,2020-01-06 08:05:00,1,2.4000000000001798,-1.0,SL,-1.5958333333332888
EURUSD,londres,A,1,2020-01-06 08:25:00,1,4.3999999999999595,1.0,TP,0.674999999999997
EURUSD,londres,A,1,2020-01-06 09:45:00,1,2.2999999999995246,1.0,TP,0.378260869565089
EURUSD,londres,A,1,2020-01-07 08:25:00,1,3.1000000000003247,-1.0,SL,-1.4612903225805969
EURUSD,londres,A,1,2020-01-07 08:35:00,-1,5.800000000000249,-1.0,SL,-1.2465517241379205
EURUSD,londres,A,1,2020-01-07 10:05:00,1,4.500000000000615,-1.0,SL,-1.3177777777777344
EURUSD,londres,A,1,2020-01-07 10:55:00,1,2.6999999999999247,1.0,TP,0.4703703703703557
EURUSD,londres,A,1,2020-01-07 11:20:00,-1,10.499999999999954,0.847619047619106,cierre,0.7114285714286293
EURUSD,londres,A,1,2020-01-08 08:25:00,1,2.20000000000109,-1.0,SL,-1.649999999999678
EURUSD,londres,A,1,2020-01-08 09:10:00,1,4.3999999999999595,-1.0,SL,-1.3250000000000028
EURUSD,londres,A,1,2020-01-08 09:15:00,-1,8.700000000001484,1.0,TP,0.835632183908074
EURUSD,londres,A,1,2020-01-08 10:10:00,1,2.900000000001235,-1.0,SL,-1.493103448275652
EURUSD,londres,A,1,2020-01-09 09:30:00,1,2.4000000000001798,1.0,TP,0.4041666666667113
EURUSD,londres,A,1,2020-01-10 09:10:00,-1,2.20000000000109,-1.0,SL,-1.649999999999678
EURUSD,londres,A,1,2020-01-10 10:30:00,1,1.5999999999993797,1.0,TP,0.10624999999965357
